Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.6167916520327476,1.664324648502654,0.0,0.08965929468021519,200,153,EGR3;DUSP4;FOS;CXCL3;BMP2;EGR1;TNC;FOSB;PTPRE;PLAU;CEBPD;DUSP2;PTX3;MSC;TRAF1;TNFAIP3;PHLDA2;TNFRSF9;GADD45B;GEM;MAP3K8;SLC2A6;DUSP5;NR4A2;KLF4;IL15RA;NFKBIA;FJX1;MAFF;CCND1;CD83;CYR61;SGK1;SAT1;TAP1;CSF1;JUNB;IL7R;RELB;FUT4;PANX1;TRIB1;F2RL1;RIPK2;TNFSF9;HES1;FOSL1;TNFAIP8;RHOB;PMEPA1;LDLR;DUSP1;KLF9;MYC;BHLHE40;GCH1;F3;G0S2;CEBPB;SDC4;NR4A3;IER5;ID2;MARCKS;ETS2;NFKB2;JAG1;KLF6;ATF3;NAMPT;PFKFB3;HBEGF;B4GALT5;DRAM1;JUN;EHD1;TGIF1;TNIP1;ATP2B1;NR4A1;NFIL3;NINJ1;B4GALT1;GFPT2;MAP2K3;IRS2;PDLIM5;IER2;ZBTB10;TUBB2A;SOD2;EGR2;SNN;IFNGR2;GADD45A;KLF2;RCAN1;NFKB1;BCL3;MCL1;LITAF;TSC22D1;NFE2L2;EIF1;BTG3;VEGFA;SPHK1;TRIP10;KLF10;PLAUR;TIPARP;YRDC;ZC3H12A;PER1;TNIP2;TANK;DENND5A;DNAJB4;SQSTM1;RELA;ICOSLG;BTG1;IL6ST;PNRC1;PPP1R15A;IRF1;CFLAR;BIRC2;NFKBIE;RNF19B;SMAD3;SPSB1;ZFP36;CDKN1A;SLC2A3;KDM6B;REL;MXD1;CCNL1;SOCS3;EFNA1;NFAT5;SIK1;BCL6;FOSL2;IL23A;PLK2;TNFAIP2;BTG2;SERPINB8;DDX58;SLC16A6;LIF,EGR3;DUSP4;FOS;CXCL3;BMP2;EGR1;TNC;FOSB;PTPRE;PLAU;CEBPD;DUSP2;PTX3;MSC;TRAF1;TNFAIP3;PHLDA2;TNFRSF9;GADD45B;GEM;MAP3K8;SLC2A6;DUSP5;NR4A2;KLF4;IL15RA;NFKBIA;FJX1;MAFF;CCND1;CD83;CYR61;SGK1;SAT1;TAP1;CSF1;JUNB;IL7R;RELB;FUT4;PANX1;TRIB1;F2RL1;RIPK2;TNFSF9;HES1;FOSL1;TNFAIP8;RHOB;PMEPA1;LDLR;DUSP1
HALLMARK_IL2_STAT5_SIGNALING,0.5458682917005879,1.4689738009668591,0.029850746268656716,0.2141860928471807,200,152,SCN9A;ETV4;SOCS1;NT5E;BMP2;PTGER2;TRAF1;IL18R1;TNFRSF9;GADD45B;SYT11;IL10RA;MAP3K8;TGM2;NFKBIZ;EOMES;CDKN1C;MAFF;BCL2;TNFRSF21;CD83;HOPX;LRRC8C;CSF1;TTC39B;RGS16;AKAP2;ADAM19;CISH;CA2;NDRG1;RHOB;SPRED2;BATF3;SH3BGRL2;IRF8;MYC;ARL4A;NCS1;ENPP1;BHLHE40;PNP;PTRH2;UCK2;ALCAM;KLF6;PTCH1;TIAM1;COCH;CCND2;CKAP4;AMACR;AHCY;MYO1E;PDCD2L;SLC1A5;IL4R;PHTF2;IGF1R;BCL2L1;SLC29A2;IFITM3;DCPS;ITGA6;S100A1;SLC39A8;NOP2;NFIL3;AHNAK;GPX4;CD81;MAPKAPK2;SYNGR2;XBP1;GSTO1;ABCB1;SNX14;HK2;PLAGL1;RNH1;GLIPR2;SERPINB6;SMPDL3A;GUCY1B3;IFNGR1;PLSCR1;HUWE1;WLS;PUS1;ST3GAL4;ITGAE;HIPK2;CCND3;CYFIP1;SNX9;PRNP;RHOH;PLEC;LCLAT1;UMPS;P4HA1;PIM1;ITGAV;PRAF2;FURIN;MYO1C;BMPR2;COL6A1;RRAGD;ODC1;DENND5A;P2RX4;CTSZ;CASP3;NRP1;POU2F1;TWSG1;CDC42SE2;RABGAP1L;APLP1;CDC6;AGER;SOCS2;NCOA3;RORA;CCNE1;ANXA4;FAH;SWAP70;PRKCH;GALM;SLC2A3;LRIG1;FLT3LG;MXD1;PLIN2;AHR;GABARAPL1;CAPG;IGF2R;PTH1R;ENO3;FAM126B;DHRS3;MUC1;IKZF4;IL3RA;IKZF2;EMP1;LIF;ITIH5;CAPN3,SCN9A;ETV4;SOCS1;NT5E;BMP2;PTGER2;TRAF1;IL18R1;TNFRSF9;GADD45B;SYT11;IL10RA;MAP3K8;TGM2;NFKBIZ;EOMES;CDKN1C;MAFF;BCL2;TNFRSF21;CD83;HOPX;LRRC8C;CSF1;TTC39B;RGS16;AKAP2;ADAM19;CISH;CA2;NDRG1;RHOB;SPRED2
HALLMARK_APICAL_SURFACE,0.685098211142275,1.433006689241948,0.06428571428571428,0.21667662881052002,44,27,ATP8B1;RTN4RL1;MDGA1;SLC2A4;AFAP1L2;GAS1;SRPX;GSTM3;LYN;B4GALT1;TMEM8B;EFNA5;APP;EPHB4;ADAM10;PLAUR;ADIPOR2;SULF2;DCBLD2;FLOT2;NCOA6;BRCA1;CROCC;GATA3;HSPB1;SCUBE1;AKAP7,ATP8B1;RTN4RL1;MDGA1;SLC2A4;AFAP1L2;GAS1
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.6332742696398387,1.4735411459747132,0.03879310344827586,0.3138075313807531,87,53,ACVRL1;SOCS1;CXCL3;IL9R;IL18R1;PIK3R5;MAP3K8;IL15RA;TNFRSF21;CSF1;TGFB1;CSF2RA;HMOX1;CD9;IL4R;PTPN2;JUN;ITGA4;HAX1;IL17RB;IFNGR2;IFNGR1;TYK2;GRB2;BAK1;IFNAR1;PTPN11;IL17RA;CNTFR;PDGFC;IL13RA1;TNFRSF1A;PIM1;TNFRSF12A;ACVR1B;STAT1;IL6ST;LEPR;IRF1;INHBE;STAT3;STAT2;PTPN1;IL10RB;CBL;SOCS3;MYD88;STAM2;CD14;IRF9;FAS;IL3RA;LTBR,ACVRL1;SOCS1;CXCL3;IL9R;IL18R1;PIK3R5;MAP3K8;IL15RA;TNFRSF21;CSF1
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY,-0.719438266094854,-1.4277857794912372,0.027777777777777776,0.3746847604179176,49,45,MBP;JUNB;LSP1;SBNO2;SRXN1;PRDX4;NDUFA6;MGST1;HHEX;TXN;PRDX1;PFKP;PRDX6;G6PD;GPX4;GPX3;ATOX1;HMOX2;PRDX2;NDUFB4;SOD1;GSR;MSRA;SOD2;NDUFS2;STK25;TXNRD1;PDLIM1;PRNP;GCLM;ERCC2;GLRX2;GCLC;ABCC1;OXSR1;GLRX;CDKN2D;FTL;TXNRD2;EGLN2;CAT;SCAF4;NQO1;IPCEF1;FES,IPCEF1;FES
HALLMARK_PANCREAS_BETA_CELLS,0.6373528530767841,1.307256147874773,0.1595744680851064,0.3945008965929468,40,22,GCK;MAFB;VDR;LMO2;DPP4;INSM1;SRPRB;ISL1;NKX6-1;NKX2-2;SPCS1;STXBP1;SRP9;AKT3;SEC11A;SRP14;PAX6;ELP4;FOXO1;PAK3;PDX1;ABCC8,GCK;MAFB;VDR;LMO2;DPP4
HALLMARK_KRAS_SIGNALING_UP,0.4653243770531781,1.2256006909007475,0.1103448275862069,0.5379557680812911,200,120,ETV4;GNG11;SCG5;BMP2;ETV5;ETV1;APOD;PLAU;GADD45G;TMEM100;MAP4K1;ITGB2;TRAF1;MAFB;TNFAIP3;IL10RA;MMP11;KLF4;GUCY1A3;CXCR4;TMEM158;IGF2;ST6GAL1;IL7R;PCSK1N;TRIB2;ALDH1A3;RGS16;TRIB1;F2RL1;CA2;SOX9;SPRY2;AMMECR1;IRF8;FGF9;MMD;TSPAN13;CSF2RA;G0S2;CROT;ID2;ANKH;ITGA2;BTBD3;HOXD11;CCND2;SCN1B;FLT4;HBEGF;EPHB2;FUCA1;ZNF639;PTCD2;AKAP12;GPRC5B;ALDH1A2;GFPT2;TSPAN7;PRRX1;BPGM;ABCB1;NIN;TFPI;MAP7;SPON1;CD37;AKT2;TOR1AIP2;GYPC;CPE;PLAT;USP12;ATG10;PLAUR;YRDC;ZNF277;GLRX;EVI5;EPB41L3;KIF5C;SATB1;ACE;DCBLD2;JUP;NRP1;NAP1L2;HDAC9;CBR4;ADAM17;PPP1R15A;RABGAP1L;CDADC1;WDR33;AVL9;FBXO4;SEMA3B;CBX8;ETS1;CBL;RBM4;SDCCAG8;STRN;MAP3K1;USH1C;CAB39L;DNMBP;PTBP2;SNAP91;MTMR10;ENG;LAT2;ADAM8;EMP1;PRKG2;LCP1;LIF;CFB;GPNMB;CLEC4A,ETV4;GNG11;SCG5;BMP2;ETV5;ETV1;APOD;PLAU;GADD45G;TMEM100;MAP4K1;ITGB2;TRAF1;MAFB;TNFAIP3;IL10RA;MMP11;KLF4;GUCY1A3;CXCR4;TMEM158;IGF2;ST6GAL1;IL7R;PCSK1N;TRIB2;ALDH1A3;RGS16;TRIB1;F2RL1;CA2;SOX9;SPRY2
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.4984774637445619,1.1236884165898426,0.29213483146067415,0.5753138075313807,42,39,DKK1;WNT6;FZD8;FZD1;HEY2;MYC;JAG1;DLL1;PTCH1;CCND2;HEY1;NKD1;SKP2;CSNK1E;LEF1;KAT2A;RBPJ;WNT5B;NCOR2;TP53;AXIN1;JAG2;MAML1;PPARD;FRAT1;CUL1;HDAC2;NCSTN;TCF7;CTNNB1;ADAM17;PSEN2;GNAI1;NUMB;AXIN2;DVL2;HDAC5;HDAC11;NOTCH1,DKK1;WNT6;FZD8;FZD1;HEY2;MYC;JAG1;DLL1;PTCH1;CCND2;HEY1
HALLMARK_ESTROGEN_RESPONSE_LATE,0.42177296128178415,1.163331333906566,0.11627906976744186,0.5820382546323969,200,155,EGR3;TFPI2;FOS;IGSF1;PTGES;OLFM1;CDH1;DUSP2;RET;CA12;NPY1R;KLF4;CHST8;BCL2;CCND1;SLC27A2;SGK1;NMU;SULT2B1;CISH;CA2;TPBG;GAL;DHCR7;TPD52L1;IDH2;IGFBP4;MYB;RAB31;PRKAR2B;PRSS23;RPS6KA2;TSPAN13;FARP1;ABCA3;PLAC1;ID2;FABP5;SORD;SIAH2;SLC29A1;SCARB1;CD9;SLC16A1;TIAM1;HOMER2;DNAJC12;GLA;SLC7A5;CACNA2D2;FOXC1;SLC1A4;MAPT;NBL1;CKB;UNC13B;TST;CHPT1;PERP;EMP2;COX6C;CYP26B1;IMPA2;RNASEH2A;DYNLT3;PPIF;PDLIM3;NAB2;PDCD4;FDFT1;ASS1;XBP1;TFAP2C;GINS2;SLC26A2;ELOVL5;TJP3;NXT1;IL17RB;CELSR2;CAV1;SLC22A5;SNX10;HPRT1;DCXR;KIF20A;SLC9A3R1;NCOR2;ETFB;LLGL2;PAPSS2;WFS1;FKBP5;FKBP4;PLXNB1;FLNB;LSR;TOB1;UGDH;METTL3;DNAJC1;XRCC3;JAK1;SLC2A8;CPE;BTG3;RABEP1;DLG5;ALDH3A2;ITPK1;AMFR;BLVRB;FGFR3;TOP2A;MOCS2;STIL;CDC20;KCNK5;RBBP8;IL6ST;HSPA4L;OPN3;ABHD2;ADD3;CDC6;MDK;BAG1;SEMA3B;ARL3;NRIP1;FAM102A;PLK4;TSTA3;ZFP36;HSPB8;ATP2B4;RAPGEFL1;MAPK13;PLA2G16;ALDH3B1;GALE;ST6GALNAC2;AFF1;CXCL12;MICB;JAK2;FRK;SFN;ANXA9;ISG20;SCNN1A;TNNC1;PDZK1;PTPN6;DHRS2,EGR3;TFPI2;FOS;IGSF1;PTGES;OLFM1;CDH1;DUSP2;RET;CA12;NPY1R;KLF4;CHST8;BCL2;CCND1;SLC27A2;SGK1;NMU;SULT2B1;CISH;CA2;TPBG;GAL;DHCR7;TPD52L1;IDH2;IGFBP4;MYB;RAB31;PRKAR2B
HALLMARK_GLYCOLYSIS,0.4083108965707887,1.1389695453029525,0.15079365079365079,0.588762701733413,200,177,ELF3;NT5E;CHST1;SLC16A3;CHST6;CHST2;CXCR4;PGK1;ADORA2B;COL5A1;BIK;EGLN3;B3GALT6;KDELR3;SOX9;GPC1;EGFR;TPBG;SLC37A4;IDUA;CYB5A;SRD5A3;CHST12;EXT1;FAM162A;GALK1;CITED2;SDC2;PC;PYGL;LHPP;QSOX1;MIF;CHPF;TXN;CACNA1H;HOMER1;GPC4;PGM2;LDHA;MPI;B4GALT2;PFKP;XYLT2;PLOD1;HSPA5;NANP;VCAN;SLC25A10;PDK3;FUT8;PGAM1;TPI1;GPC3;PLOD2;MDH2;G6PD;ENO1;ME1;ALDOA;GOT2;PRPS1;B4GALT1;AK4;PPIA;POLR3K;IRS2;ALG1;ARPP19;GOT1;CTH;SOD1;HK2;PYGB;HAX1;AGRN;SDHC;NSDHL;TPST1;AKR1A1;PKP2;RPE;PGLS;SDC1;AK3;P4HA2;MDH1;KIF20A;PAXIP1;HDLBP;STMN1;GMPPB;GMPPA;STC2;FKBP4;HS6ST2;TALDO1;CENPA;ME2;MET;DLD;GNPDA1;COG2;SDC3;PHKA2;DEPDC1;DDIT4;MED24;PAM;DSC2;CLN6;NASP;CASP6;PMM2;VEGFA;CDK1;B3GAT3;B4GALT7;IL13RA1;GAL3ST1;GUSB;COPB2;RBCK1;GCLC;EFNA3;BPNT1;P4HA1;ABCB6;ALDH9A1;EXT2;HS2ST1;AURKA;GLRX;ALDH7A1;GLCE;PSMC4;RRAGD;ANKZF1;GNE;IDH1;UGP2;KIF2A;RARS;PPP2CB;MXI1;GFPT1;B4GALT4;AGL;NDUFV3;VLDLR;CHPF2;GAPDHS;HMMR;ANG;SPAG4;SAP30;NOL3;MERTK;SLC25A13;TSTA3;ECD;GYS1;GALK2;ZNF292;PPFIA4;ENO2;GALE;DPYSL4;SLC35A3;LDHC;LHX9;ARTN;TGFA;CAPN5;ISG20;TKTL1;PGAM2,ELF3;NT5E;CHST1;SLC16A3;CHST6;CHST2;CXCR4;PGK1;ADORA2B;COL5A1;BIK;EGLN3;B3GALT6;KDELR3;SOX9;GPC1;EGFR;TPBG
HALLMARK_ALLOGRAFT_REJECTION,0.4240236316738231,1.0954970195196894,0.291005291005291,0.5999021898603489,200,101,SOCS1;HLA-DQA1;STAT4;PRKCG;HLA-DMB;STAB1;IL12A;MAP4K1;ITGB2;PRKCB;ST8SIA4;TAP2;IL27RA;HLA-DOA;NOS2;TAP1;CSF1;RIPK2;EGFR;TGFB1;GCNT1;CD7;IRF8;IL11;FLNA;CCND2;BCAT1;CDKN2A;IL4R;TIMP1;B2M;NME1;MRPL3;DEGS1;IFNAR2;F2R;EIF5A;LYN;HLA-E;CSK;ABCE1;GALNT1;UBE2D1;CD47;TPD52;RPL39;EIF4G3;INHBB;PSMB10;EIF3J;IFNGR2;NPM1;IFNGR1;BCL3;UBE2N;AKT1;CCND3;NCK1;CD40;RPS9;RPL9;RPS19;RPS3A;DARS;DYRK3;AARS;SOCS5;EIF3D;BCL10;TRAF2;GLMN;APBB1;ELF4;EIF3A;RARS;MTIF2;ICOSLG;HDAC9;STAT1;WARS;BRCA1;HIF1A;MAP3K7;ABI1;ETS1;IKBKB;WAS;ACVR2A;CAPG;ACHE;HLA-DMA;CD4;IL16;FAS;C2;JAK2;IL15;RPL3L;PTPN6;TLR6;LIF,SOCS1;HLA-DQA1;STAT4;PRKCG;HLA-DMB;STAB1;IL12A;MAP4K1;ITGB2;PRKCB;ST8SIA4;TAP2;IL27RA;HLA-DOA;NOS2;TAP1;CSF1
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.38748753615943266,1.0758924115098822,0.2542372881355932,0.610679418210799,200,173,ELF3;EGR3;KCNK15;FOS;PTGES;OLFM1;RET;CA12;TGM2;RASGRP1;NPY1R;KLF4;BCL2;CCND1;SLC27A2;CBFA2T3;ENDOD1;SULT2B1;ADCY1;SLC1A1;GJA1;PMAIP1;HES1;CISH;TPBG;MAST4;DHCR7;TPD52L1;IGFBP4;MYB;RAB31;MYC;PRSS23;BHLHE40;RPS6KA2;FARP1;ABCA3;SLC19A2;ASB13;KAZN;PODXL;SIAH2;SCARB1;SLC16A1;TIAM1;SLC7A2;GREB1;ESRP2;WWC1;GLA;SLC7A5;FOXC1;REEP1;SLC1A4;MAPT;NBL1;ABLIM1;MYBBP1A;FASN;IGF1R;DLC1;CHPT1;ELF1;TBC1D30;CYP26B1;UGCG;FHL2;DYNLT3;PPIF;PDLIM3;B4GALT1;FDFT1;ISG20L2;XBP1;TFAP2C;SLC26A2;RHOBTB3;MREG;SEC14L2;ELOVL5;TJP3;NXT1;TUBB2B;IL17RB;SLC39A6;CELSR2;AKAP1;SLC22A5;INHBB;TSKU;ADCY9;SLC9A3R1;SYNGR1;NCOR2;KRT18;PAPSS2;SYBU;ZNF185;WFS1;FKBP5;STC2;FKBP4;FLNB;AQP3;MPPED2;TOB1;MED24;TGIF2;CELSR1;TTC39A;SLC2A1;PEX11A;KLF10;CANT1;TIPARP;ITPK1;UNC119;AMFR;ELOVL2;BLVRB;THSD4;SH3BP5;TMEM164;KCNK5;RBBP8;IL6ST;FAM63A;OPN3;ABHD2;ADD3;BAG1;SEMA3B;KDM4B;ARL3;DEPTOR;RRP12;NRIP1;FAM102A;HSPB8;FAM134B;LRIG1;RAPGEFL1;SNX24;KRT8;MED13L;PLA2G16;ALDH3B1;MYBL1;RARA;INPP5F;AFF1;DHRS3;SLC37A1;CXCL12;NADSYN1;SVIL;MICB;MUC1;GFRA1;NAV2;GAB2;CLDN7;JAK2;FRK;SFN;ABAT;ANXA9;SCNN1A;BCL11B;PDZK1;DHRS2;SYT12;P2RY2,ELF3;EGR3;KCNK15;FOS;PTGES;OLFM1;RET;CA12;TGM2;RASGRP1;NPY1R;KLF4;BCL2;CCND1;SLC27A2;CBFA2T3;ENDOD1;SULT2B1;ADCY1;SLC1A1;GJA1;PMAIP1;HES1;CISH;TPBG;MAST4;DHCR7;TPD52L1;IGFBP4;MYB;RAB31
HALLMARK_INFLAMMATORY_RESPONSE,0.44006249651694146,1.173823892371844,0.1588235294117647,0.6216377764494918,200,103,NPFFR2;RNF144B;NMI;PTGER2;PTPRE;PROK2;STAB1;IL18R1;PIK3R5;TNFRSF9;IL10RA;RASGRP1;CHST2;SLC4A4;IL15RA;NFKBIA;ADORA2B;CSF1;IL7R;FFAR2;RGS16;RIPK2;TNFSF9;SLC31A2;ICAM4;IFITM1;TPBG;CD82;LDLR;SGMS2;MYC;PDPN;PCDH7;LY6E;GCH1;PVR;F3;LPAR1;CALCRL;KLF6;SLC7A2;NMUR1;NAMPT;SCN1B;FZD5;HBEGF;IL4R;TIMP1;SLC7A1;GPC3;SRI;ATP2B1;ADM;CD55;LYN;EMP3;ATP2A2;EIF2AK2;IFNGR2;NFKB1;RHOG;GP1BA;MET;CD40;SLC11A2;SLC31A1;IFNAR1;ATP2C1;IRAK2;SPHK1;CD70;PLAUR;ADRM1;RAF1;ACVR1B;P2RX4;RELA;DCBLD2;ICOSLG;KIF1B;ITGA5;PSEN1;IRF1;HIF1A;SEMA4D;BEST1;GABBR1;ABI1;MMP14;CDKN1A;MXD1;ACVR2A;AHR;GNAI3;BST2;CD14;C5AR1;LAMP3;BTG2;IL15;MSR1;LIF;P2RY2,NPFFR2;RNF144B;NMI;PTGER2;PTPRE;PROK2;STAB1;IL18R1;PIK3R5;TNFRSF9;IL10RA;RASGRP1;CHST2;SLC4A4;IL15RA;NFKBIA;ADORA2B;CSF1;IL7R;FFAR2;RGS16;RIPK2;TNFSF9;SLC31A2;ICAM4;IFITM1;TPBG;CD82;LDLR;SGMS2;MYC;PDPN;PCDH7;LY6E;GCH1;PVR;F3;LPAR1
HALLMARK_TGF_BETA_SIGNALING,0.42188633313151197,1.002435578035008,0.4557522123893805,0.8331417536438457,54,51,BMP2;CDH1;NOG;ID1;CDKN1C;SMAD6;JUNB;SMAD7;PMEPA1;TGFB1;RAB31;ID3;SMAD1;ID2;TGIF1;XIAP;SLC20A1;APC;FKBP1A;RHOA;IFNGR2;NCOR2;HIPK2;SPTBN1;PPP1CA;UBE2D3;SKI;CDK9;FNTA;WWTR1;KLF10;HDAC1;TGFBR1;FURIN;BMPR1A;BMPR2;TJP1;CTNNB1;PPM1A;SMURF2;PPP1R15A;MAP3K7;SMAD3;ACVR1;SMURF1;BCAR3;ARID4B;TRIM33;SKIL;ENG;LTBP2,BMP2;CDH1;NOG;ID1;CDKN1C;SMAD6;JUNB;SMAD7;PMEPA1;TGFB1;RAB31;ID3
HALLMARK_HEME_METABOLISM,0.34985847993426233,0.9681411828344604,0.47863247863247865,0.9132439586713346,200,170,TNS1;SLC30A10;ABCG2;TRIM58;SLC22A4;FAM46C;LMO2;HBQ1;ENDOD1;CLIC2;HIST1H4C;CA2;ICAM4;TFRC;IGSF3;AGPAT4;SLC25A37;ANK1;ELL2;PC;TSPAN5;CPOX;SPTB;MFHAS1;HMBS;ASNS;CTSB;SDCBP;SLC6A9;GLRX5;CAST;ADD2;MGST3;MAP2K3;PRDX2;NEK7;BPGM;EIF2AK1;ISCA1;SNCA;SELENBP1;BSG;NUDT4;GDE1;RAD23A;PGLS;TOP1;SLC7A11;P4HA2;KHNYN;PPOX;HDGF;MOCOS;ATG4A;UCP2;TMEM9B;FBXO34;FBXO9;MINPP1;CCND3;FECH;DCAF11;UROD;BACH1;AQP3;SLC11A2;LAMP2;UROS;GYPC;SLC10A3;GMPS;ADIPOR1;NNT;LRP10;GCLM;NARF;CDR2;SLC2A1;TMCC2;RBM38;KAT2B;HAGH;BLVRA;CTNS;ARHGEF12;ARL2BP;TFDP2;PQLC1;HEBP1;PSMD9;KLF3;MBOAT2;GCLC;UBAC1;ABCB6;BCAM;NFE2L1;BLVRB;HTATIP2;SLC6A8;SMOX;MPP1;FOXO3;RNF123;MARCH8;EZH1;ACSL6;EPB41;XPO7;TCEA1;BMP2K;RCL1;SEC14L1;MKRN1;FBXO7;MXI1;MARCH2;PIGQ;HTRA2;GAPVD1;ATP6V0A1;MARK3;BNIP3L;OPTN;MOSPD1;DCUN1D1;CLCN3;CDC27;H1F0;SLC25A38;PPP2R5B;CAT;E2F2;ADD1;CIR1;NCOA4;LPIN2;NR3C1;TNRC6B;VEZF1;PICALM;RNF19A;SIDT2;DCAF10;C3;RBM5;ALAD;YPEL5;RAP1GAP;TRAK2;FOXJ2;ALDH6A1;BTRC;CCDC28A;DAAM1;USP15;EPOR;ERMAP;XK;CROCCP2;RIOK3;SYNJ1;RANBP10;OSBP2;FN3K;SLC30A1;BTG2;RHCE;SLC4A1;FTCD,TNS1;SLC30A10;ABCG2;TRIM58;SLC22A4;FAM46C;LMO2;HBQ1;ENDOD1;CLIC2;HIST1H4C
HALLMARK_UV_RESPONSE_UP,0.3469678439950812,0.9471426782497888,0.6376811594202898,0.9372384937238495,158,141,FOS;BMP2;FOSB;OLFM1;RRAD;RET;RASGRP1;CDKN1C;NFKBIA;CYP1A1;NPTX2;COL2A1;TAP1;JUNB;EPCAM;CA2;RHOB;NPTXR;GAL;BCL2L11;TUBA4A;TFRC;MSX1;HSPA2;GLS;IGFBP2;E2F5;GCH1;HMOX1;SPR;AMD1;PLCL1;BID;ATF3;CHRNA5;SLC25A4;NKX2-5;ASNS;CREG1;LHX2;SIGMAR1;TST;RPN1;EPHX1;RAB27A;POLR2H;GRPEL1;NR4A1;GGH;LYN;PPIF;ALDOA;GPX3;MGAT1;PDLIM3;MRPL23;ARRB2;PPT1;HYAL2;KLHDC3;DGAT1;ABCB1;AP2S1;TMBIM6;FEN1;BSG;DDX21;SOD2;H2AFX;ATP6V1F;DNAJA1;CLTB;PPAT;HSPA13;TYRO3;STK25;CDO1;RFC4;PRKCD;FKBP4;WIZ;EIF2S3;CEBPG;YKT6;CCND3;UROD;AQP3;BAK1;PDAP1;HNRNPU;GRINA;STARD3;BTG3;SHOX2;CDC34;MAOA;PARP2;PSMC3;TGFBRAP1;CNP;MARK2;FURIN;SLC6A8;TARS;STIP1;CDK2;POLE3;CDC5L;DLG4;CYB5B;SQSTM1;PRPF3;PRKACA;CASP3;BTG1;CLCN2;IL6ST;IRF1;CHKA;PPP1R2;CYB5R1;ALAS1;EIF5;NXF1;CCNE1;ATP6V1C1;MMP14;DNAJB1;POLG2;SULT1A1;ACAA1;ENO2;CDKN2B;MAPK8IP2;NAT1;BTG2;KCNH2;SLC6A12;RXRB;HLA-F;ONECUT1,FOS;BMP2;FOSB;OLFM1;RRAD;RET;RASGRP1;CDKN1C;NFKBIA;CYP1A1;NPTX2;COL2A1;TAP1;JUNB;EPCAM;CA2;RHOB;NPTXR;GAL;BCL2L11;TUBA4A;TFRC;MSX1;HSPA2;GLS;IGFBP2;E2F5;GCH1
HALLMARK_NOTCH_SIGNALING,0.2747133127214219,0.5827199332452344,0.9516728624535316,0.9887627017334131,32,27,FZD1;CCND1;HES1;FZD7;WNT5A;JAG1;DLL1;FZD5;RBX1;KAT2A;SKP1;HEYL;ST3GAL6;NOTCH2;NOTCH3;ARRB1;PPARD;APH1A;CUL1;FBXW11;PSENEN;PRKCA;SAP30;PSEN2;TCF7L2;DTX2;NOTCH1,FZD1;CCND1;HES1;FZD7;WNT5A;JAG1;DLL1;FZD5
HALLMARK_MYOGENESIS,-0.5227075132078548,-1.1499487887445072,0.22764227642276422,1.0,200,137,APOD;FXYD1;SORBS1;PVALB;GADD45B;MYL3;SPARC;VIPR1;CFD;LSP1;FABP3;IGFBP7;PTP4A3;COL1A1;TPD52L1;TGFB1;TEAD4;OCEL1;BHLHE40;FKBP1B;SCD;GNAO1;PC;PKIA;GSN;CACNA1H;MYLK;HBEGF;COL4A2;REEP1;ABLIM1;CKB;ITGB5;SCHIP1;GAA;CNN3;MAPK12;PFKM;GPX3;SYNGR2;BIN1;AGRN;FHL1;FGF2;DMD;APP;ADCY9;COL6A2;TNNT1;CAV3;MYL6B;STC2;PDLIM7;AKT2;SPTAN1;TPM3;FDPS;AK1;GABARAPL2;PDE4DIP;MYH9;PRNP;ATP6AP1;FLII;WWTR1;CRAT;CHRNB1;EIF4A2;FOXO4;SPHK1;ITGA7;ITGB1;TSC2;DAPK2;SLC6A8;NCAM1;MYO1C;SORBS3;PICK1;IFRD1;SIRT2;DTNA;TPM2;LPIN1;AGL;MYOM2;KLF5;ATP2A1;MEF2C;ITGB4;MAPRE3;ACSL1;RIT1;MRAS;SH2B1;BAG1;PSEN2;CLU;ST5;SMTN;ERBB3;HSPB8;MEF2A;CDKN1A;DMPK;SH3BGR;HDAC5;SPEG;KIFC3;RB1;PLXNB2;PPFIA4;CAMK2B;ACHE;MEF2D;ENO3;NOTCH1;SVIL;RYR1;NQO1;EPHB3;NAV2;TAGLN;ACTN2;CTF1;KCNH2;MYH3;SSPN;ACTA1;FST;TNNC1;DES;TCAP;PYGM;CKM;PGAM2;COL6A3,NOTCH1;SVIL;RYR1;NQO1;EPHB3;NAV2;TAGLN;ACTN2;CTF1;KCNH2;MYH3;SSPN;ACTA1;FST;TNNC1;DES;TCAP;PYGM;CKM;PGAM2;COL6A3
HALLMARK_ANGIOGENESIS,-0.583302611492858,-1.0542282618006207,0.423943661971831,1.0,36,22,LPL;KCNJ8;TNFRSF21;SLCO2A1;S100A4;MSX1;JAG1;CCND2;TIMP1;VCAN;PDGFA;LRPAP1;APP;FGFR1;VAV2;JAG2;VEGFA;FSTL1;ITGAV;PTK2;NRP1;COL5A2,COL5A2
