Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
HALLMARK_MYOGENESIS,0.5396194357414009,1.1367450409952178,0.23636363636363636,0.5217464544696143,200,191,CKB;SCD;GADD45B;CNN3;GAA;TGFB1;FHL1;APP;TEAD4;BHLHE40;SYNGR2;COL1A1;TPD52L1;OCEL1;PFKM;COL4A2;MAPK12;ITGB5;FKBP1B;ABLIM1;PTP4A3;GSN;PC;BIN1;SPARC;IGFBP7;AGRN;CFD;CACNA1H;SORBS1;GPX3;PKIA;SCHIP1;VIPR1;REEP1;LSP1;FABP3;HBEGF;TNNT1;COL6A2;COL3A1;CRYAB;GNAO1;COL15A1;MYLK;BDKRB2;FXYD1;ADCY9;LAMA2;DMD;CDH13;RYR1;MYOZ1;PVALB;FGF2;TNNT3;SLN;MYL3;ADAM12;IGFBP3;CHRNG;SOD3;IGF1;CACNG1;CAV3;PTGIS;APLNR;MYH7;HRC;MYH8;MYH1;MYBPC3;KCNH1;MYL4;HSPB2;MYOG;TNNI1;APOD;COX6A2;NOS1;MYH2;ANKRD2;CHRNA1;CSRP3;MYL7;MYH11;LDB3;CD36;COX7A1;ACTC1;NAV2;DES;PPP1R3C;AEBP1;CASQ2;COL6A3;GJA5;CKMT2;SPDEF;CKM;DAPK2;CASQ1;PDLIM7;MYL6B;TNNC1;SGCA;TNNT2;SGCG;MB;PPFIA4;MYOM1;CAMK2B;CHRNB1;ACTN3;EPHB3;AKT2;MYOM2;ITGB4;MEF2C;WWTR1;MYH3;ITGA7;ERBB3;TCAP;MYLPF;ACTA1;STC2;NQO1;FST;KLF5;PYGM;PDE4DIP;TNNC2;CRAT;ATP2A1;PGAM2;HSPB8;SSPN;SPTAN1;SPHK1;NCAM1;LPIN1;AGL;SVIL;TAGLN;KCNH2;PRNP;CTF1;SIRT2;NOTCH1;FOXO4;TPM2;AK1;ACSL1;MRAS;DTNA;MAPRE3;MYH9;ST5;SPEG;PICK1;ACHE;ENO3;ACTN2;MYO1C;RIT1;GABARAPL2;PSEN2;FDPS;TSC2;ITGB1;SORBS3;RB1;MEF2D;KIFC3;SH2B1;SH3BGR;MEF2A;BAG1;CLU;TPM3;FLII;ATP6AP1;SMTN;IFRD1;SLC6A8;EIF4A2;HDAC5;DMPK;PLXNB2;CDKN1A,CKB;SCD;GADD45B;CNN3;GAA;TGFB1;FHL1;APP;TEAD4;BHLHE40;SYNGR2;COL1A1;TPD52L1;OCEL1;PFKM
HALLMARK_HYPOXIA,0.7419478819362528,1.6021417747007387,0.0189873417721519,0.5294230892639415,200,192,PGK1;GAPDH;MIF;ENO1;TPI1;ALDOA;LDHA;HSPA5;JUN;ATF3;PRDX5;GPI;GALK1;CSRP2;NDRG1;PFKP;SLC37A4;FAM162A;GAA;SDC2;CITED2;DUSP1;PGM1;KDELR3;FOS;BHLHE40;HOXB9;GPC3;SCARB1;B3GALT6;SLC6A6;CYR61;PFKFB3;KLF6;ADORA2B;GPC1;MT2A;EXT1;HDLBP;AK4;TPST2;CXCR4;AKAP12;TNFAIP3;ERRFI1;SIAH2;GPC4;HMOX1;SDC4;PGM2;COL5A1;MAFF;TPD52;ALDOC;TES;CTGF;RBPJ;NDST1;SULT2B1;CHST2;SELENBP1;LOX;CA12;TPBG;PTRF;TGM2;CDKN1C;PDK3;PCK1;ADM;ILVBL;NFIL3;BCL2;HK2;EGFR;CHST3;S100A4;P4HA2;GCK;STBD1;SRPX;IDS;WISP2;CAV1;F3;IRS2;HAS1;STC1;FBP1;IGFBP3;PKP1;HS3ST1;LALBA;BRS3;SERPINE1;TGFBI;CP;SLC2A5;BGN;PKLR;PPP1R3C;GBE1;IL6;ALDOB;NCAN;INHA;NDST2;AMPD3;GAPDHS;B4GALNT2;LXN;ANGPTL4;PPARGC1A;PLAC8;PPFIA4;RORA;NEDD4L;PLAUR;DCN;TIPARP;KLF7;STC2;PDGFB;KIF5A;GCNT2;ETS1;TGFB3;SDC3;CASP6;PRKCA;EDN2;PYGM;BCAN;PHKG1;FOSL2;TKTL1;TMEM45A;DPYSL4;PGAM2;SLC2A1;ZFP36;PIM1;VLDLR;SLC2A3;EFNA3;MAP3K1;NR3C1;GLRX;ATP7A;P4HA1;PAM;EFNA1;HK1;FOXO3;ANXA2;GRHPR;NAGK;HEXA;VHL;DTNA;ZNF292;MYH9;BNIP3L;PFKL;ANKZF1;RRAGD;UGP2;MXI1;LDHC;VEGFA;ISG20;BTG1;ENO3;SAP30;WSB1;JMJD6;GYS1;CCNG2;PGF;KDM3A;PDK1;PNRC1;DDIT4;KLHL24;PLIN2;XPNPEP1;CDKN1B;ENO2;PPP1R15A;SLC25A1;CDKN1A;DDIT3,PGK1;GAPDH;MIF;ENO1;TPI1;ALDOA;LDHA;HSPA5;JUN;ATF3;PRDX5;GPI;GALK1;CSRP2;NDRG1;PFKP;SLC37A4;FAM162A;GAA;SDC2;CITED2;DUSP1;PGM1;KDELR3;FOS;BHLHE40;HOXB9;GPC3;SCARB1;B3GALT6;SLC6A6;CYR61;PFKFB3;KLF6;ADORA2B;GPC1;MT2A;EXT1;HDLBP
HALLMARK_ANDROGEN_RESPONSE,0.5517271672029298,1.1407429215246445,0.27124183006535946,0.5487646794583841,101,96,SCD;INSIG1;B2M;SAT1;ADAMTS1;DBI;SLC38A2;PA2G4;DHCR24;TMEM50A;FADS1;NDRG1;IDI1;ANKH;SPCS3;RAB4A;CCND1;SRP19;HOMER2;CAMKK2;SMS;UAP1;ACTN1;SORD;HMGCS1;ELOVL5;SEC24D;AKAP12;GSR;DNAJB9;ALDH1A3;UBE2J1;B4GALT1;GUCY1A3;PMEPA1;TPD52;HMGCR;TNFAIP8;ELL2;SGK1;LMAN1;MAF;PDLIM5;HPGD;CDK6;ABCC4;ZBTB10;IQGAP2;SLC26A2;MAP7;NKX3-1;SRF;AZGP1;ZMIZ1;FKBP5;STEAP4;SPDEF;INPP4B;KLK2;BMPR1B;CDC14B;LIFR;TSC22D1;ARID5B;MAK;CCND3;GNAI3;ITGAV;PTK2B;AKT1;TMPRSS2;STK39;MERTK;GPD1L;ELK4;ABHD2;MYL12A;PGM3;PTPN21;VAPA;RPS6KA3;CENPN;HSD17B14;ACSL3;PIAS1;HERC3;NGLY1;RRP12;UBE2I;XRCC5;ADRM1;XRCC6;KRT8;NCOA4;APPBP2;H1F0,SCD;INSIG1;B2M;SAT1;ADAMTS1;DBI;SLC38A2;PA2G4;DHCR24;TMEM50A;FADS1;NDRG1;IDI1;ANKH;SPCS3;RAB4A;CCND1;SRP19;HOMER2;CAMKK2;SMS;UAP1;ACTN1;SORD;HMGCS1;ELOVL5;SEC24D;AKAP12;GSR;DNAJB9
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.5518661776207838,1.152912220333756,0.22115384615384615,0.5645162768951513,200,195,SAT1;ID2;PPIB;VIM;GADD45B;RHOB;JUN;IGFBP2;FLNA;IL32;CALU;TIMP1;GJA1;PVR;FN1;TGFB1;CRLF1;LAMC1;MSX1;EMP3;BASP1;LGALS1;PLOD1;GEM;COL1A1;SNAI2;CYR61;QSOX1;GPC1;COL4A2;CADM1;ITGB5;PTX3;GAS1;PLOD2;TNFAIP3;CALD1;CDH2;SERPINE2;SDC4;COL5A1;TIMP3;COL4A1;DKK1;FZD8;SPARC;PMEPA1;TNC;FUCA1;LAMA1;FBN2;TGFBR3;LOXL2;SLIT2;CTGF;PMP22;VCAN;LOX;WNT5A;NID2;TFPI2;WIPF1;MMP2;TGM2;ABI3BP;CD44;LUM;FBLN2;EDIL3;GADD45A;IGFBP4;SLIT3;LRP1;CXCL1;DST;COL12A1;MATN3;AREG;SFRP1;RGS4;FBLN5;COL6A2;COL3A1;MYLK;DAB2;THBS2;LAMA2;SDC1;INHBA;VEGFC;NT5E;TNFRSF11B;CDH11;MMP3;ITGA2;FGF2;THBS1;ITGB3;LAMC2;OXTR;ADAM12;IGFBP3;MMP1;THY1;MGP;COL11A1;MYL9;VCAM1;CXCL6;ELN;MXRA5;GREM1;CDH6;PRSS2;LRRC15;NTM;COL5A3;SPP1;SNTB1;FAP;COL1A2;SERPINE1;TGFBI;COL8A2;ECM2;FOXC2;FMOD;GPX7;CTHRC1;BGN;PRRX1;MMP14;PDGFRB;CXCL12;BDNF;IL6;DPYSL3;COL6A3;SCG2;NNMT;COMP;EFEMP2;MFAP5;COL16A1;SGCG;FBN1;MEST;COL5A2;SPOCK1;MAGEE1;IL15;ECM1;NOTCH2;PLOD3;SFRP4;GLIPR1;PTHLH;PLAUR;MATN2;DCN;LAMA3;BMP1;PCOLCE2;ANPEP;CD59;LOXL1;ITGAV;HTRA1;FBLN1;SGCB;PCOLCE;TAGLN;TPM1;PDLIM4;TPM2;COL7A1;FERMT2;ITGA5;FSTL3;FAS;APLP1;CAP2;VEGFA;TNFRSF12A;TPM4;ITGB1;FSTL1;CAPG;ACTA2;PFN2;ENO2;SLC6A8;SERPINH1;COPA;MCM7,SAT1;ID2;PPIB;VIM;GADD45B;RHOB;JUN;IGFBP2;FLNA;IL32;CALU;TIMP1;GJA1;PVR;FN1;TGFB1;CRLF1;LAMC1;MSX1;EMP3;BASP1;LGALS1;PLOD1;GEM;COL1A1;SNAI2;CYR61;QSOX1;GPC1;COL4A2;CADM1;ITGB5;PTX3;GAS1;PLOD2;TNFAIP3;CALD1;CDH2;SERPINE2;SDC4;COL5A1;TIMP3;COL4A1;DKK1;FZD8;SPARC;PMEPA1;TNC;FUCA1;LAMA1;FBN2;TGFBR3;LOXL2;SLIT2;CTGF;PMP22
HALLMARK_ANGIOGENESIS,0.5878214519556515,1.0878929849633265,0.33974358974358976,0.5859779322111955,36,34,LRPAP1;TIMP1;KCNJ8;CCND2;APP;MSX1;TNFRSF21;VCAN;LPL;LUM;PDGFA;S100A4;COL3A1;OLR1;SLCO2A1;THBD;JAG1;STC1;PRG2;SERPINA5;CXCL6;APOH;SPP1;PGLYRP1;VAV2;COL5A2;VTN;NRP1;FGFR1;ITGAV;JAG2;VEGFA;FSTL1;PTK2,LRPAP1;TIMP1;KCNJ8;CCND2;APP;MSX1
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.5271597922035183,1.069620440096857,0.32344213649851633,0.5927185608248305,113,108,EIF4EBP1;EIF4A1;ASNS;MTHFD2;NHP2;CALR;LSM4;PSAT1;HSPA5;NPM1;HSP90B1;SLC7A5;ATF3;SERP1;PDIA6;SSR1;SRPRB;XBP1;IARS;NOLC1;YIF1A;ALDH18A1;SPCS3;DKC1;EXOSC2;CEBPB;SPCS1;KDELR3;EIF4G1;IMP3;PDIA5;CHAC1;HYOU1;NFYA;DCTN1;H2AFX;XPOT;FKBP14;YWHAZ;EXOSC4;DNAJB9;SLC30A5;GEMIN4;EIF4A3;ARFGAP1;SLC1A4;PREB;TUBB2A;TATDN2;EXOSC5;GOSR2;BANF1;NOP14;IFIT1;WFS1;DNAJA4;EXOC2;EDEM1;STC2;POP4;PAIP1;CEBPG;CNOT6;DNAJC3;WIPI1;EIF2AK3;KIF5B;EIF4E;ERN1;PARN;DCP1A;LSM1;ATF6;DCP2;NFYB;TTC37;VEGFA;SDAD1;RRP9;CNOT2;DDX10;DDIT4;SKIV2L2;NOP56;HERPUD1;CXXC1;BAG3;EXOSC10;EXOSC1;TSPYL2;CNOT4;SHC1;EIF2S1;SEC31A;KHSRP;ZBTB17;EDC4;SEC11A;CKS1B;EIF4A2;EXOSC9;ATP6V0D1;FUS;HSPA9;RPS14;TARS;ATF4;EEF2,EIF4EBP1;EIF4A1;ASNS;MTHFD2;NHP2;CALR;LSM4;PSAT1;HSPA5;NPM1;HSP90B1;SLC7A5;ATF3;SERP1;PDIA6;SSR1;SRPRB;XBP1;IARS;NOLC1;YIF1A;ALDH18A1;SPCS3;DKC1;EXOSC2;CEBPB;SPCS1;KDELR3;EIF4G1;IMP3;PDIA5;CHAC1;HYOU1;NFYA;DCTN1
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY,0.6366932388473922,1.159163288216124,0.26851851851851855,0.5939312564481017,49,46,PRDX1;GPX4;TXN;PRDX4;PRDX6;PRDX2;SOD1;NDUFB4;PFKP;MGST1;JUNB;SRXN1;ATOX1;G6PD;SOD2;GSR;NDUFS2;HHEX;HMOX2;STK25;NDUFA6;SBNO2;GPX3;LSP1;MBP;MPO;MSRA;IPCEF1;GCLM;ABCC1;FES;NQO1;GLRX2;PRNP;GLRX;TXNRD1;CDKN2D;OXSR1;GCLC;CAT;ERCC2;PDLIM1;EGLN2;TXNRD2;SCAF4;FTL,PRDX1;GPX4;TXN;PRDX4;PRDX6;PRDX2;SOD1;NDUFB4;PFKP;MGST1;JUNB;SRXN1;ATOX1
HALLMARK_MYC_TARGETS_V2,0.5229256253982029,1.0027035210066735,0.4289940828402367,0.6062375665789643,58,58,MYC;NPM1;GNL3;PHB;DCTPP1;SRM;CBX3;PA2G4;NOLC1;NDUFAF4;TCOF1;SLC19A1;NIP7;MYBBP1A;NOP2;SORD;DDX18;MRTO4;PPAN;FARSA;BYSL;IPO4;GRWD1;MCM4;IMP4;SLC29A2;TMEM97;UNG;MAP3K6;PRMT3;EXOSC5;HK2;DUSP2;PPRC1;PUS1;NOP16;RABEPK;UTP20;LAS1L;HSPE1;RCL1;TFB2M;TBRG4;MPHOSPH10;AIMP2;RRP9;NOC4L;WDR43;NOP56;RRP12;PLK4;PLK1;PES1;SUPV3L1;WDR74;HSPD1;CDK4;MCM5,MYC;NPM1;GNL3;PHB;DCTPP1;SRM;CBX3;PA2G4;NOLC1;NDUFAF4;TCOF1;SLC19A1;NIP7;MYBBP1A;NOP2;SORD;DDX18;MRTO4;PPAN;FARSA;BYSL;IPO4;GRWD1;MCM4
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.466970931832065,1.0114955556880774,0.3762057877813505,0.6150383659849102,200,190,G0S2;SAT1;MYC;ID2;GADD45B;RHOB;JUN;ATF3;EGR1;NFKBIA;HES1;MARCKS;NAMPT;DUSP1;CCND1;CEBPB;JUNB;FOS;BHLHE40;NFKB2;GEM;FJX1;RIPK2;CYR61;PFKFB3;LDLR;KLF9;KLF6;IER5;SOD2;PTX3;TNFAIP3;TRIB1;FOSB;PHLDA2;TNIP1;RELB;ATP2B1;EHD1;KLF4;ETS2;IL15RA;TNFSF9;NINJ1;F2RL1;SDC4;TNFRSF9;PANX1;GCH1;NR4A1;DUSP5;IER2;B4GALT1;MAFF;EGR3;MAP2K3;PMEPA1;CD83;PTGS2;TNC;B4GALT5;PLAU;TNFAIP8;SGK1;TUBB2A;SLC2A6;PDLIM5;TGIF1;DRAM1;BMP2;CSF1;CCL20;FOSL1;CXCL2;CD44;DUSP4;NFIL3;NR4A2;GFPT2;GADD45A;CEBPD;ICAM1;ZBTB10;CXCL1;DUSP2;LAMB3;FUT4;MAP3K8;CXCL3;AREG;HBEGF;IFIH1;TAP1;PHLDA1;OLR1;MSC;INHBA;F3;IFNGR2;IL18;KLF2;IRS2;CXCL10;JAG1;PTPRE;TRAF1;CD80;TNF;GPR183;SNN;BIRC3;IFIT2;PDE4B;IL1A;IL12B;EDN1;PLEK;IL7R;CCL4;CXCL6;NR4A3;EGR2;SERPINE1;TLR2;BCL3;RCAN1;KYNU;ICOSLG;SIK1;SOCS3;CXCL11;SERPINB8;ZC3H12A;NFKB1;CCL5;BCL2A1;IL6;PTGER4;STAT5A;IL23A;TNFAIP2;DDX58;PLAUR;SLC16A6;TIPARP;ABCA1;SPSB1;CLCF1;TSC22D1;NFKBIE;IRF1;FOSL2;ZFP36;SLC2A3;SPHK1;MXD1;LITAF;YRDC;TNIP2;MCL1;DNAJB4;CFLAR;NFE2L2;EFNA1;BCL6;KLF10;REL;IL6ST;TANK;SMAD3;PER1;LIF;TRIP10;NFAT5;RNF19B;BTG3;BIRC2;VEGFA;BTG1;PLK2;RELA;PNRC1;KDM6B;DENND5A;PPP1R15A;CCNL1;BTG2;SQSTM1;CDKN1A;EIF1,G0S2;SAT1;MYC;ID2;GADD45B;RHOB;JUN;ATF3;EGR1;NFKBIA;HES1;MARCKS;NAMPT;DUSP1;CCND1;CEBPB;JUNB;FOS;BHLHE40;NFKB2;GEM;FJX1;RIPK2;CYR61;PFKFB3;LDLR;KLF9;KLF6;IER5;SOD2;PTX3;TNFAIP3;TRIB1;FOSB;PHLDA2;TNIP1;RELB;ATP2B1;EHD1;KLF4;ETS2;IL15RA;TNFSF9;NINJ1;F2RL1;SDC4;TNFRSF9;PANX1;GCH1;NR4A1;DUSP5;IER2;B4GALT1;MAFF;EGR3;MAP2K3;PMEPA1;CD83;PTGS2;TNC;B4GALT5;PLAU;TNFAIP8
HALLMARK_UV_RESPONSE_UP,0.4881166199739613,1.0307990653703636,0.3543859649122807,0.6367566545189258,158,154,ASNS;ALDOA;CA2;BSG;AMD1;TMBIM6;SIGMAR1;RPN1;RHOB;ATF3;GAL;IGFBP2;NFKBIA;AP2S1;TFRC;MRPL23;PPIF;POLR2H;BID;GLS;ATP6V1F;JUNB;FOS;CREG1;MSX1;GGH;KLHDC3;DDX21;NKX2-5;PPT1;E2F5;TST;CHRNA5;EPHX1;GRPEL1;MGAT1;FEN1;H2AFX;NPTX2;ARRB2;SLC25A4;SOD2;SPR;DGAT1;COL2A1;FOSB;DNAJA1;BCL2L11;HMOX1;GCH1;NR4A1;TUBA4A;STK25;LYN;CLTB;GPX3;HYAL2;BMP2;LHX2;CDKN1C;HSPA13;CXCL2;HSPA2;PDLIM3;ICAM1;RET;EPCAM;PPAT;RASGRP1;CYP1A1;NPTXR;RAB27A;TYRO3;HTR7;RRAD;TAP1;OLFM1;PTPRD;NTRK3;ABCB1;PLCL1;APOM;CDO1;TACR3;CCK;TCHH;FMO1;AQP3;RXRB;MMP14;C4BPB;IL6;PRKCD;ONECUT1;MAOA;FGF18;SHOX2;SLC6A12;RFC4;WIZ;HLA-F;CLCN2;TGFBRAP1;FKBP4;BAK1;YKT6;CCND3;IRF1;NAT1;DLG4;CEBPG;CDKN2B;KCNH2;CASP3;UROD;IL6ST;SULT1A1;STARD3;CDC5L;CCNE1;CHKA;MARK2;FURIN;ATP6V1C1;BTG3;BTG1;EIF2S3;PARP2;PRPF3;PPP1R2;ACAA1;CDC34;PDAP1;CNP;CYB5R1;MAPK8IP2;CYB5B;POLE3;POLG2;CDK2;PRKACA;PSMC3;ENO2;ALAS1;SLC6A8;GRINA;BTG2;NXF1;SQSTM1;HNRNPU;TARS;DNAJB1;STIP1;EIF5,ASNS;ALDOA;CA2;BSG;AMD1;TMBIM6;SIGMAR1;RPN1;RHOB;ATF3;GAL;IGFBP2;NFKBIA;AP2S1;TFRC;MRPL23;PPIF;POLR2H;BID;GLS;ATP6V1F;JUNB;FOS;CREG1;MSX1;GGH;KLHDC3;DDX21;NKX2-5;PPT1;E2F5;TST;CHRNA5;EPHX1;GRPEL1;MGAT1;FEN1;H2AFX;NPTX2;ARRB2
HALLMARK_APICAL_JUNCTION,0.47720078575278196,1.013964888162953,0.35646687697160884,0.6403901687736636,200,191,ACTG1;ACTB;PFN1;INSIG1;TUBG1;ADAM15;CD99;FSCN1;ACTN1;YWHAH;VCL;CD276;RSU1;NLGN2;LIMA1;CNN2;DSC3;JAM3;RHOF;ATP1A3;AMH;B4GALT1;NRXN2;NRTN;MPP5;GAMT;SLIT2;PPP2R2C;CNTN1;ADAM9;VCAN;NF2;TSPAN4;ADAM23;CDH1;MAP4K2;MMP2;ICAM4;RAC2;LDLRAP1;CLDN6;LAYN;ICAM1;EGFR;ARHGEF6;MYH10;PIK3CB;LAMB3;TMEM8B;CLDN14;PLCG1;CDH4;MVD;SYK;PBX2;IRS1;TNFRSF11B;CALB2;MMP9;ITGA9;ADRA1B;PCDH1;CDH11;COL9A1;ITGA2;AMIGO2;TRAF1;LAMC2;NFASC;CLDN4;DSC1;ADAMTS5;MPZL2;THY1;CX3CL1;NEGR1;CADM3;MYL9;FYB;VCAM1;NRAP;CLDN19;DMP1;ITGA10;CD274;CDH6;COL17A1;TGFBI;CLDN18;VWF;SHROOM2;PTPRC;CD209;ACTG2;CD34;ALOX15B;ACTC1;ITGA3;ICAM2;PECAM1;CRB3;CLDN5;CDH15;PDZD3;SIRPA;CLDN11;COL16A1;VAV2;GRB7;FBN1;AKT3;ACTN3;AKT2;ITGB4;CLDN9;MAPK13;WNK4;AMIGO1;NLGN3;CADM2;LAMA3;BMP1;ACTA1;CDH3;PARD6G;TJP1;PIK3R3;SDC3;MADCAM1;RASA1;CRAT;GNAI2;PARVA;MSN;NEXN;SLC30A3;CERCAM;DHX16;HADH;CLDN7;KCNH2;THBS3;RRAS;MPZL1;PTEN;SRC;TRO;WASL;MAPK11;CDH8;CDK8;SYMPK;MYH9;MAPK14;ICAM5;BAIAP2;FLNC;NF1;DLG1;SPEG;TSC1;GNAI1;SGCE;ZYX;SKAP2;ACTN2;EXOC4;ITGB1;SORBS3;CTNND1;EVL;CLDN15;PTK2;TAOK2;JUP;IKBKG;ACTN4;HRAS;ARPC2;PKD1;SHC1;MYL12B;STX4;EPB41L2;VASP;INPPL1;CAP1;GTF2F1;CTNNA1;TIAL1;MDK,ACTG1;ACTB;PFN1;INSIG1;TUBG1
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.5352671831160474,1.159730253443288,0.20474777448071216,0.6413078354617211,200,195,PMAIP1;MYC;SLC7A5;GLA;XBP1;FASN;DHCR7;SLC16A1;HES1;PPIF;GJA1;ASB13;CCND1;FDFT1;FOS;ABCA3;TUBB2B;CHPT1;MYBBP1A;BHLHE40;FARP1;SCARB1;TPD52L1;RAB31;FOXC1;PRSS23;ELOVL5;NBL1;RPS6KA2;ISG20L2;SIAH2;KLF4;SLC39A6;TIAM1;ADCY1;ABLIM1;SLC19A2;AKAP1;WWC1;B4GALT1;EGR3;SLC1A4;RHOBTB3;SLC27A2;IGF1R;NPY1R;FHL2;SLC7A2;PODXL;ESRP2;DLC1;ELF1;SULT2B1;DYNLT3;NXT1;GREB1;CA12;TPBG;UGCG;ENDOD1;KAZN;TGM2;CD44;MYB;SYNGR1;NCOR2;SLC22A5;PDLIM3;MAPT;BCL2;REEP1;KRT18;RET;IGFBP4;KCNK15;RASGRP1;CYP26B1;TBC1D30;PTGES;AREG;CELSR2;KRT13;MAST4;HR;CISH;MREG;SLC26A2;ADCY9;SLC1A1;OLFM1;CBFA2T3;IL17RB;WISP2;SEC14L2;TSKU;TFAP2C;MLPH;OVOL2;CALB2;MYOF;KLK10;SOX3;ELF3;RHOD;PGR;INHBB;OLFML3;SYBU;SLC24A3;SLC9A3R1;ZNF185;TJP3;MPPED2;THSD4;WFS1;RAB17;PAPSS2;AR;AQP3;TMPRSS3;FKBP5;CXCL12;NAV2;KRT15;CALCR;P2RY2;LAD1;OPN3;BCL11B;ALDH3B1;CLIC3;SFN;JAK2;KCNK5;FRK;PDZK1;FLNB;MUC1;PEX11A;CELSR1;GFRA1;ANXA9;TIPARP;TTC39A;DEPTOR;SCNN1A;SYT12;STC2;FKBP4;TOB1;ELOVL2;NRIP1;FAM134B;SLC37A1;SEMA3B;HSPB8;MICB;ITPK1;SLC2A1;ABAT;RAPGEFL1;SVIL;CLDN7;TGIF2;LRIG1;MYBL1;INPP5F;FAM63A;SH3BP5;TMEM164;KLF10;UNC119;IL6ST;FAM102A;GAB2;ABHD2;ARL3;AFF1;SNX24;CANT1;KDM4B;MED24;MED13L;DHRS3;RBBP8;BLVRB;PLA2G16;RARA;RRP12;BAG1;NADSYN1;ADD3;AMFR;KRT8;DHRS2,PMAIP1;MYC;SLC7A5;GLA;XBP1;FASN;DHCR7;SLC16A1;HES1;PPIF;GJA1;ASB13;CCND1;FDFT1;FOS;ABCA3;TUBB2B;CHPT1;MYBBP1A;BHLHE40;FARP1;SCARB1;TPD52L1;RAB31;FOXC1;PRSS23;ELOVL5;NBL1;RPS6KA2;ISG20L2;SIAH2;KLF4;SLC39A6;TIAM1;ADCY1;ABLIM1;SLC19A2;AKAP1;WWC1;B4GALT1;EGR3;SLC1A4;RHOBTB3;SLC27A2;IGF1R;NPY1R;FHL2;SLC7A2;PODXL;ESRP2;DLC1
HALLMARK_FATTY_ACID_METABOLISM,0.5918348450598847,1.233691132922448,0.1624203821656051,0.6421313824894651,158,152,MIF;H2AFZ;ALDOA;LDHA;GLUL;CA2;MDH2;G0S2;PRDX6;ECI1;OSTC;FASN;DHCR24;PDHA1;PDHB;IDI1;SDHC;CBR1;PSME1;SMS;LGALS1;S100A10;MDH1;CPOX;YWHAH;EPHX1;PCBD1;HMGCS1;ECH1;ECI2;SUCLG2;ELOVL5;HSD17B11;ETFDH;FH;RDH11;ACAT2;HADHB;ACSL4;REEP6;NBN;UBE2L6;ACSM3;CPT1A;GSTZ1;CBR3;HPGD;CRYZ;ME1;NSDHL;GCDH;HSD17B4;SLC22A5;SUCLG1;METAP1;RAP1GDS1;ACSS1;ACADS;CYP1A1;ALDH1A1;IL4I1;ECHS1;MGLL;CD1D;AADAT;CA6;RDH16;CYP4A22;ACSL5;AQP7;VNN1;CIDEA;GAD2;FABP2;INMT;FMO1;TDO2;CD36;CYP4A11;MAOA;ALDH3A1;LTC4S;ADH1C;GAPDHS;GPD1;HAO2;AOC3;ACOT2;PPARA;BMPR1B;PTPRG;MLYCD;ACADL;BPHL;IDH3G;CEL;CPT2;UGDH;NTHL1;DLD;CRAT;PTS;BCKDHB;GPD2;HADH;EHHADH;UROD;UROS;ACAA2;AUH;ACSL1;BLVRA;GRHPR;IDH3B;SDHD;D2HGDH;TP53INP2;HIBCH;ALAD;IDH1;MCEE;HSDL2;ALDH3A2;NCAPH2;ADIPOR2;RETSAT;ENO3;DECR1;SUCLA2;HCCS;ACOT8;ACO2;ACAA1;ACOX1;ALDH9A1;SDHA;HMGCL;CCDC58;ADSL;HSD17B7;ACADM;ENO2;GABARAPL1;ODC1;APEX1;SERINC1;ERP29;HSD17B10;DLST;HSPH1;ACADVL;HSP90AA1,MIF;H2AFZ;ALDOA;LDHA;GLUL;CA2;MDH2;G0S2;PRDX6;ECI1;OSTC;FASN;DHCR24;PDHA1;PDHB;IDI1;SDHC;CBR1;PSME1;SMS;LGALS1;S100A10;MDH1;CPOX;YWHAH;EPHX1;PCBD1;HMGCS1;ECH1;ECI2;SUCLG2;ELOVL5;HSD17B11;ETFDH;FH;RDH11;ACAT2
