# normalize enrichment scores by using the entire data set
# as indicated by Barbie et al., 2009, online methods, pg. 2
Term|NES	RNF43_G659fs_4	RNF43_G659fs_3	RNF43_G659fs_2	RNF43_G659fs_1
HALLMARK_MYOGENESIS	0.04946228610868622	0.04404768972940733	0.05011540945853625	0.042164141077585475
HALLMARK_NOTCH_SIGNALING	0.083298905682253	0.08870682280288586	0.07790149054176809	0.08168886538307886
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.6339075352933082	0.6361494334795764	0.6345685746003878	0.6340950137664582
HALLMARK_P53_PATHWAY	0.22705867918323316	0.229927264656598	0.23147742773984264	0.22851936965770217
HALLMARK_PANCREAS_BETA_CELLS	0.011338008384937927	0.01406829082354211	0.02557722940015239	0.010915150747520974
HALLMARK_PEROXISOME	0.2404515808386869	0.24167676405867028	0.2441995402819769	0.24159156562840892
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.3239353564645067	0.3310878044948599	0.3313425474049059	0.32843602908560243
HALLMARK_PROTEIN_SECRETION	0.4110260479706804	0.41984200176092296	0.415229633912732	0.41638877008607694
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	0.3549340226344294	0.3624429281013975	0.3690555732184296	0.3613642786370456
HALLMARK_SPERMATOGENESIS	0.09785955701764343	0.10765752497769658	0.10562844760836697	0.10774693154538524
HALLMARK_TGF_BETA_SIGNALING	0.2020248142044069	0.21611052694689487	0.2018679294752947	0.20455842046510392
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.015662210940444437	0.01671003014041458	0.018836014839072067	0.0049014230978190075
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.570798880006018	0.5682122222664017	0.569704948101376	0.5737702135878049
HALLMARK_UV_RESPONSE_DN	0.049735470493006695	0.05505197732146981	0.05409183712951539	0.0539756190355325
HALLMARK_UV_RESPONSE_UP	0.3093369982727797	0.31094141537297204	0.31534958542623254	0.30664403265598267
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.22570511984331637	0.22923700082955228	0.23033237256332495	0.2173924470451456
HALLMARK_XENOBIOTIC_METABOLISM	0.18480251061366476	0.18386688676494997	0.1872305565479113	0.17504739099559866
# normalize enrichment scores by using the entire data set
# as indicated by Barbie et al., 2009, online methods, pg. 2
Term|NES	RNF43_G659fs_4	RNF43_G659fs_3	RNF43_G659fs_2	RNF43_G659fs_1
HALLMARK_ADIPOGENESIS	0.3753432356072313	0.37318630236556244	0.3764374050824556	0.37348074594966135
HALLMARK_ALLOGRAFT_REJECTION	0.02396781716859618	0.025592267467273357	0.02826105078631912	0.0187917969973212
HALLMARK_ANDROGEN_RESPONSE	0.2866549589089629	0.2915644495601792	0.2883375183418547	0.2891682338902365
HALLMARK_ANGIOGENESIS	0.10823504945869813	0.10829677137424097	0.11077010540008558	0.0976994683832651
HALLMARK_APICAL_JUNCTION	0.1209149171012519	0.12309056537663528	0.1257166898433689	0.11680546891974684
HALLMARK_APICAL_SURFACE	0.03111206320596668	0.04583037101724414	0.04182536850537396	0.03432460546057544
HALLMARK_APOPTOSIS	0.2858642087023856	0.2890689688197114	0.2883208357107268	0.28037703778484446
HALLMARK_BILE_ACID_METABOLISM	0.04249933574848126	0.04199576384884758	0.04391017290656979	0.0346351969048741
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.32349585330422437	0.3264436543439878	0.33260329957836854	0.31443884073323786
HALLMARK_COAGULATION	-0.0518251624584192	-0.05716541069331191	-0.05241500195785012	-0.06684929120744376
HALLMARK_COMPLEMENT	0.04021140990022416	0.04248250038029459	0.04345051034376275	0.031204669833392044
HALLMARK_DNA_REPAIR	0.4927799970035689	0.4912983607985697	0.49617955332508584	0.49653119557227443
HALLMARK_E2F_TARGETS	0.6110603467989191	0.6127910740130201	0.6083833940566565	0.6122464457859219
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.013912670575861246	0.017397827834955894	0.02026507814373898	0.014721044782108514
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.02933650217354119	0.01883225926691926	0.028404242912822442	0.020157684892496468
HALLMARK_ESTROGEN_RESPONSE_LATE	0.13356941934402464	0.12495287191777124	0.13517188600334634	0.12806525857643145
HALLMARK_FATTY_ACID_METABOLISM	0.3698738367503194	0.3723663843316399	0.37299282528990674	0.3692530005347479
HALLMARK_G2M_CHECKPOINT	0.5363250967337958	0.5390450099687242	0.5353560627912868	0.53766819773739
HALLMARK_GLYCOLYSIS	0.27839889920175714	0.27716439450679003	0.27953610001165363	0.27633968791926455
HALLMARK_HEDGEHOG_SIGNALING	0.04073226159863601	0.0408485517317466	0.03938364628502272	0.04371120710495798
HALLMARK_HEME_METABOLISM	0.23122713178094886	0.2335076245085471	0.23481777482325203	0.22754340179939353
HALLMARK_HYPOXIA	0.1427981151182665	0.14254102547714081	0.14743977373476977	0.132449335271374
HALLMARK_IL2_STAT5_SIGNALING	0.08414734973094042	0.08816689045434335	0.0872902815288086	0.08354852272441408
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.008393846915915947	0.008546084087786744	0.00446513660407047	0.00788001102241604
HALLMARK_INFLAMMATORY_RESPONSE	-0.08273473684176973	-0.0863815478035043	-0.08114255585721837	-0.09314905305887979
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.03041207289085111	0.039140018099497735	0.039223344049701646	0.035218722468098075
HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.014724271771103354	-0.016564399328516107	-0.012941148904827022	-0.023776717546488378
HALLMARK_KRAS_SIGNALING_DN	-0.22684972384490815	-0.22668255162259315	-0.224301476091705	-0.23404373054939692
HALLMARK_KRAS_SIGNALING_UP	-0.1363482840300961	-0.1240410573326923	-0.12833580424390287	-0.1347925000891674
HALLMARK_MITOTIC_SPINDLE	0.3403417693236718	0.34565347434991817	0.3393853503586178	0.3367044494162275
HALLMARK_MTORC1_SIGNALING	0.5300259564133358	0.5332628057004437	0.5343820128130488	0.5330694261615273
HALLMARK_MYC_TARGETS_V1	0.7636249766356834	0.7634424957802477	0.7622560206828374	0.765956269450603
HALLMARK_MYC_TARGETS_V2	0.5439894431505331	0.5312459731214282	0.5359161009451929	0.5381445622032611
HALLMARK_MYOGENESIS	0.04946228610868622	0.04404768972940733	0.05011540945853625	0.042164141077585475
HALLMARK_NOTCH_SIGNALING	0.083298905682253	0.08870682280288586	0.07790149054176809	0.08168886538307886
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.6339075352933082	0.6361494334795764	0.6345685746003878	0.6340950137664582
HALLMARK_P53_PATHWAY	0.22705867918323316	0.229927264656598	0.23147742773984264	0.22851936965770217
HALLMARK_PANCREAS_BETA_CELLS	0.011338008384937927	0.01406829082354211	0.02557722940015239	0.010915150747520974
HALLMARK_PEROXISOME	0.2404515808386869	0.24167676405867028	0.2441995402819769	0.24159156562840892
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.3239353564645067	0.3310878044948599	0.3313425474049059	0.32843602908560243
HALLMARK_PROTEIN_SECRETION	0.4110260479706804	0.41984200176092296	0.415229633912732	0.41638877008607694
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	0.3549340226344294	0.3624429281013975	0.3690555732184296	0.3613642786370456
HALLMARK_SPERMATOGENESIS	0.09785955701764343	0.10765752497769658	0.10562844760836697	0.10774693154538524
HALLMARK_TGF_BETA_SIGNALING	0.2020248142044069	0.21611052694689487	0.2018679294752947	0.20455842046510392
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.015662210940444437	0.01671003014041458	0.018836014839072067	0.0049014230978190075
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.570798880006018	0.5682122222664017	0.569704948101376	0.5737702135878049
HALLMARK_UV_RESPONSE_DN	0.049735470493006695	0.05505197732146981	0.05409183712951539	0.0539756190355325
HALLMARK_UV_RESPONSE_UP	0.3093369982727797	0.31094141537297204	0.31534958542623254	0.30664403265598267
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.22570511984331637	0.22923700082955228	0.23033237256332495	0.2173924470451456
HALLMARK_XENOBIOTIC_METABOLISM	0.18480251061366476	0.18386688676494997	0.1872305565479113	0.17504739099559866
