# normalize enrichment scores by using the entire data set
# as indicated by Barbie et al., 2009, online methods, pg. 2
Term|NES	RNF43_G659fs_4	RNF43_G659fs_3	RNF43_G659fs_2	RNF43_G659fs_1
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.7007320623282628	0.7175907787181461	0.7197711224312838	0.7124604185821896
HALLMARK_XENOBIOTIC_METABOLISM	0.4989665152206457	0.4951667670665594	0.504324358106152	0.49464087647776095
# normalize enrichment scores by using the entire data set
# as indicated by Barbie et al., 2009, online methods, pg. 2
Term|NES	RNF43_G659fs_4	RNF43_G659fs_3	RNF43_G659fs_2	RNF43_G659fs_1
HALLMARK_ADIPOGENESIS	0.7858330282412554	0.790558284149271	0.7942206814273326	0.7855606366367534
HALLMARK_ALLOGRAFT_REJECTION	0.24507138567584952	0.2398137204822475	0.2594537036735187	0.2408716204630984
HALLMARK_ANDROGEN_RESPONSE	0.7659619838518056	0.7610675351423378	0.7657130994602667	0.759744205143681
HALLMARK_ANGIOGENESIS	0.41674703828928145	0.4438624584370702	0.43722792350984	0.42721451185752096
HALLMARK_APICAL_JUNCTION	0.5299732582190205	0.5322436436353408	0.5377696934944485	0.5273814238314354
HALLMARK_APICAL_SURFACE	0.40627924851241715	0.40391346714984294	0.40474248913496036	0.3884969554672216
HALLMARK_APOPTOSIS	0.6391321108340094	0.6344863765582804	0.6420972286221127	0.6180649904228468
HALLMARK_BILE_ACID_METABOLISM	0.43335650876091886	0.4324287870032793	0.4136966451674086	0.41862789330250144
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.8142910621558329	0.819314381554433	0.8228210409243283	0.8085691560468432
HALLMARK_COAGULATION	0.27382923906455814	0.2762786412559161	0.29370366555086663	0.27172587184616187
HALLMARK_COMPLEMENT	0.4091616576437442	0.4132609280533938	0.40088961502651144	0.40560257151245505
HALLMARK_DNA_REPAIR	0.9373214542671452	0.9352125576840103	0.9384587526494006	0.9392088942181677
HALLMARK_E2F_TARGETS	1.036944615474629	1.0378432569832732	1.0358058418884994	1.034371201755821
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.44447217145068385	0.4531548135240058	0.4607580473417815	0.45915587677072145
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.5717908021876961	0.5695653737513002	0.5745509235971777	0.5703536530945774
HALLMARK_ESTROGEN_RESPONSE_LATE	0.5538021157105687	0.5534499203136595	0.5584217419431049	0.5519181781586385
HALLMARK_FATTY_ACID_METABOLISM	0.7241495926131207	0.72362296763438	0.7289124583111755	0.7269387161803433
HALLMARK_G2M_CHECKPOINT	0.9867695934895763	0.9895627294295086	0.9846583383051675	0.9879853426552475
HALLMARK_GLYCOLYSIS	0.7520234520519703	0.7477947493753414	0.7460511228489429	0.7440426717302142
HALLMARK_HEDGEHOG_SIGNALING	0.5659519874722537	0.5814930066130967	0.5669003252701864	0.5666622540032968
HALLMARK_HEME_METABOLISM	0.6397565332718672	0.6503644637247498	0.6553813487042958	0.6469600083911846
HALLMARK_HYPOXIA	0.6233629117295345	0.6119482367350162	0.6148555731060033	0.6040853409863349
HALLMARK_IL2_STAT5_SIGNALING	0.5032561196068335	0.5034302988047535	0.5042801929381437	0.5043961744942674
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.3463306023272281	0.3347870873281085	0.34399457128421046	0.3319269877070485
HALLMARK_INFLAMMATORY_RESPONSE	0.26669477718968465	0.25546565881740557	0.25746332881216716	0.2479679639299423
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.4429515286605994	0.45424765445496335	0.43061404221027244	0.4567696929375979
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.3818219088545691	0.3851362129462035	0.36583389276627554	0.37866037232037014
HALLMARK_KRAS_SIGNALING_DN	0.16729145216877164	0.16117810209282876	0.14401251801211	0.16102725806429963
HALLMARK_KRAS_SIGNALING_UP	0.29214028107891277	0.3087198794444944	0.31646818775678487	0.2943355057423959
HALLMARK_MITOTIC_SPINDLE	0.8505976032592908	0.8537278979256283	0.8510123084772064	0.8477583385201636
HALLMARK_MTORC1_SIGNALING	0.9654585177023423	0.9672353374334354	0.9646033196091026	0.967371754004008
HALLMARK_MYC_TARGETS_V1	1.1424732388649135	1.1423574119706008	1.1415725691510474	1.1440125180121101
HALLMARK_MYC_TARGETS_V2	0.9968441383168052	0.9884401048713115	0.9914288945051883	0.9929636190972215
HALLMARK_MYOGENESIS	0.4198931501608242	0.4261598234098237	0.4273299842349279	0.41639659505441184
HALLMARK_NOTCH_SIGNALING	0.6476218255343218	0.6573965576391455	0.6515045461820779	0.6480438714229948
HALLMARK_OXIDATIVE_PHOSPHORYLATION	1.0524376749712545	1.0538631019242861	1.0530150197873926	1.052560218741765
HALLMARK_P53_PATHWAY	0.7212145173470247	0.7117514374781898	0.7209876844076695	0.7084541173992486
HALLMARK_PANCREAS_BETA_CELLS	0.23217951077428678	0.22758131940014364	0.24216183429336435	0.19825374001122478
HALLMARK_PEROXISOME	0.6953970759158509	0.688367703347034	0.683541229357971	0.6832699774236282
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.7532819533458808	0.7523267558865591	0.7587092856811403	0.7609574743470952
HALLMARK_PROTEIN_SECRETION	0.8945649284684806	0.9022814419062929	0.896199430211063	0.900242188987095
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	0.8366380375398742	0.8607334257910894	0.8403463505533842	0.8427290716171268
HALLMARK_SPERMATOGENESIS	0.3672789754856383	0.37030745596085635	0.35934765914550554	0.3864291586553706
HALLMARK_TGF_BETA_SIGNALING	0.7342509123931077	0.7425185220895486	0.7331242437182602	0.7365499569852153
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.5126743599982578	0.5074013530050138	0.5147524771249472	0.4991903967392304
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.9874056597776626	0.9857802738958309	0.9854996142821179	0.9960076391382633
HALLMARK_UV_RESPONSE_DN	0.6153697637512614	0.6171835270862132	0.6162347431156474	0.6190122095603592
HALLMARK_UV_RESPONSE_UP	0.7847262592373401	0.7930888976393546	0.7882219846991302	0.7849521742721808
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.7007320623282628	0.7175907787181461	0.7197711224312838	0.7124604185821896
HALLMARK_XENOBIOTIC_METABOLISM	0.4989665152206457	0.4951667670665594	0.504324358106152	0.49464087647776095
