Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-0.5461446957517234,-1.887931686581279,0.0,0.0,113,107,EDC4;TATDN2;IMP3;EXOSC2;EIF4G1;KDELR3;EXOSC4;NFYA;FKBP14;EEF2;LSM4;H2AFX;ARFGAP1;ZBTB17;CALR;CNOT6;SPCS3;NHP2;EIF4E;NOLC1;DCP1A;TTC37;DCTN1;PDIA6;DCP2;GEMIN4;BANF1;CXXC1;EIF4A2;LSM1;XPOT;KIF5B;ATP6V0D1;YIF1A;ASNS;IFIT1;POP4;SLC7A5;KHSRP;EIF4A3;PAIP1;SRPRB;PDIA5;SLC30A5;YWHAZ;TSPYL2;EDEM1;GOSR2;EIF2AK3;NOP56;SERP1;ALDH18A1;CNOT2;CEBPB;SPCS1;TUBB2A;PREB;SSR1;SEC11A;CNOT4;EIF2S1;BAG3;DDX10;EIF4A1;DNAJC3;FUS;SLC1A4;CHAC1;VEGFA;DKC1;NFYB;RPS14;CEBPG;EXOC2;SDAD1;ATF6;MTHFD2;PSAT1;IARS;WIPI1;EIF4EBP1;EXOSC5;SKIV2L2;DDIT4;EXOSC9;EXOSC10;WFS1;PARN;NPM1;NOP14;HSP90B1;ATF4;HSPA9;HYOU1;DNAJB9;TARS;RRP9;XBP1;EXOSC1;SHC1;CKS1B;ERN1;SEC31A;STC2;HERPUD1;ATF3;HSPA5,CHAC1;VEGFA;DKC1;NFYB;RPS14;CEBPG;EXOC2;SDAD1;ATF6;MTHFD2;PSAT1;IARS;WIPI1;EIF4EBP1;EXOSC5;SKIV2L2;DDIT4;EXOSC9;EXOSC10;WFS1;PARN;NPM1;NOP14;HSP90B1;ATF4;HSPA9;HYOU1;DNAJB9;TARS;RRP9;XBP1;EXOSC1;SHC1;CKS1B;ERN1;SEC31A;STC2;HERPUD1;ATF3;HSPA5
HALLMARK_DNA_REPAIR,-0.4271838288253957,-1.6853038833625589,0.0,0.026946107784431142,150,138,CDA;ADCY6;GPX4;DGCR8;AK1;NME3;AK3;GUK1;POLR2H;APRT;SMAD5;BCAM;ERCC8;POLE4;TAF6;POLD1;BCAP31;NUDT9;CLP1;NME4;DDB1;SAC3D1;BOLA2;NCBP2;SNAPC4;TAF10;ERCC2;COX17;POLR2E;MPG;SDCBP;SUPT5H;CANT1;POLD4;TAF13;POLR2A;POLR2C;POLR2J;POLR2F;POLR2D;DGUOK;TCEB3;VPS37B;DAD1;REV3L;TARBP2;TAF12;ZWINT;POLH;DUT;POM121;NUDT21;TAF1C;ADA;PNP;SUPT4H1;STX3;ZNF707;FEN1;NT5C;RFC3;POLR2K;GTF2B;ZNRD1;IMPDH2;RBX1;ARL6IP1;NME1;POLR1C;ELL;ERCC3;GTF2A2;TSG101;RPA2;SURF1;POLL;GMPR2;RAD52;GTF2H3;ERCC5;ITPA;POLR1D;CCNO;DFNA5;USP11;GTF2H1;GTF2H5;HPRT1;RNMT;POLA1;PCNA;RRM2B;POLB;POLR3GL;POLR2G;GTF2F1;POLR2I;POLD3;PRIM1;CSTF3;VPS37D;DDB2;RAE1;UMPS;SNAPC5;ERCC4;RALA;VPS28;TMED2;SF3A3;ADRM1;XPC;POLA2;BRF2;RFC4;RPA3;SRSF6;RFC2;EDF1;LIG1;RAD51;TYMS;TK2;AAAS;GTF3C5;SEC61A1;RFC5;TP53;SSRP1;CETN2;DCTN4;TAF9;EIF1B;POLR3C;ERCC1;MRPL40;NFX1;UPF3B,GTF2H1;GTF2H5;HPRT1;RNMT;POLA1;PCNA;RRM2B;POLB;POLR3GL;POLR2G;GTF2F1;POLR2I;POLD3;PRIM1;CSTF3;VPS37D;DDB2;RAE1;UMPS;SNAPC5;ERCC4;RALA;VPS28;TMED2;SF3A3;ADRM1;XPC;POLA2;BRF2;RFC4;RPA3;SRSF6;RFC2;EDF1;LIG1;RAD51;TYMS;TK2;AAAS;GTF3C5;SEC61A1;RFC5;TP53;SSRP1;CETN2;DCTN4;TAF9;EIF1B;POLR3C;ERCC1;MRPL40;NFX1;UPF3B
HALLMARK_PROTEIN_SECRETION,-0.3956663071531371,-1.5255820056834488,0.034482758620689655,0.09880239520958085,96,94,CD63;PPT1;M6PR;ATP1A1;YKT6;KIF1B;GOLGA4;STX12;GNAS;GLA;CTSC;COG2;TMX1;ANP32E;YIPF6;LAMP2;SCAMP3;ATP6V1B1;SGMS1;SCRN1;DOPEY1;ADAM10;VAMP4;MAPK1;DST;RAB9A;SEC24D;GBF1;ARFGEF1;LMAN1;NAPG;PAM;MON2;CAV2;ATP7A;COPB2;EGFR;IGF2R;BNIP3;CLN5;RAB22A;GALC;STX16;AP3S1;AP3B1;ATP6V1H;GOSR2;TSG101;SOD1;ERGIC3;RAB14;AP2M1;DNM1L;TMED10;AP2S1;SH3GL2;CLCN3;AP1G1;CLTA;RPS6KA3;ARFIP1;ICA1;SCAMP1;VAMP3;TPD52;STX7;SEC22B;OCRL;VAMP7;ARF1;RAB2A;ARCN1;VPS45;SNAP23;NAPA;SSPN;TMED2;VPS4B;CLTC;TOM1L1;SNX2;USO1;ARFGEF2;AP2B1;RER1;ARFGAP3;COPE;RAB5A;COPB1;KRT18;ZW10;BET1;SEC31A;STAM,RPS6KA3;ARFIP1;ICA1;SCAMP1;VAMP3;TPD52;STX7;SEC22B;OCRL;VAMP7;ARF1;RAB2A;ARCN1;VPS45;SNAP23;NAPA;SSPN;TMED2;VPS4B;CLTC;TOM1L1;SNX2;USO1;ARFGEF2;AP2B1;RER1;ARFGAP3;COPE;RAB5A;COPB1;KRT18;ZW10;BET1;SEC31A;STAM
HALLMARK_APICAL_JUNCTION,0.3724720795663677,1.5586878623493154,0.0,0.16494845360824742,200,147,TAOK2;STX4;ADAM15;NRTN;NLGN2;JUP;AMH;INPPL1;KCNH2;SLIT2;MPP5;CNN2;CD276;NF2;MPZL1;ITGA2;ICAM4;PIK3CB;TSPAN4;PPP2R2C;PBX2;NF1;PARD6G;FSCN1;PCDH1;GNAI2;ADAM9;ITGB1;CNTN1;LDLRAP1;AKT2;CLDN15;RRAS;MAP4K2;RAC2;CD99;PFN1;INSIG1;ITGA3;VCAN;ACTB;B4GALT1;TUBG1;AMIGO2;LIMA1;PIK3R3;SIRPA;IKBKG;CLDN6;ADAM23;TIAL1;PLCG1;MAPK14;BMP1;ACTG1;ICAM5;AKT3;CLDN7;TSC1;YWHAH;MYH9;VASP;CLDN4;MMP2;ACTN2;ARPC2;NLGN3;MVD;SYMPK;CDK8;PKD1;DLG1;DSC3;VCL;CDH1;RSU1;JAM3;LAMB3;ATP1A3;WNK4;ACTA1;HRAS;TRO;RHOF;FLNC;LAMA3;SYK;NRXN2;PTK2;CDH3;EVL;BAIAP2;MYH10;TJP1;ACTN1;VAV2;SRC;MAPK11;MAPK13;TMEM8B;ZYX;SLC30A3;NFASC;CLDN11;CTNND1;CRAT;EGFR;IRS1;THBS3;NEXN;WASL;AMIGO1;GNAI1;RASA1;FBN1;ITGA9;CERCAM;ADRA1B;TRAF1;PTEN;ICAM2;ACTN4;CAP1;SPEG;ARHGEF6;CADM2;ITGB4;SDC3;CDH8;CRB3;COL16A1;SKAP2;GTF2F1;PARVA;EPB41L2;GAMT;SGCE;LAYN;CTNNA1;MYL12B;EXOC4;DHX16;SORBS3;MSN;MDK;SHC1;HADH,TAOK2;STX4;ADAM15;NRTN;NLGN2;JUP;AMH;INPPL1;KCNH2;SLIT2;MPP5;CNN2;CD276;NF2;MPZL1;ITGA2;ICAM4;PIK3CB;TSPAN4;PPP2R2C;PBX2;NF1;PARD6G;FSCN1;PCDH1;GNAI2;ADAM9;ITGB1;CNTN1;LDLRAP1;AKT2;CLDN15;RRAS;MAP4K2;RAC2;CD99;PFN1;INSIG1;ITGA3;VCAN;ACTB;B4GALT1;TUBG1;AMIGO2;LIMA1;PIK3R3;SIRPA;IKBKG;CLDN6;ADAM23;TIAL1;PLCG1;MAPK14;BMP1;ACTG1;ICAM5;AKT3;CLDN7
HALLMARK_NOTCH_SIGNALING,0.5765310984890012,1.5848509546370901,0.0,0.21993127147766323,32,27,FZD5;HES1;NOTCH3;PPARD;FZD7;NOTCH2;FZD1;FBXW11;DLL1;ST3GAL6;KAT2A;NOTCH1;WNT5A;SKP1;PRKCA;ARRB1;CCND1;APH1A;HEYL;DTX2;TCF7L2;SAP30;RBX1;CUL1;JAG1;PSENEN;PSEN2,FZD5;HES1;NOTCH3;PPARD;FZD7;NOTCH2;FZD1;FBXW11;DLL1;ST3GAL6;KAT2A;NOTCH1;WNT5A;SKP1;PRKCA
HALLMARK_TGF_BETA_SIGNALING,0.47477696453814455,1.3965620776081593,0.11538461538461539,0.22778595974472265,54,51,SLC20A1;BMPR2;TGFB1;FURIN;JUNB;CDKN1C;PPM1A;SMURF2;SMAD6;SMAD7;ID1;APC;ID2;PMEPA1;RAB31;ID3;NCOR2;SMAD1;NOG;HDAC1;SKI;BMPR1A;CDK9;HIPK2;ARID4B;LTBP2;PPP1CA;ENG;KLF10;BCAR3;CDH1;MAP3K7;IFNGR2;SMURF1;SPTBN1;RHOA;XIAP;TJP1;CTNNB1;BMP2;TGFBR1;SMAD3;TGIF1;WWTR1;ACVR1;FKBP1A;UBE2D3;SKIL;TRIM33;FNTA;PPP1R15A,SLC20A1;BMPR2;TGFB1;FURIN;JUNB;CDKN1C;PPM1A;SMURF2;SMAD6;SMAD7;ID1;APC;ID2;PMEPA1;RAB31;ID3;NCOR2;SMAD1;NOG
HALLMARK_MYC_TARGETS_V1,-0.4471069196104355,-1.365244848672862,0.037037037037037035,0.23712574850299403,200,197,RPS2;G3BP1;TUFM;SRSF2;UBE2L3;GOT2;TFDP1;PPM1G;PABPC4;DHX15;SRSF1;TXNL4A;MRPL23;PRDX4;SLC25A3;PPIA;CNBP;LSM7;FAM120A;XPO1;RPS10;HDGF;NDUFAB1;NOP16;NCBP2;EIF3B;SNRPA;STARD7;CYC1;H2AFZ;RPS5;VDAC1;PSMB3;PGK1;CBX3;GNL3;SNRPG;NHP2;GSPT1;EIF4E;HNRNPA2B1;SNRPA1;PRDX3;PCBP1;NOLC1;GLO1;TARDBP;MYC;VDAC3;TRIM28;SNRPD2;U2AF1;SERBP1;NAP1L1;PSMA7;EIF4G2;DUT;XPOT;PSMA2;RANBP1;SRPK1;ORC2;NCBP1;FBL;HNRNPR;PSMD1;SF3B3;PHB;CDC45;SNRPD1;RPLP0;HSPE1;HNRNPC;DDX21;RPL34;YWHAQ;LDHA;DEK;KPNB1;RPL22;RPS3;CCT7;AP3S1;PTGES3;RPL18;RAD23B;SSB;SRSF7;IMPDH2;SYNCRIP;NME1;CUL1;EXOSC7;COX5A;PSMB2;VBP1;RPL14;PRPS2;MCM6;NOP56;CCT3;TRA2B;HSP90AB1;MCM4;CAD;PRPF31;SNRPD3;LSM2;YWHAE;PSMA1;CLNS1A;MAD2L1;PA2G4;RAN;EIF2S2;CCT5;SET;EIF2S1;TCP1;RPS6;EIF4A1;CDK4;ETF1;RPL6;ERH;HPRT1;CDC20;SF3A1;BUB3;UBA2;PSMA6;PCNA;MCM5;RNPS1;PSMA4;PSMD3;CDK2;MCM2;EIF1AX;APEX1;C1QBP;PSMC6;SRSF3;USP1;ABCE1;CSTF2;PWP1;SMARCC1;KPNA2;PABPC1;EEF1B2;CCT4;COPS5;IARS;POLD2;RUVBL2;PSMD14;RRM1;SRM;SSBP1;MRPS18B;RFC4;HNRNPU;PSMC4;DDX18;HDDC2;KARS;EIF3J;CANX;EIF3D;CCNA2;MCM7;IFRD1;PSMD8;TYMS;ACP1;HNRNPD;PHB2;NPM1;MRPL9;HDAC2;EIF4H;PSMD7;EPRS;ODC1;RSL1D1;RRP9;SNRPB2;AIMP2;HSPD1;HNRNPA3;POLE3;ILF2;UBE2E1;CCT2;HNRNPA1;XRCC6,TCP1;RPS6;EIF4A1;CDK4;ETF1;RPL6;ERH;HPRT1;CDC20;SF3A1;BUB3;UBA2;PSMA6;PCNA;MCM5;RNPS1;PSMA4;PSMD3;CDK2;MCM2;EIF1AX;APEX1;C1QBP;PSMC6;SRSF3;USP1;ABCE1;CSTF2;PWP1;SMARCC1;KPNA2;PABPC1;EEF1B2;CCT4;COPS5;IARS;POLD2;RUVBL2;PSMD14;RRM1;SRM;SSBP1;MRPS18B;RFC4;HNRNPU;PSMC4;DDX18;HDDC2;KARS;EIF3J;CANX;EIF3D;CCNA2;MCM7;IFRD1;PSMD8;TYMS;ACP1;HNRNPD;PHB2;NPM1;MRPL9;HDAC2;EIF4H;PSMD7;EPRS;ODC1;RSL1D1;RRP9;SNRPB2;AIMP2;HSPD1;HNRNPA3;POLE3;ILF2;UBE2E1;CCT2;HNRNPA1;XRCC6
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.44722358721761024,1.4025293825725775,0.0,0.26575028636884307,42,39,JAG2;WNT6;CSNK1E;MAML1;FZD8;PPARD;HEY2;FZD1;CCND2;NUMB;ADAM17;DLL1;NCOR2;KAT2A;PTCH1;RBPJ;FRAT1;DKK1;NOTCH1;LEF1;MYC;HDAC5;TCF7;AXIN2;AXIN1;CTNNB1;WNT5B;HEY1;CUL1;JAG1;GNAI1;PSEN2;NKD1;HDAC11;SKP2;DVL2;TP53;HDAC2;NCSTN,JAG2;WNT6;CSNK1E;MAML1;FZD8;PPARD;HEY2;FZD1;CCND2;NUMB;ADAM17;DLL1;NCOR2;KAT2A;PTCH1;RBPJ;FRAT1;DKK1;NOTCH1
HALLMARK_HEDGEHOG_SIGNALING,0.42059976071424665,1.3615488197444776,0.043478260869565216,0.27147766323024053,36,31,UNC5C;ACHE;TLE1;NKX6-1;HEY2;NF1;NRCAM;GLI1;ETS2;PTCH1;NRP1;CNTFR;CDK6;TLE3;L1CAM;PML;MYH9;LDB1;SLIT1;OPHN1;CRMP1;VLDLR;NRP2;HEY1;RASA1;CDK5R1;CELSR1;VEGFA;DPYSL2;RTN1;AMOT,UNC5C;ACHE;TLE1;NKX6-1;HEY2;NF1;NRCAM;GLI1;ETS2;PTCH1;NRP1;CNTFR;CDK6;TLE3;L1CAM;PML;MYH9;LDB1
HALLMARK_MYOGENESIS,0.43084697928739424,1.4731576110712454,0.0,0.274914089347079,200,136,SH2B1;ERBB3;SYNGR2;TGFB1;OCEL1;COL1A1;AGRN;CFD;KCNH2;FOXO4;MYO1C;FHL1;FKBP1B;MAPRE3;TNNT1;SPHK1;ACHE;SPTAN1;ITGA7;ADCY9;CKB;AK1;CACNA1H;SLC6A8;CLU;TPM2;ITGB1;AGL;RIT1;AKT2;MAPK12;CNN3;VIPR1;COL4A2;SCD;GSN;GABARAPL2;HBEGF;ATP6AP1;LPIN1;COL6A2;GADD45B;ABLIM1;DAPK2;PDLIM7;REEP1;APP;TEAD4;CHRNB1;NOTCH1;IGFBP7;PDE4DIP;MYH9;PPFIA4;NCAM1;ITGB5;APOD;GAA;MEF2D;BAG1;ACTN2;SIRT2;MYL6B;ENO3;GPX3;PICK1;PKIA;PLXNB2;DTNA;HDAC5;SORBS1;PFKM;PC;SPARC;MYL3;GNAO1;SVIL;ACTA1;CDKN1A;FABP3;EIF4A2;TCAP;FST;PVALB;KLF5;PYGM;SMTN;FXYD1;FLII;TPD52L1;BHLHE40;MEF2A;SCHIP1;CRAT;TAGLN;CAV3;ST5;ATP2A1;TSC2;CAMK2B;KIFC3;RYR1;MYH3;MYLK;BIN1;EPHB3;CTF1;TPM3;DMPK;MEF2C;WWTR1;TNNC1;DMD;MRAS;PGAM2;PSEN2;FGF2;MYOM2;CRYAB;FDPS;PRNP;PTP4A3;NAV2;SPEG;HSPB8;ITGB4;LSP1;RB1;ACSL1;NQO1;SSPN;COL6A3;SORBS3;IFRD1;SH3BGR;STC2,SH2B1;ERBB3;SYNGR2;TGFB1;OCEL1;COL1A1;AGRN;CFD;KCNH2;FOXO4;MYO1C;FHL1;FKBP1B;MAPRE3;TNNT1;SPHK1;ACHE;SPTAN1;ITGA7;ADCY9;CKB;AK1;CACNA1H;SLC6A8;CLU;TPM2;ITGB1;AGL;RIT1;AKT2;MAPK12;CNN3;VIPR1;COL4A2;SCD;GSN;GABARAPL2;HBEGF;ATP6AP1;LPIN1;COL6A2;GADD45B;ABLIM1;DAPK2;PDLIM7;REEP1;APP;TEAD4
HALLMARK_E2F_TARGETS,-0.33469862882471113,-1.37486761342899,0.03333333333333333,0.27619760479041916,200,196,IPO7;NAA38;MXD3;SRSF2;SLBP;ASF1B;TFRC;CCP110;LBR;KIF18B;HMGA1;ESPL1;SRSF1;NUP153;CDC25B;TIMELESS;MKI67;PRDX4;LUC7L3;POLE;SNRPB;DDX39A;CTCF;DCTPP1;POLE4;SPAG5;PDS5B;CDKN2A;POLD1;DNMT1;TUBG1;XPO1;ANP32E;TBRG4;UBE2S;SPC24;ILF3;H2AFX;H2AFZ;BIRC5;CIT;RRM2;GINS1;GSPT1;WEE1;STMN1;POP7;CKS2;NOLC1;MYC;ORC6;DCLRE1B;PHF5A;CENPM;ATAD2;TCF19;BUB1B;WDR90;NCAPD2;MCM3;CDKN1A;PTTG1;KIF22;HELLS;AK2;NAP1L1;HN1;PNN;CDC25A;AURKB;DUT;NUDT21;RANBP1;ORC2;CDKN1B;STAG1;PRKDC;DONSON;UNG;E2F8;SMC6;SUV39H1;PRPS1;CDCA3;DLGAP5;SHMT1;PLK1;TK1;RPA1;DEK;CHEK2;RFC3;HMGB3;TACC3;SYNCRIP;CENPE;NME1;EED;BRCA2;MCM6;PAN2;KIF2C;MYBL2;NOP56;RPA2;AURKA;TRA2B;PLK4;CDCA8;UBR7;CDKN2C;BRMS1L;MCM4;MELK;SMC4;KIF4A;PPP1R8;SMC1A;TRIP13;CCNE1;SPC25;DSCC1;NBN;RAD21;MAD2L1;PA2G4;DCK;NUP205;RAN;CHEK1;EIF2S1;PSIP1;TMPO;MSH2;CDK4;CDC20;PCNA;NASP;MCM5;TOP2A;PPM1D;HUS1;LMNB1;MCM2;RAD1;TIPIN;RAD51AP1;PMS2;DEPDC1;POLD3;RACGAP1;USP1;LYAR;CBX5;MTHFD2;ASF1A;NUP107;PSMC3IP;BRCA1;DIAPH3;KPNA2;RBBP7;GINS4;RNASEH2A;BARD1;MMS22L;SMC3;POLD2;POLA2;RFC1;UBE2T;RAD51C;RPA3;RFC2;LIG1;MCM7;RAD50;TUBB;GINS3;PRIM2;HNRNPD;CDKN3;EZH2;CDK1;TP53;SSRP1;CCNB2;HMGB2;HMMR;PAICS;EXOSC8;ZW10;CKS1B;ING3;CSE1L;XRCC6,TMPO;MSH2;CDK4;CDC20;PCNA;NASP;MCM5;TOP2A;PPM1D;HUS1;LMNB1;MCM2;RAD1;TIPIN;RAD51AP1;PMS2;DEPDC1;POLD3;RACGAP1;USP1;LYAR;CBX5;MTHFD2;ASF1A;NUP107;PSMC3IP;BRCA1;DIAPH3;KPNA2;RBBP7;GINS4;RNASEH2A;BARD1;MMS22L;SMC3;POLD2;POLA2;RFC1;UBE2T;RAD51C;RPA3;RFC2;LIG1;MCM7;RAD50;TUBB;GINS3;PRIM2;HNRNPD;CDKN3;EZH2;CDK1;TP53;SSRP1;CCNB2;HMGB2;HMMR;PAICS;EXOSC8;ZW10;CKS1B;ING3;CSE1L;XRCC6
HALLMARK_UV_RESPONSE_UP,0.37359853693759304,1.4070520519403837,0.041666666666666664,0.3134020618556701,158,142,NPTXR;RPN1;COL2A1;BCL2L11;NFKBIA;ENO2;DLG4;FURIN;MARK2;KCNH2;KLHDC3;STK25;JUNB;CDKN1C;FOSB;PPT1;TFRC;SIGMAR1;MMP14;HYAL2;GCH1;SLC25A4;AMD1;CDC34;FOS;SLC6A8;YKT6;CXCL2;CCND3;GLS;TAP1;MRPL23;DGAT1;POLR2H;SPR;PRKCD;NKX2-5;RET;ALDOA;MSX1;EPCAM;NXF1;PDLIM3;IGFBP2;TMBIM6;EPHX1;CHRNA5;PRKACA;TGFBRAP1;FKBP4;PLCL1;STARD3;NR4A1;LYN;TUBA4A;CA2;BAK1;H2AFX;TYRO3;NPTX2;SHOX2;CHKA;MGAT1;WIZ;BSG;CREG1;DNAJA1;ARRB2;GGH;AQP3;SOD2;HSPA2;CYP1A1;GAL;GPX3;LHX2;SLC6A12;CDO1;CYB5R1;IL6ST;ACAA1;TST;ALAS1;BID;ATP6V1F;RHOB;MAPK8IP2;RASGRP1;PPP1R2;CDKN2B;ABCB1;CASP3;OLFM1;HLA-F;MAOA;POLG2;CLCN2;GRINA;BMP2;CLTB;ASNS;RRAD;ATP6V1C1;FEN1;CNP;DDX21;DNAJB1;PDAP1;E2F5;RAB27A;BTG2;PTPRD;STIP1;NAT1;PPAT;PPIF;GRPEL1;CCNE1;AP2S1;RXRB;EIF5;SQSTM1;IRF1;EIF2S3;CDK2;BTG3;BTG1;CYB5B;CEBPG;HSPA13;PRPF3;PARP2;RFC4;HNRNPU;UROD;PSMC3;SULT1A1;CDC5L;TARS;HMOX1;POLE3;ATF3,NPTXR;RPN1;COL2A1;BCL2L11;NFKBIA;ENO2;DLG4;FURIN;MARK2;KCNH2;KLHDC3;STK25;JUNB;CDKN1C;FOSB;PPT1;TFRC;SIGMAR1;MMP14;HYAL2;GCH1;SLC25A4;AMD1;CDC34;FOS;SLC6A8;YKT6;CXCL2;CCND3;GLS;TAP1;MRPL23;DGAT1;POLR2H;SPR;PRKCD;NKX2-5;RET;ALDOA;MSX1;EPCAM;NXF1;PDLIM3;IGFBP2;TMBIM6;EPHX1;CHRNA5;PRKACA;TGFBRAP1;FKBP4;PLCL1;STARD3;NR4A1;LYN;TUBA4A;CA2;BAK1;H2AFX;TYRO3;NPTX2
HALLMARK_ANGIOGENESIS,0.5272158307173513,1.3308915134096329,0.09090909090909091,0.31462390225276826,36,22,JAG2;S100A4;ITGAV;LRPAP1;CCND2;MSX1;VCAN;PDGFA;LPL;NRP1;APP;TNFRSF21;FGFR1;KCNJ8;PTK2;LUM;VAV2;JAG1;FSTL1;TIMP1;VEGFA;SLCO2A1,JAG2;S100A4;ITGAV;LRPAP1;CCND2;MSX1;VCAN;PDGFA;LPL;NRP1;APP
HALLMARK_COAGULATION,0.38389103124246604,1.421433968611033,0.0,0.32989690721649484,138,76,LRP1;CTSK;MMP15;FN1;CD9;CTSB;FURIN;F12;CFD;MMP14;CRIP2;ITGA2;CLU;CSRP1;ADAM9;PROS1;MAFF;GSN;RABIF;P2RY1;S100A13;C1R;LGMN;COMP;LAMP2;BMP1;PLAU;GNB2;GP1BA;LTA4H;SERPING1;ANG;KLK8;MMP11;PLAT;S100A1;MMP2;CASP9;SIRT2;C1S;PEF1;TFPI2;SPARC;FYN;APOC1;CFB;TF;C2;MASP2;GNG12;CAPN5;RAPGEF3;DPP4;SH2B2;PREP;F3;RAC1;C3;MST1;DUSP6;FBN1;ISCU;WDR1;F8;ARF4;MSRB2;USP11;TIMP3;PRSS23;TIMP1;KLF7;ANXA1;CAPN2;CTSH;CTSO;HTRA1,LRP1;CTSK;MMP15;FN1;CD9;CTSB;FURIN;F12;CFD;MMP14;CRIP2;ITGA2;CLU;CSRP1;ADAM9;PROS1;MAFF;GSN;RABIF;P2RY1;S100A13;C1R;LGMN;COMP;LAMP2;BMP1;PLAU;GNB2;GP1BA;LTA4H;SERPING1;ANG;KLK8;MMP11;PLAT;S100A1;MMP2;CASP9;SIRT2
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.35005425188528655,1.307992457922321,0.125,0.3463917525773196,200,141,LRP1;COL5A1;TGFB1;FN1;PLAUR;COL12A1;ENO2;FLNA;COL1A1;TGFBR3;EDIL3;ITGAV;SLIT2;MMP14;FSTL3;FZD8;EMP3;FBLN1;PLOD1;ITGA2;LAMC1;SAT1;NOTCH2;FUCA1;SLC6A8;CALU;BASP1;ID2;TPM2;CADM1;FBN2;GAS1;PMEPA1;ITGB1;CYR61;LAMA1;GJA1;PLOD3;MSX1;COL4A2;VCAN;IGFBP4;NID2;GPC1;IGFBP2;COL6A2;CRLF1;GADD45B;PLOD2;CDH2;SDC4;CD59;JUN;FOXC2;COMP;TGM2;DKK1;BMP1;LGALS1;FBLN2;CD44;SFRP1;ABI3BP;SDC1;WNT5A;PMP22;ITGB5;APLP1;ITGA5;COL4A1;MATN3;PRRX1;QSOX1;MMP2;TNFRSF12A;DST;SGCB;COL7A1;CTGF;TNFAIP3;LOXL2;RGS4;EFEMP2;TFPI2;SPARC;TPM1;RHOB;LOXL1;PTX3;LAMA3;TPM4;DAB2;LUM;SPOCK1;PDLIM4;PCOLCE;GEM;DPYSL3;SERPINE2;WIPF1;TAGLN;CXCL12;SLIT3;IL32;MYLK;IL15;LOX;PTHLH;VEGFC;FBN1;MAGEE1;FGF2;MATN2;FBLN5;SNAI2;TNC;ELN;FSTL1;CALD1;VIM;COL16A1;TIMP3;TIMP1;VEGFA;PCOLCE2;SERPINH1;FERMT2;PVR;AREG;COL6A3;ACTA2;MCM7;CAP2;GADD45A;PPIB;COPA;HTRA1;PFN2;CAPG;SNTB1;FAS,LRP1;COL5A1;TGFB1;FN1;PLAUR;COL12A1;ENO2;FLNA;COL1A1;TGFBR3;EDIL3;ITGAV;SLIT2;MMP14;FSTL3;FZD8;EMP3;FBLN1;PLOD1;ITGA2;LAMC1;SAT1;NOTCH2;FUCA1;SLC6A8;CALU;BASP1;ID2;TPM2;CADM1;FBN2;GAS1;PMEPA1;ITGB1;CYR61;LAMA1;GJA1;PLOD3;MSX1;COL4A2;VCAN;IGFBP4;NID2;GPC1;IGFBP2;COL6A2;CRLF1;GADD45B;PLOD2;CDH2;SDC4;CD59;JUN;FOXC2;COMP;TGM2;DKK1;BMP1;LGALS1;FBLN2;CD44;SFRP1;ABI3BP;SDC1
HALLMARK_MYC_TARGETS_V2,-0.5154317826323035,-1.3027146624222443,0.2,0.35029940119760483,58,58,NOP2;SLC29A2;DCTPP1;PPRC1;TBRG4;NOP16;BYSL;TMEM97;SLC19A1;CBX3;GNL3;PUS1;NOLC1;SORD;PPAN;MYC;RRP12;DUSP2;NDUFAF4;PHB;HSPE1;UNG;GRWD1;PLK1;FARSA;NIP7;MAP3K6;NOP56;IMP4;MYBBP1A;PLK4;MCM4;TCOF1;RCL1;PA2G4;CDK4;MCM5;MRTO4;MPHOSPH10;RABEPK;PRMT3;TFB2M;UTP20;SRM;EXOSC5;DDX18;HK2;SUPV3L1;NPM1;IPO4;WDR43;WDR74;RRP9;LAS1L;AIMP2;HSPD1;NOC4L;PES1,MPHOSPH10;RABEPK;PRMT3;TFB2M;UTP20;SRM;EXOSC5;DDX18;HK2;SUPV3L1;NPM1;IPO4;WDR43;WDR74;RRP9;LAS1L;AIMP2;HSPD1;NOC4L;PES1
HALLMARK_APICAL_SURFACE,0.48066331152699443,1.2733924122958118,0.17391304347826086,0.4273664479850047,44,28,CROCC;PLAUR;MDGA1;SLC2A4;RTN4RL1;ADIPOR2;GAS1;DCBLD2;NCOA6;HSPB1;B4GALT1;APP;ATP8B1;EPHB4;LYN;ADAM10;AFAP1L2;SCUBE1;EFNA5;GSTM3;GHRL;SULF2;TMEM8B;SRPX;FLOT2;GATA3;BRCA1;AKAP7,CROCC;PLAUR;MDGA1;SLC2A4;RTN4RL1;ADIPOR2;GAS1;DCBLD2;NCOA6;HSPB1;B4GALT1;APP;ATP8B1;EPHB4;LYN
