Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.5080820990565842,2.6101127678356435,0.0,0.0,200,140,FZD8;GEM;CYR61;PTX3;PPIB;IL32;GADD45B;GAS1;SDC4;SAT1;PVR;BASP1;GJA1;ID2;COL5A1;TIMP3;MSX1;RHOB;SNAI2;FN1;GPC1;IGFBP2;COL4A1;CTGF;CRLF1;SPARC;JUN;LAMA1;TGFBR3;DKK1;TNC;TGFB1;COL4A2;PMP22;SFRP1;FLNA;PLOD1;TNFAIP3;EDIL3;TFPI2;LAMC1;QSOX1;COL1A1;CALD1;TIMP1;CALU;MATN3;SLIT3;TGM2;EMP3;SERPINE2;COL12A1;WNT5A;LOX;FBN2;CDH2;IGFBP4;PLOD2;FUCA1;CADM1;NID2;WIPF1;VCAN;PMEPA1;ITGB5;LGALS1;LOXL2;ABI3BP;ITGA2;FBLN2;VIM;NT5E;SLIT2;MMP2;VEGFC;LRP1;DAB2;FBLN5;RGS4;DST;SDC1;FGF2;COL6A2;MYLK;GADD45A;SNTB1;PRRX1;EFEMP2;PLOD3;COMP;CXCL12;DPYSL3;FOXC2;MMP14;CD59;COL16A1;PCOLCE;NOTCH2;PCOLCE2;SPOCK1;FSTL1;PLAUR;TPM4;FBLN1;FBN1;ITGAV;SGCB;LOXL1;ELN;TNFRSF12A;LAMA3;VEGFA;FERMT2;COL5A2;PDLIM4;SLC6A8;BMP1;APLP1;TPM1;HTRA1;MATN2;SERPINH1;TPM2;IL15;COL6A3;COL7A1;MAGEE1;PTHLH;ITGB1;ITGA5;FSTL3;CAPG;TAGLN;CAP2;PFN2;ENO2;COPA;MCM7;ACTA2;FAS,FZD8;GEM;CYR61;PTX3;PPIB;IL32;GADD45B;GAS1;SDC4;SAT1;PVR;BASP1;GJA1;ID2;COL5A1;TIMP3;MSX1;RHOB;SNAI2;FN1;GPC1;IGFBP2;COL4A1;CTGF;CRLF1;SPARC;JUN;LAMA1;TGFBR3;DKK1;TNC;TGFB1;COL4A2;PMP22;SFRP1;FLNA;PLOD1;TNFAIP3;EDIL3;TFPI2;LAMC1;QSOX1;COL1A1;CALD1;TIMP1;CALU;MATN3;SLIT3;TGM2;EMP3;SERPINE2;COL12A1;WNT5A;LOX;FBN2;CDH2;IGFBP4;PLOD2;FUCA1
HALLMARK_ESTROGEN_RESPONSE_LATE,0.43495796572176715,2.1676786133441417,0.0,0.0,200,155,GAL;FOS;ABCA3;CA2;CKB;DHCR7;EGR3;SLC27A2;CD9;IDH2;FOXC1;ID2;SLC29A1;TST;RNASEH2A;RAB31;NPY1R;SCARB1;RPS6KA2;PLAC1;SLC16A1;NMU;SLC7A5;FABP5;SORD;KLF4;PERP;CHPT1;FARP1;PTGES;ASS1;GLA;CCND1;TIAM1;PPIF;DNAJC12;NBL1;TPD52L1;TPBG;PRKAR2B;CA12;TFPI2;IGSF1;TSPAN13;COX6C;CDH1;XBP1;SULT2B1;SGK1;PRSS23;UNC13B;CHST8;BCL2;RET;EMP2;MYB;DUSP2;IGFBP4;ELOVL5;FDFT1;HOMER2;SIAH2;PDCD4;CISH;DYNLT3;NXT1;CACNA2D2;SLC1A4;GINS2;NAB2;IMPA2;OLFM1;MAPT;HPRT1;PDLIM3;ETFB;CYP26B1;DCXR;SLC26A2;TFAP2C;IL17RB;SLC22A5;CELSR2;SNX10;NCOR2;CAV1;SLC9A3R1;LLGL2;TJP3;KIF20A;PAPSS2;PLXNB1;WFS1;FKBP5;FKBP4;FLNB;LSR;CXCL12;TOB1;SLC2A8;KCNK5;UGDH;METTL3;DNAJC1;OPN3;PTPN6;ALDH3B1;DLG5;JAK2;TNNC1;XRCC3;STIL;IL6ST;MAPK13;JAK1;PDZK1;ITPK1;SFN;SCNN1A;FAM102A;RABEP1;SEMA3B;CPE;HSPB8;BTG3;ISG20;ST6GALNAC2;CDC20;ALDH3A2;ZFP36;ANXA9;FRK;FGFR3;HSPA4L;PLA2G16;AMFR;ABHD2;NRIP1;MOCS2;MDK;AFF1;RAPGEFL1;BLVRB;TOP2A;ATP2B4;BAG1;ADD3;TSTA3;CDC6;PLK4;ARL3;MICB;RBBP8;DHRS2;GALE,GAL;FOS;ABCA3;CA2;CKB;DHCR7;EGR3;SLC27A2;CD9;IDH2;FOXC1;ID2;SLC29A1;TST;RNASEH2A;RAB31;NPY1R;SCARB1;RPS6KA2;PLAC1;SLC16A1;NMU;SLC7A5;FABP5;SORD;KLF4;PERP;CHPT1;FARP1;PTGES;ASS1;GLA;CCND1;TIAM1;PPIF;DNAJC12;NBL1;TPD52L1;TPBG;PRKAR2B;CA12;TFPI2;IGSF1;TSPAN13;COX6C;CDH1;XBP1;SULT2B1;SGK1;PRSS23;UNC13B;CHST8;BCL2;RET;EMP2;MYB;DUSP2;IGFBP4;ELOVL5;FDFT1;HOMER2
HALLMARK_HYPOXIA,0.4155751375107476,2.0662082686825936,0.0,0.0,200,167,PGK1;CYR61;PGM1;HSPA5;FOS;LDHA;SDC4;NDRG1;EXT1;CSRP2;TPI1;COL5A1;SDC2;FAM162A;BHLHE40;KDELR3;MIF;ADORA2B;GPC1;PRDX5;PFKP;DUSP1;CHST2;TPST2;SCARB1;SLC37A4;ENO1;CTGF;GALK1;GAPDH;B3GALT6;JUN;HMOX1;ERRFI1;CITED2;PFKFB3;GPI;PGM2;ATF3;TPBG;KLF6;AKAP12;CA12;TNFAIP3;GAA;GCK;ALDOA;GPC4;SULT2B1;ALDOC;CHST3;TGM2;EGFR;BCL2;MAFF;LOX;MT2A;CXCR4;PCK1;GPC3;STBD1;NFIL3;SIAH2;HOXB9;AK4;CDKN1C;SLC6A6;SRPX;HK2;NDST1;PDK3;TPD52;S100A4;PTRF;ADM;SELENBP1;RBPJ;TES;F3;HDLBP;IRS2;ILVBL;CAV1;P4HA2;IDS;STC2;NDST2;VHL;NEDD4L;GBE1;SDC3;GRHPR;ANXA2;TIPARP;CASP6;PLAC8;DDIT4;EFNA3;HEXA;GLRX;RORA;GAPDHS;HK1;PAM;PLAUR;TMEM45A;SLC2A1;PFKL;LXN;INHA;PIM1;ETS1;VEGFA;PPFIA4;ANKZF1;MYH9;P4HA1;DTNA;PGAM2;NAGK;VLDLR;TGFB3;ISG20;GCNT2;EFNA1;PNRC1;KLF7;NR3C1;DPYSL4;ZFP36;SLC2A3;RRAGD;SAP30;JMJD6;ZNF292;UGP2;PYGM;BTG1;XPNPEP1;DDIT3;FOSL2;B4GALNT2;PRKCA;TKTL1;PDK1;WSB1;PGF;ENO3;KIF5A;FOXO3;PHKG1;GYS1;BNIP3L;PPP1R15A;KDM3A;CCNG2;BCAN;MAP3K1;KLHL24;SLC25A1;ATP7A;CDKN1B;ENO2;MXI1;CDKN1A;LDHC;PLIN2,PGK1;CYR61;PGM1;HSPA5;FOS;LDHA;SDC4;NDRG1;EXT1;CSRP2;TPI1;COL5A1;SDC2;FAM162A;BHLHE40;KDELR3;MIF;ADORA2B;GPC1;PRDX5;PFKP;DUSP1;CHST2;TPST2;SCARB1;SLC37A4;ENO1;CTGF;GALK1;GAPDH;B3GALT6;JUN;HMOX1;ERRFI1;CITED2;PFKFB3;GPI;PGM2;ATF3;TPBG;KLF6;AKAP12;CA12;TNFAIP3;GAA;GCK;ALDOA;GPC4;SULT2B1
HALLMARK_IL2_STAT5_SIGNALING,0.4034136252965278,2.2027309925446605,0.0,0.0,200,152,ETV4;PNP;MYC;GADD45B;TNFRSF9;COCH;PTRH2;CA2;TNFRSF21;CKAP4;NDRG1;UCK2;SLC1A5;LRRC8C;AHCY;NCS1;BMP2;BHLHE40;RHOB;PDCD2L;ENPP1;RGS16;ALCAM;CCND2;SH3BGRL2;CSF1;IL18R1;TIAM1;AKAP2;CD83;GPX4;CD81;KLF6;IRF8;SLC29A2;SPRED2;MAPKAPK2;XBP1;ARL4A;GSTO1;BCL2L1;BATF3;SCN9A;ADAM19;TGM2;SOCS1;BCL2;MYO1E;MAFF;PTGER2;MAP3K8;SERPINB6;PLAGL1;NFIL3;HOPX;DCPS;SYNGR2;SLC39A8;CDKN1C;TTC39B;ITGA6;CISH;NOP2;EOMES;PHTF2;RNH1;SYT11;IGF1R;NFKBIZ;NT5E;HK2;AMACR;IL4R;SNX14;PTCH1;AHNAK;TRAF1;IFITM3;IL10RA;S100A1;ABCB1;GLIPR2;GUCY1B3;SMPDL3A;IFNGR1;PLSCR1;HUWE1;ST3GAL4;AGER;ITGAE;HIPK2;RHOH;CCND3;WLS;PUS1;CYFIP1;RORA;NRP1;PRNP;EMP1;ITGAV;BMPR2;PLEC;PIM1;MYO1C;POU2F1;AHR;FLT3LG;MUC1;SNX9;UMPS;MXD1;P4HA1;LCLAT1;PRKCH;P2RX4;APLP1;NCOA3;FAH;PRAF2;CASP3;ANXA4;SLC2A3;RRAGD;ITIH5;PTH1R;IKZF2;CDC42SE2;LRIG1;CAPN3;COL6A1;RABGAP1L;ODC1;IKZF4;CTSZ;TWSG1;ENO3;DENND5A;GALM;CAPG;FURIN;SOCS2;FAM126B;CDC6;GABARAPL1;IL3RA;CCNE1;DHRS3;IGF2R;LIF;SWAP70;PLIN2,ETV4;PNP;MYC;GADD45B;TNFRSF9;COCH;PTRH2;CA2;TNFRSF21;CKAP4;NDRG1;UCK2;SLC1A5;LRRC8C;AHCY;NCS1;BMP2;BHLHE40;RHOB;PDCD2L;ENPP1;RGS16;ALCAM;CCND2;SH3BGRL2;CSF1;IL18R1;TIAM1;AKAP2;CD83;GPX4;CD81;KLF6;IRF8;SLC29A2;SPRED2;MAPKAPK2;XBP1;ARL4A;GSTO1;BCL2L1;BATF3;SCN9A;ADAM19;TGM2;SOCS1;BCL2;MYO1E;MAFF;PTGER2;MAP3K8;SERPINB6;PLAGL1;NFIL3;HOPX;DCPS;SYNGR2;SLC39A8;CDKN1C;TTC39B;ITGA6;CISH
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.5578423341692422,2.7897220181603277,0.0,0.0,200,153,EGR1;HES1;GEM;CYR61;PTX3;PANX1;DUSP4;PHLDA2;FJX1;FOS;MYC;GADD45B;NFKBIA;TNFRSF9;KLF9;SDC4;RIPK2;SAT1;EGR3;IL15RA;ID2;MARCKS;PLAU;BMP2;BHLHE40;RHOB;FOSB;G0S2;RELB;DUSP1;CSF1;ETS2;IER5;NAMPT;KLF4;JUN;CCND1;GCH1;JUNB;CEBPD;NFKB2;TRIB1;PFKFB3;SLC2A6;TNC;F2RL1;CD83;TNFSF9;ATF3;DUSP5;KLF6;TNFAIP3;FUT4;LDLR;B4GALT5;TNIP1;SGK1;MAFF;TNFAIP8;MAP3K8;DUSP2;TAP1;NR4A2;NFIL3;CEBPB;NR4A1;FOSL1;PMEPA1;NINJ1;B4GALT1;CXCL3;ATP2B1;MAP2K3;SOD2;EHD1;DRAM1;IER2;GFPT2;MSC;TGIF1;HBEGF;ZBTB10;TUBB2A;PTPRE;PDLIM5;TRAF1;JAG1;F3;IRS2;SNN;IL7R;GADD45A;IFNGR2;NR4A3;EGR2;KLF2;BCL3;NFKB1;RCAN1;ICOSLG;SIK1;SERPINB8;ZC3H12A;SOCS3;TIPARP;TNFAIP2;TSC22D1;PER1;IL23A;PLAUR;MCL1;IL6ST;TNIP2;VEGFA;NFE2L2;KLF10;MXD1;TANK;TRIP10;DNAJB4;BTG3;SPHK1;YRDC;EFNA1;PNRC1;DDX58;BCL6;LITAF;RELA;ZFP36;SLC2A3;NFKBIE;BTG1;IRF1;CFLAR;SPSB1;FOSL2;BIRC2;SLC16A6;KDM6B;SMAD3;PLK2;EIF1;DENND5A;REL;RNF19B;PPP1R15A;SQSTM1;CCNL1;NFAT5;CDKN1A;LIF;BTG2,EGR1;HES1;GEM;CYR61;PTX3;PANX1;DUSP4;PHLDA2;FJX1;FOS;MYC;GADD45B;NFKBIA;TNFRSF9;KLF9;SDC4;RIPK2;SAT1;EGR3;IL15RA;ID2;MARCKS;PLAU;BMP2;BHLHE40;RHOB;FOSB;G0S2;RELB;DUSP1;CSF1;ETS2;IER5;NAMPT;KLF4;JUN;CCND1;GCH1;JUNB;CEBPD;NFKB2;TRIB1;PFKFB3;SLC2A6;TNC;F2RL1;CD83;TNFSF9;ATF3;DUSP5;KLF6;TNFAIP3;FUT4
HALLMARK_ANGIOGENESIS,0.5822777981921716,1.9991749904987717,0.0,0.0020987827060305023,36,22,LRPAP1;KCNJ8;TNFRSF21;MSX1;CCND2;TIMP1;APP;VCAN;LPL;SLCO2A1;PDGFA;S100A4;JAG1;FGFR1;VAV2;JAG2;FSTL1;NRP1;ITGAV;VEGFA;COL5A2;PTK2,LRPAP1;KCNJ8;TNFRSF21;MSX1;CCND2;TIMP1;APP
HALLMARK_MTORC1_SIGNALING,0.41667050660931376,2.044734071059874,0.0,0.0024485798237022524,200,193,PGK1;RPN1;PGM1;SSR1;HSPA5;PNP;RRM2;ASNS;LDHA;PPIA;SCD;DHCR7;ACLY;BCAT1;CTSC;IGFBP5;INSIG1;SLC1A5;CYP51A1;SDF2L1;TPI1;CD9;EBP;LGMN;FADS1;BHLHE40;DHCR24;TFRC;MTHFD2;HMGCS1;TUBG1;HMBS;SLC37A4;ENO1;SLC7A5;PSAT1;ATP5G1;SORD;GAPDH;NAMPT;HSP90B1;GLA;IFI30;SQLE;SERP1;SHMT2;GPI;CALR;PRDX1;ABCF2;ALDOA;PPA1;XBP1;LDLR;PHGDH;PSPH;TOMM40;PSMB5;STARD4;POLR3G;LTA4H;IDI1;CXCR4;ME1;ATP2A2;GOT1;FADS2;SRD5A1;PLOD2;ELOVL5;EGLN3;NFIL3;NUP205;AK4;FKBP2;G6PD;SLC6A6;GSR;EIF2S2;TMEM97;RDH11;TUBA4A;SLC1A4;MAP2K3;CCT6A;HK2;CTH;HPRT1;HMGCR;IMMT;CORO1A;ITGB2;EPRS;TES;PSMA4;MCM4;CCNF;UNG;ELOVL6;NMT1;SLC7A11;SLC9A3R1;ACACA;CCNG1;EDEM1;EEF1E1;HSPE1;PNO1;TRIB3;DDX39A;GBE1;PSME3;PSMA3;YKT6;FAM129A;DDIT4;GLRX;TM7SF2;GMPS;DHFR;QDPR;TXNRD1;GCLC;USO1;SLC2A1;PLK1;PFKL;PIK3R3;PDAP1;AURKA;P4HA1;ACSL3;SEC11A;NUPR1;PITPNB;HSPD1;VLDLR;TCEA1;ADIPOR2;GSK3B;PSMD13;UFM1;UCHL5;UBE2D3;SERPINH1;CACYBP;SYTL2;PSMG1;SLC2A3;HSPA4;ETF1;RAB1A;RPA1;DDIT3;M6PR;PSMD14;STIP1;HSPA9;CYB5B;PDK1;WARS;RIT1;IDH1;TBK1;CANX;ACTR3;BUB1;IFRD1;ACTR2;ATP6V1D;NFKBIB;ADD3;MCM2;PPP1R15A;NFYC;MTHFD2L;PSMC6;PSMC2;SQSTM1;RRP9;PSMC4;MLLT11;CDC25A;SKAP2;PSMD12;COPS5;NUFIP1;ARPC5L;CDKN1A;GGA2;GTF2H1;BTG2;FDXR,PGK1;RPN1;PGM1;SSR1;HSPA5;PNP;RRM2;ASNS;LDHA;PPIA;SCD;DHCR7;ACLY;BCAT1;CTSC;IGFBP5;INSIG1;SLC1A5;CYP51A1;SDF2L1;TPI1;CD9;EBP;LGMN;FADS1;BHLHE40;DHCR24;TFRC;MTHFD2;HMGCS1;TUBG1;HMBS;SLC37A4;ENO1;SLC7A5;PSAT1;ATP5G1;SORD;GAPDH;NAMPT;HSP90B1;GLA;IFI30;SQLE;SERP1;SHMT2;GPI;CALR;PRDX1
HALLMARK_KRAS_SIGNALING_UP,0.3801199814960508,1.8604766126536154,0.0,0.003672869735553379,200,120,MAFB;ETV4;CA2;BTBD3;AMMECR1;ID2;GADD45G;FLT4;PLAU;BMP2;G0S2;ANKH;RGS16;GUCY1A3;CCND2;TMEM158;KLF4;TMEM100;TRIB2;MMD;SPRY2;TRIB1;ETV5;F2RL1;AKAP12;IRF8;TNFAIP3;MMP11;ZNF639;EPHB2;IGF2;PCSK1N;TSPAN13;ALDH1A3;GNG11;ST6GAL1;CXCR4;SOX9;FUCA1;TSPAN7;MAP4K1;CROT;ITGA2;ALDH1A2;HOXD11;GFPT2;GPRC5B;SCG5;FGF9;ETV1;BPGM;HBEGF;PTCD2;APOD;NIN;TRAF1;ITGB2;SCN1B;TFPI;IL10RA;CSF2RA;MAP7;IL7R;ABCB1;PRRX1;SPON1;CD37;AKT2;HDAC9;ACE;ENG;TOR1AIP2;GYPC;NAP1L2;ATG10;GLRX;NRP1;ADAM8;PLAUR;EMP1;PLAT;KIF5C;USP12;ETS1;FBXO4;ZNF277;SATB1;SEMA3B;CPE;EVI5;CBR4;CBL;YRDC;CAB39L;AVL9;CDADC1;PRKG2;JUP;CLEC4A;DCBLD2;RABGAP1L;SDCCAG8;EPB41L3;CBX8;CFB;WDR33;STRN;LCP1;PPP1R15A;USH1C;ADAM17;GPNMB;MAP3K1;LAT2;MTMR10;RBM4;SNAP91;DNMBP;LIF;PTBP2,MAFB;ETV4;CA2;BTBD3;AMMECR1;ID2;GADD45G;FLT4;PLAU;BMP2;G0S2;ANKH;RGS16;GUCY1A3;CCND2;TMEM158;KLF4;TMEM100;TRIB2;MMD;SPRY2;TRIB1;ETV5;F2RL1;AKAP12;IRF8;TNFAIP3;MMP11;ZNF639;EPHB2;IGF2;PCSK1N;TSPAN13
HALLMARK_GLYCOLYSIS,0.3754682250737297,1.813735704805827,0.0,0.004897159647404506,200,177,PGK1;HSPA5;TXN;LDHA;PPIA;PGAM1;PYGL;EXT1;CYB5A;TPI1;CHST1;PRPS1;MPI;COL5A1;SDC2;FAM162A;KDELR3;MIF;ADORA2B;GPC1;PFKP;CHST2;SLC37A4;CHST12;ENO1;GALK1;SRD5A3;B3GALT6;CHPF;MDH2;B4GALT2;CITED2;PGM2;TPBG;PLOD1;CHST6;GOT2;QSOX1;ALDOA;SLC25A10;GPC4;SOD1;XYLT2;HAX1;EGFR;POLR3K;CXCR4;ME1;HOMER1;GOT1;PLOD2;SOX9;GPC3;EGLN3;AK4;SDHC;NANP;VCAN;G6PD;ARPP19;CACNA1H;SLC16A3;B4GALT1;FUT8;ELF3;IDUA;PYGB;NT5E;HK2;CTH;PDK3;ALG1;PC;BIK;LHPP;AKR1A1;RPE;AK3;NSDHL;MDH1;PGLS;TPST1;AGRN;HDLBP;IRS2;STMN1;PKP2;SDC1;P4HA2;PAXIP1;GMPPB;GMPPA;KIF20A;STC2;HS6ST2;CENPA;FKBP4;TALDO1;PHKA2;MET;ME2;SDC3;DLD;GNPDA1;CASP6;TGFA;ABCB6;DEPDC1;DDIT4;ANG;EFNA3;GLRX;CLN6;GAL3ST1;GAPDHS;DSC2;PAM;GCLC;MED24;COG2;B4GALT7;NOL3;ARTN;VEGFA;PPFIA4;ANKZF1;RBCK1;PMM2;B3GAT3;AURKA;P4HA1;ALDH7A1;KIF2A;GUSB;PGAM2;VLDLR;ISG20;SPAG4;IL13RA1;DPYSL4;PPP2CB;CDK1;RRAGD;HMMR;LHX9;SAP30;B4GALT4;ZNF292;UGP2;COPB2;BPNT1;GFPT1;HS2ST1;NASP;TKTL1;ECD;CAPN5;SLC25A13;AGL;RARS;IDH1;EXT2;CHPF2;NDUFV3;MERTK;GLCE;GYS1;SLC35A3;TSTA3;PSMC4;ALDH9A1;GALK2;ENO2;MXI1;LDHC;GNE;GALE,PGK1;HSPA5;TXN;LDHA;PPIA;PGAM1;PYGL;EXT1;CYB5A;TPI1;CHST1;PRPS1;MPI;COL5A1;SDC2;FAM162A;KDELR3;MIF;ADORA2B;GPC1;PFKP;CHST2;SLC37A4;CHST12;ENO1;GALK1;SRD5A3;B3GALT6;CHPF;MDH2;B4GALT2;CITED2;PGM2;TPBG;PLOD1;CHST6;GOT2;QSOX1;ALDOA;SLC25A10;GPC4;SOD1
HALLMARK_INFLAMMATORY_RESPONSE,0.39948433883793194,1.8078191317722252,0.0,0.005876591576885407,200,103,MYC;NFKBIA;TNFRSF9;LY6E;RIPK2;PVR;IL15RA;SRI;ADORA2B;CD55;RGS16;CHST2;CSF1;SLC7A2;NAMPT;IL18R1;GCH1;PDPN;PROK2;RASGRP1;SLC7A1;TNFSF9;SGMS2;TPBG;KLF6;LDLR;TIMP1;IFITM1;EMP3;PTGER2;ATP2A2;SLC4A4;GPC3;NMI;NPFFR2;ICAM4;SLC31A2;FZD5;PCDH7;ATP2B1;STAB1;LPAR1;LYN;IL4R;RNF144B;ADM;HBEGF;PTPRE;F3;SCN1B;PIK3R5;CD82;IL10RA;CALCRL;EIF2AK2;IL7R;FFAR2;NMUR1;IFNGR2;GP1BA;NFKB1;RHOG;CD40;ICOSLG;MET;MMP14;SLC11A2;CD14;C5AR1;SLC31A1;MSR1;PLAUR;IRAK2;GABBR1;AHR;ACVR1B;ATP2C1;LAMP3;IFNAR1;MXD1;P2RX4;SPHK1;BEST1;P2RY2;CD70;RAF1;SEMA4D;IL15;RELA;IRF1;ACVR2A;ITGA5;DCBLD2;HIF1A;PSEN1;BST2;ADRM1;KIF1B;GNAI3;ABI1;CDKN1A;LIF;BTG2,MYC;NFKBIA;TNFRSF9;LY6E;RIPK2;PVR;IL15RA;SRI;ADORA2B;CD55;RGS16;CHST2;CSF1;SLC7A2;NAMPT;IL18R1;GCH1;PDPN;PROK2;RASGRP1;SLC7A1;TNFSF9;SGMS2;TPBG;KLF6;LDLR;TIMP1;IFITM1;EMP3;PTGER2;ATP2A2;SLC4A4;GPC3;NMI;NPFFR2;ICAM4
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.3600261606690812,1.7811531629268529,0.0,0.007910796353499585,200,173,HES1;PMAIP1;FOS;MYC;ABCA3;DHCR7;ASB13;EGR3;GJA1;SLC27A2;FOXC1;BHLHE40;RAB31;NPY1R;ADCY1;SCARB1;RPS6KA2;SLC16A1;SLC7A5;ENDOD1;SLC7A2;KLF4;CHPT1;FARP1;PTGES;TUBB2B;GLA;CCND1;TIAM1;PPIF;KCNK15;FASN;NBL1;TPD52L1;RASGRP1;TPBG;SLC19A2;CA12;MYBBP1A;ABLIM1;XBP1;SULT2B1;PODXL;PRSS23;FHL2;TGM2;BCL2;RET;MYB;GREB1;IGFBP4;ELOVL5;KAZN;FDFT1;UGCG;SIAH2;ELF1;SLC39A6;CISH;DLC1;B4GALT1;ELF3;DYNLT3;NXT1;REEP1;WWC1;SLC1A4;MAST4;IGF1R;ISG20L2;ESRP2;AKAP1;OLFM1;MAPT;RHOBTB3;CBFA2T3;PDLIM3;SLC1A1;CYP26B1;SLC26A2;TBC1D30;TFAP2C;IL17RB;SLC22A5;CELSR2;MREG;SEC14L2;KRT18;SYNGR1;NCOR2;ADCY9;INHBB;TSKU;SLC9A3R1;TJP3;PAPSS2;SYBU;ZNF185;WFS1;STC2;FKBP5;FKBP4;MPPED2;AQP3;THSD4;FLNB;CXCL12;TOB1;CELSR1;NAV2;PEX11A;TTC39A;TIPARP;KCNK5;OPN3;ALDH3B1;JAK2;MED24;SLC2A1;TGIF2;IL6ST;UNC119;PDZK1;DEPTOR;FAM134B;ITPK1;CANT1;SFN;SCNN1A;SVIL;MUC1;FAM102A;KLF10;SEMA3B;HSPB8;ELOVL2;P2RY2;SH3BP5;ANXA9;FRK;PLA2G16;BCL11B;AMFR;GFRA1;ABHD2;NRIP1;LRIG1;MED13L;RARA;SLC37A1;CLDN7;AFF1;RAPGEFL1;MYBL1;INPP5F;KDM4B;BLVRB;TMEM164;BAG1;ADD3;SNX24;FAM63A;RRP12;ARL3;MICB;KRT8;NADSYN1;RBBP8;ABAT;SYT12;DHRS3;GAB2;DHRS2,HES1;PMAIP1;FOS;MYC;ABCA3;DHCR7;ASB13;EGR3;GJA1;SLC27A2;FOXC1;BHLHE40;RAB31;NPY1R;ADCY1;SCARB1;RPS6KA2;SLC16A1;SLC7A5;ENDOD1;SLC7A2;KLF4;CHPT1;FARP1;PTGES;TUBB2B;GLA;CCND1;TIAM1;PPIF;KCNK15;FASN;NBL1;TPD52L1;RASGRP1;TPBG;SLC19A2;CA12;MYBBP1A;ABLIM1;XBP1;SULT2B1;PODXL;PRSS23;FHL2;TGM2;BCL2;RET;MYB;GREB1;IGFBP4;ELOVL5;KAZN;FDFT1;UGCG;SIAH2
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.40468454874745097,1.7940501714858124,0.0,0.0080135339684801,74,70,SCD;DHCR7;CYP51A1;CD9;EBP;LGMN;HMGCS1;ACTG1;ALCAM;FABP5;S100A11;CXCL16;SQLE;ERRFI1;FASN;ATF3;LDLR;LGALS3;ALDOC;STARD4;MVK;ECH1;IDI1;ACAT2;FADS2;CBS;FDFT1;NFIL3;SREBF2;ABCA2;LPL;TMEM97;MAL2;PDK3;PMVK;HMGCR;NSDHL;JAG1;PPARG;LSS;MVD;CPEB2;GPX8;PLSCR1;GLDC;ANTXR2;TRIB3;FAM129A;TM7SF2;PLAUR;TNFRSF12A;FDPS;SEMA3B;GUSB;PNRC1;CHKA;GSTM2;ANXA5;PCYT2;FBXO6;GNAI1;CLU;STX5;ATF5;ACSS2;ETHE1;HSD17B7;ATXN2;CTNNB1;TP53INP1,SCD;DHCR7;CYP51A1;CD9;EBP;LGMN;HMGCS1;ACTG1;ALCAM;FABP5;S100A11;CXCL16;SQLE;ERRFI1;FASN;ATF3;LDLR;LGALS3;ALDOC;STARD4;MVK;ECH1;IDI1;ACAT2;FADS2;CBS;FDFT1;NFIL3;SREBF2;ABCA2
HALLMARK_PROTEIN_SECRETION,-0.5109920082017674,-1.6550383715626544,0.0020855057351407717,0.008340631385795905,96,94,CTSC;ATP1A1;GLA;AP2S1;SOD1;PPT1;EGFR;TMX1;SEC24D;RAB9A;GOLGA4;TMED10;ANP32E;ARF1;SCAMP3;TPD52;LMAN1;AP3S1;SH3GL2;CAV2;ATP6V1B1;GOSR2;KRT18;DST;SEC22B;VAMP4;TOM1L1;GNAS;AP2M1;YKT6;COPE;ADAM10;BET1;LAMP2;AP2B1;YIPF6;PAM;ARCN1;USO1;VAMP3;GALC;COG2;TMED2;CLN5;SGMS1;BNIP3;DNM1L;SCAMP1;SNAP23;ICA1;COPB2;RAB22A;MAPK1;OCRL;M6PR;SNX2;RAB2A;ARFIP1;RAB14;RPS6KA3;COPB1;SEC31A;SSPN;NAPG;AP3B1;TSG101;KIF1B;STAM;ARFGEF1;RER1;SCRN1;CLCN3;ERGIC3;STX7;ARFGAP3;RAB5A;MON2;GBF1;AP1G1;CD63;CLTA;VPS45;VPS4B;VAMP7;ARFGEF2;CLTC;ATP7A;STX12;DOPEY1;IGF2R;ATP6V1H;ZW10;NAPA;STX16,ARFIP1;RAB14;RPS6KA3;COPB1;SEC31A;SSPN;NAPG;AP3B1;TSG101;KIF1B;STAM;ARFGEF1;RER1;SCRN1;CLCN3;ERGIC3;STX7;ARFGAP3;RAB5A;MON2;GBF1;AP1G1;CD63;CLTA;VPS45;VPS4B;VAMP7;ARFGEF2;CLTC;ATP7A;STX12;DOPEY1;IGF2R;ATP6V1H;ZW10;NAPA;STX16
