Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
HALLMARK_MYC_TARGETS_V1,-0.4471069196104355,-2.105107280099742,0.0,0.0,200,197,RPS2;G3BP1;TUFM;SRSF2;UBE2L3;GOT2;TFDP1;PPM1G;PABPC4;DHX15;SRSF1;TXNL4A;MRPL23;PRDX4;SLC25A3;PPIA;CNBP;LSM7;FAM120A;XPO1;RPS10;HDGF;NDUFAB1;NOP16;NCBP2;EIF3B;SNRPA;STARD7;CYC1;H2AFZ;RPS5;VDAC1;PSMB3;PGK1;CBX3;GNL3;SNRPG;NHP2;GSPT1;EIF4E;HNRNPA2B1;SNRPA1;PRDX3;PCBP1;NOLC1;GLO1;TARDBP;MYC;VDAC3;TRIM28;SNRPD2;U2AF1;SERBP1;NAP1L1;PSMA7;EIF4G2;DUT;XPOT;PSMA2;RANBP1;SRPK1;ORC2;NCBP1;FBL;HNRNPR;PSMD1;SF3B3;PHB;CDC45;SNRPD1;RPLP0;HSPE1;HNRNPC;DDX21;RPL34;YWHAQ;LDHA;DEK;KPNB1;RPL22;RPS3;CCT7;AP3S1;PTGES3;RPL18;RAD23B;SSB;SRSF7;IMPDH2;SYNCRIP;NME1;CUL1;EXOSC7;COX5A;PSMB2;VBP1;RPL14;PRPS2;MCM6;NOP56;CCT3;TRA2B;HSP90AB1;MCM4;CAD;PRPF31;SNRPD3;LSM2;YWHAE;PSMA1;CLNS1A;MAD2L1;PA2G4;RAN;EIF2S2;CCT5;SET;EIF2S1;TCP1;RPS6;EIF4A1;CDK4;ETF1;RPL6;ERH;HPRT1;CDC20;SF3A1;BUB3;UBA2;PSMA6;PCNA;MCM5;RNPS1;PSMA4;PSMD3;CDK2;MCM2;EIF1AX;APEX1;C1QBP;PSMC6;SRSF3;USP1;ABCE1;CSTF2;PWP1;SMARCC1;KPNA2;PABPC1;EEF1B2;CCT4;COPS5;IARS;POLD2;RUVBL2;PSMD14;RRM1;SRM;SSBP1;MRPS18B;RFC4;HNRNPU;PSMC4;DDX18;HDDC2;KARS;EIF3J;CANX;EIF3D;CCNA2;MCM7;IFRD1;PSMD8;TYMS;ACP1;HNRNPD;PHB2;NPM1;MRPL9;HDAC2;EIF4H;PSMD7;EPRS;ODC1;RSL1D1;RRP9;SNRPB2;AIMP2;HSPD1;HNRNPA3;POLE3;ILF2;UBE2E1;CCT2;HNRNPA1;XRCC6,TCP1;RPS6;EIF4A1;CDK4;ETF1;RPL6;ERH;HPRT1;CDC20;SF3A1;BUB3;UBA2;PSMA6;PCNA;MCM5;RNPS1;PSMA4;PSMD3;CDK2;MCM2;EIF1AX;APEX1;C1QBP;PSMC6;SRSF3;USP1;ABCE1;CSTF2;PWP1;SMARCC1;KPNA2;PABPC1;EEF1B2;CCT4;COPS5;IARS;POLD2;RUVBL2;PSMD14;RRM1;SRM;SSBP1;MRPS18B;RFC4;HNRNPU;PSMC4;DDX18;HDDC2;KARS;EIF3J;CANX;EIF3D;CCNA2;MCM7;IFRD1;PSMD8;TYMS;ACP1;HNRNPD;PHB2;NPM1;MRPL9;HDAC2;EIF4H;PSMD7;EPRS;ODC1;RSL1D1;RRP9;SNRPB2;AIMP2;HSPD1;HNRNPA3;POLE3;ILF2;UBE2E1;CCT2;HNRNPA1;XRCC6
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-0.5461446957517236,-2.381711766465787,0.0,0.0,113,107,EDC4;TATDN2;IMP3;EXOSC2;EIF4G1;KDELR3;EXOSC4;NFYA;FKBP14;EEF2;LSM4;H2AFX;ARFGAP1;ZBTB17;CALR;CNOT6;SPCS3;NHP2;EIF4E;NOLC1;DCP1A;TTC37;DCTN1;PDIA6;DCP2;GEMIN4;BANF1;CXXC1;EIF4A2;LSM1;XPOT;KIF5B;ATP6V0D1;YIF1A;ASNS;IFIT1;POP4;SLC7A5;KHSRP;EIF4A3;PAIP1;SRPRB;PDIA5;SLC30A5;YWHAZ;TSPYL2;EDEM1;GOSR2;EIF2AK3;NOP56;SERP1;ALDH18A1;CNOT2;CEBPB;SPCS1;TUBB2A;PREB;SSR1;SEC11A;CNOT4;EIF2S1;BAG3;DDX10;EIF4A1;DNAJC3;FUS;SLC1A4;CHAC1;VEGFA;DKC1;NFYB;RPS14;CEBPG;EXOC2;SDAD1;ATF6;MTHFD2;PSAT1;IARS;WIPI1;EIF4EBP1;EXOSC5;SKIV2L2;DDIT4;EXOSC9;EXOSC10;WFS1;PARN;NPM1;NOP14;HSP90B1;ATF4;HSPA9;HYOU1;DNAJB9;TARS;RRP9;XBP1;EXOSC1;SHC1;CKS1B;ERN1;SEC31A;STC2;HERPUD1;ATF3;HSPA5,CHAC1;VEGFA;DKC1;NFYB;RPS14;CEBPG;EXOC2;SDAD1;ATF6;MTHFD2;PSAT1;IARS;WIPI1;EIF4EBP1;EXOSC5;SKIV2L2;DDIT4;EXOSC9;EXOSC10;WFS1;PARN;NPM1;NOP14;HSP90B1;ATF4;HSPA9;HYOU1;DNAJB9;TARS;RRP9;XBP1;EXOSC1;SHC1;CKS1B;ERN1;SEC31A;STC2;HERPUD1;ATF3;HSPA5
HALLMARK_MYC_TARGETS_V2,-0.5154317826323035,-2.0081009178598674,0.0,0.0003419972640218878,58,58,NOP2;SLC29A2;DCTPP1;PPRC1;TBRG4;NOP16;BYSL;TMEM97;SLC19A1;CBX3;GNL3;PUS1;NOLC1;SORD;PPAN;MYC;RRP12;DUSP2;NDUFAF4;PHB;HSPE1;UNG;GRWD1;PLK1;FARSA;NIP7;MAP3K6;NOP56;IMP4;MYBBP1A;PLK4;MCM4;TCOF1;RCL1;PA2G4;CDK4;MCM5;MRTO4;MPHOSPH10;RABEPK;PRMT3;TFB2M;UTP20;SRM;EXOSC5;DDX18;HK2;SUPV3L1;NPM1;IPO4;WDR43;WDR74;RRP9;LAS1L;AIMP2;HSPD1;NOC4L;PES1,MPHOSPH10;RABEPK;PRMT3;TFB2M;UTP20;SRM;EXOSC5;DDX18;HK2;SUPV3L1;NPM1;IPO4;WDR43;WDR74;RRP9;LAS1L;AIMP2;HSPD1;NOC4L;PES1
HALLMARK_DNA_REPAIR,-0.42718382882539563,-1.9413219339927505,0.0,0.0007694938440492476,150,138,CDA;ADCY6;GPX4;DGCR8;AK1;NME3;AK3;GUK1;POLR2H;APRT;SMAD5;BCAM;ERCC8;POLE4;TAF6;POLD1;BCAP31;NUDT9;CLP1;NME4;DDB1;SAC3D1;BOLA2;NCBP2;SNAPC4;TAF10;ERCC2;COX17;POLR2E;MPG;SDCBP;SUPT5H;CANT1;POLD4;TAF13;POLR2A;POLR2C;POLR2J;POLR2F;POLR2D;DGUOK;TCEB3;VPS37B;DAD1;REV3L;TARBP2;TAF12;ZWINT;POLH;DUT;POM121;NUDT21;TAF1C;ADA;PNP;SUPT4H1;STX3;ZNF707;FEN1;NT5C;RFC3;POLR2K;GTF2B;ZNRD1;IMPDH2;RBX1;ARL6IP1;NME1;POLR1C;ELL;ERCC3;GTF2A2;TSG101;RPA2;SURF1;POLL;GMPR2;RAD52;GTF2H3;ERCC5;ITPA;POLR1D;CCNO;DFNA5;USP11;GTF2H1;GTF2H5;HPRT1;RNMT;POLA1;PCNA;RRM2B;POLB;POLR3GL;POLR2G;GTF2F1;POLR2I;POLD3;PRIM1;CSTF3;VPS37D;DDB2;RAE1;UMPS;SNAPC5;ERCC4;RALA;VPS28;TMED2;SF3A3;ADRM1;XPC;POLA2;BRF2;RFC4;RPA3;SRSF6;RFC2;EDF1;LIG1;RAD51;TYMS;TK2;AAAS;GTF3C5;SEC61A1;RFC5;TP53;SSRP1;CETN2;DCTN4;TAF9;EIF1B;POLR3C;ERCC1;MRPL40;NFX1;UPF3B,GTF2H1;GTF2H5;HPRT1;RNMT;POLA1;PCNA;RRM2B;POLB;POLR3GL;POLR2G;GTF2F1;POLR2I;POLD3;PRIM1;CSTF3;VPS37D;DDB2;RAE1;UMPS;SNAPC5;ERCC4;RALA;VPS28;TMED2;SF3A3;ADRM1;XPC;POLA2;BRF2;RFC4;RPA3;SRSF6;RFC2;EDF1;LIG1;RAD51;TYMS;TK2;AAAS;GTF3C5;SEC61A1;RFC5;TP53;SSRP1;CETN2;DCTN4;TAF9;EIF1B;POLR3C;ERCC1;MRPL40;NFX1;UPF3B
HALLMARK_MTORC1_SIGNALING,-0.37038389189170595,-1.7379584242768176,0.0,0.005129958960328317,200,193,RPN1;CD9;ATP2A2;EBP;TFRC;IGFBP5;MLLT11;DHCR24;ADIPOR2;M6PR;IFI30;SLC6A6;SLC9A3R1;YKT6;LDLR;ACSL3;P4HA1;DDX39A;ALDOA;RIT1;TXNRD1;FADS1;GLA;MAP2K3;FADS2;STARD4;INSIG1;RDH11;SCD;DHCR7;PPIA;SLC1A5;PRDX1;CTSC;TM7SF2;CXCR4;TUBG1;CORO1A;PLOD2;ACLY;PIK3R3;HMBS;ARPC5L;LGMN;SQLE;TUBA4A;TPI1;CCNF;PSMB5;G6PD;CALR;TMEM97;EGLN3;SRD5A1;IDI1;PGK1;SLC2A3;GLRX;LTA4H;ELOVL6;RRM2;SLC37A4;SLC2A1;ABCF2;HMGCR;NFKBIB;SORD;GAPDH;BCAT1;BUB1;MTHFD2L;AK4;CDKN1A;ELOVL5;POLR3G;HMGCS1;ATP5G1;PGM1;ENO1;GSK3B;VLDLR;ITGB2;GSR;CDC25A;CCNG1;HSPA4;PSMD13;PNP;BHLHE40;ASNS;HSPE1;UNG;CYP51A1;SLC7A5;SYTL2;TBK1;SLC7A11;ACACA;PSPH;PLK1;RPA1;LDHA;PDAP1;BTG2;TOMM40;PITPNB;GCLC;EDEM1;RAB1A;STIP1;PPA1;IMMT;AURKA;CCT6A;SERP1;MCM4;DHFR;ME1;QDPR;SQSTM1;NMT1;UBE2D3;SSR1;NUP205;ACTR3;SEC11A;NFYC;EIF2S2;GTF2H1;ETF1;HPRT1;SLC1A4;PSMA4;NAMPT;SKAP2;GPI;MCM2;ATP6V1D;PNO1;PSMA3;ADD3;SHMT2;CYB5B;PSMC6;TCEA1;NFIL3;FAM129A;PSME3;MTHFD2;FKBP2;UCHL5;SERPINH1;UFM1;PHGDH;SDF2L1;PSAT1;COPS5;IDH1;TRIB3;PSMD14;TES;PDK1;DDIT4;PSMC4;GBE1;CANX;PSMG1;NUPR1;GGA2;IFRD1;DDIT3;USO1;PSMD12;HK2;PSMC2;WARS;HSP90B1;PFKL;ACTR2;EEF1E1;HSPA9;CTH;EPRS;GOT1;RRP9;XBP1;HSPD1;PPP1R15A;GMPS;FDXR;NUFIP1;CACYBP;HSPA5,PSMA4;NAMPT;SKAP2;GPI;MCM2;ATP6V1D;PNO1;PSMA3;ADD3;SHMT2;CYB5B;PSMC6;TCEA1;NFIL3;FAM129A;PSME3;MTHFD2;FKBP2;UCHL5;SERPINH1;UFM1;PHGDH;SDF2L1;PSAT1;COPS5;IDH1;TRIB3;PSMD14;TES;PDK1;DDIT4;PSMC4;GBE1;CANX;PSMG1;NUPR1;GGA2;IFRD1;DDIT3;USO1;PSMD12;HK2;PSMC2;WARS;HSP90B1;PFKL;ACTR2;EEF1E1;HSPA9;CTH;EPRS;GOT1;RRP9;XBP1;HSPD1;PPP1R15A;GMPS;FDXR;NUFIP1;CACYBP;HSPA5
HALLMARK_PROTEIN_SECRETION,-0.3956663071531372,-1.6882540486978654,0.002857142857142857,0.005813953488372093,96,94,CD63;PPT1;M6PR;ATP1A1;YKT6;KIF1B;GOLGA4;STX12;GNAS;GLA;CTSC;COG2;TMX1;ANP32E;YIPF6;LAMP2;SCAMP3;ATP6V1B1;SGMS1;SCRN1;DOPEY1;ADAM10;VAMP4;MAPK1;DST;RAB9A;SEC24D;GBF1;ARFGEF1;LMAN1;NAPG;PAM;MON2;CAV2;ATP7A;COPB2;EGFR;IGF2R;BNIP3;CLN5;RAB22A;GALC;STX16;AP3S1;AP3B1;ATP6V1H;GOSR2;TSG101;SOD1;ERGIC3;RAB14;AP2M1;DNM1L;TMED10;AP2S1;SH3GL2;CLCN3;AP1G1;CLTA;RPS6KA3;ARFIP1;ICA1;SCAMP1;VAMP3;TPD52;STX7;SEC22B;OCRL;VAMP7;ARF1;RAB2A;ARCN1;VPS45;SNAP23;NAPA;SSPN;TMED2;VPS4B;CLTC;TOM1L1;SNX2;USO1;ARFGEF2;AP2B1;RER1;ARFGAP3;COPE;RAB5A;COPB1;KRT18;ZW10;BET1;SEC31A;STAM,RPS6KA3;ARFIP1;ICA1;SCAMP1;VAMP3;TPD52;STX7;SEC22B;OCRL;VAMP7;ARF1;RAB2A;ARCN1;VPS45;SNAP23;NAPA;SSPN;TMED2;VPS4B;CLTC;TOM1L1;SNX2;USO1;ARFGEF2;AP2B1;RER1;ARFGAP3;COPE;RAB5A;COPB1;KRT18;ZW10;BET1;SEC31A;STAM
HALLMARK_MYOGENESIS,0.43084697928739474,1.8226307549297194,0.0,0.006901651466600937,200,136,SH2B1;ERBB3;SYNGR2;TGFB1;OCEL1;COL1A1;AGRN;CFD;KCNH2;FOXO4;MYO1C;FHL1;FKBP1B;MAPRE3;TNNT1;SPHK1;ACHE;SPTAN1;ITGA7;ADCY9;CKB;AK1;CACNA1H;SLC6A8;CLU;TPM2;ITGB1;AGL;RIT1;AKT2;MAPK12;CNN3;VIPR1;COL4A2;SCD;GSN;GABARAPL2;HBEGF;ATP6AP1;LPIN1;COL6A2;GADD45B;ABLIM1;DAPK2;PDLIM7;REEP1;APP;TEAD4;CHRNB1;NOTCH1;IGFBP7;PDE4DIP;MYH9;PPFIA4;NCAM1;ITGB5;APOD;GAA;MEF2D;BAG1;ACTN2;SIRT2;MYL6B;ENO3;GPX3;PICK1;PKIA;PLXNB2;DTNA;HDAC5;SORBS1;PFKM;PC;SPARC;MYL3;GNAO1;SVIL;ACTA1;CDKN1A;FABP3;EIF4A2;TCAP;FST;PVALB;KLF5;PYGM;SMTN;FXYD1;FLII;TPD52L1;BHLHE40;MEF2A;SCHIP1;CRAT;TAGLN;CAV3;ST5;ATP2A1;TSC2;CAMK2B;KIFC3;RYR1;MYH3;MYLK;BIN1;EPHB3;CTF1;TPM3;DMPK;MEF2C;WWTR1;TNNC1;DMD;MRAS;PGAM2;PSEN2;FGF2;MYOM2;CRYAB;FDPS;PRNP;PTP4A3;NAV2;SPEG;HSPB8;ITGB4;LSP1;RB1;ACSL1;NQO1;SSPN;COL6A3;SORBS3;IFRD1;SH3BGR;STC2,SH2B1;ERBB3;SYNGR2;TGFB1;OCEL1;COL1A1;AGRN;CFD;KCNH2;FOXO4;MYO1C;FHL1;FKBP1B;MAPRE3;TNNT1;SPHK1;ACHE;SPTAN1;ITGA7;ADCY9;CKB;AK1;CACNA1H;SLC6A8;CLU;TPM2;ITGB1;AGL;RIT1;AKT2;MAPK12;CNN3;VIPR1;COL4A2;SCD;GSN;GABARAPL2;HBEGF;ATP6AP1;LPIN1;COL6A2;GADD45B;ABLIM1;DAPK2;PDLIM7;REEP1;APP;TEAD4
HALLMARK_NOTCH_SIGNALING,0.5765310984890015,1.7540594541933356,0.0016750418760469012,0.008380576780872565,32,27,FZD5;HES1;NOTCH3;PPARD;FZD7;NOTCH2;FZD1;FBXW11;DLL1;ST3GAL6;KAT2A;NOTCH1;WNT5A;SKP1;PRKCA;ARRB1;CCND1;APH1A;HEYL;DTX2;TCF7L2;SAP30;RBX1;CUL1;JAG1;PSENEN;PSEN2,FZD5;HES1;NOTCH3;PPARD;FZD7;NOTCH2;FZD1;FBXW11;DLL1;ST3GAL6;KAT2A;NOTCH1;WNT5A;SKP1;PRKCA
HALLMARK_TGF_BETA_SIGNALING,0.47477696453814455,1.6949937490268456,0.007874015748031496,0.010845452304658615,54,51,SLC20A1;BMPR2;TGFB1;FURIN;JUNB;CDKN1C;PPM1A;SMURF2;SMAD6;SMAD7;ID1;APC;ID2;PMEPA1;RAB31;ID3;NCOR2;SMAD1;NOG;HDAC1;SKI;BMPR1A;CDK9;HIPK2;ARID4B;LTBP2;PPP1CA;ENG;KLF10;BCAR3;CDH1;MAP3K7;IFNGR2;SMURF1;SPTBN1;RHOA;XIAP;TJP1;CTNNB1;BMP2;TGFBR1;SMAD3;TGIF1;WWTR1;ACVR1;FKBP1A;UBE2D3;SKIL;TRIM33;FNTA;PPP1R15A,SLC20A1;BMPR2;TGFB1;FURIN;JUNB;CDKN1C;PPM1A;SMURF2;SMAD6;SMAD7;ID1;APC;ID2;PMEPA1;RAB31;ID3;NCOR2;SMAD1;NOG
HALLMARK_E2F_TARGETS,-0.33469862882471096,-1.582373665834553,0.0,0.013924174320891146,200,196,IPO7;NAA38;MXD3;SRSF2;SLBP;ASF1B;TFRC;CCP110;LBR;KIF18B;HMGA1;ESPL1;SRSF1;NUP153;CDC25B;TIMELESS;MKI67;PRDX4;LUC7L3;POLE;SNRPB;DDX39A;CTCF;DCTPP1;POLE4;SPAG5;PDS5B;CDKN2A;POLD1;DNMT1;TUBG1;XPO1;ANP32E;TBRG4;UBE2S;SPC24;ILF3;H2AFX;H2AFZ;BIRC5;CIT;RRM2;GINS1;GSPT1;WEE1;STMN1;POP7;CKS2;NOLC1;MYC;ORC6;DCLRE1B;PHF5A;CENPM;ATAD2;TCF19;BUB1B;WDR90;NCAPD2;MCM3;CDKN1A;PTTG1;KIF22;HELLS;AK2;NAP1L1;HN1;PNN;CDC25A;AURKB;DUT;NUDT21;RANBP1;ORC2;CDKN1B;STAG1;PRKDC;DONSON;UNG;E2F8;SMC6;SUV39H1;PRPS1;CDCA3;DLGAP5;SHMT1;PLK1;TK1;RPA1;DEK;CHEK2;RFC3;HMGB3;TACC3;SYNCRIP;CENPE;NME1;EED;BRCA2;MCM6;PAN2;KIF2C;MYBL2;NOP56;RPA2;AURKA;TRA2B;PLK4;CDCA8;UBR7;CDKN2C;BRMS1L;MCM4;MELK;SMC4;KIF4A;PPP1R8;SMC1A;TRIP13;CCNE1;SPC25;DSCC1;NBN;RAD21;MAD2L1;PA2G4;DCK;NUP205;RAN;CHEK1;EIF2S1;PSIP1;TMPO;MSH2;CDK4;CDC20;PCNA;NASP;MCM5;TOP2A;PPM1D;HUS1;LMNB1;MCM2;RAD1;TIPIN;RAD51AP1;PMS2;DEPDC1;POLD3;RACGAP1;USP1;LYAR;CBX5;MTHFD2;ASF1A;NUP107;PSMC3IP;BRCA1;DIAPH3;KPNA2;RBBP7;GINS4;RNASEH2A;BARD1;MMS22L;SMC3;POLD2;POLA2;RFC1;UBE2T;RAD51C;RPA3;RFC2;LIG1;MCM7;RAD50;TUBB;GINS3;PRIM2;HNRNPD;CDKN3;EZH2;CDK1;TP53;SSRP1;CCNB2;HMGB2;HMMR;PAICS;EXOSC8;ZW10;CKS1B;ING3;CSE1L;XRCC6,TMPO;MSH2;CDK4;CDC20;PCNA;NASP;MCM5;TOP2A;PPM1D;HUS1;LMNB1;MCM2;RAD1;TIPIN;RAD51AP1;PMS2;DEPDC1;POLD3;RACGAP1;USP1;LYAR;CBX5;MTHFD2;ASF1A;NUP107;PSMC3IP;BRCA1;DIAPH3;KPNA2;RBBP7;GINS4;RNASEH2A;BARD1;MMS22L;SMC3;POLD2;POLA2;RFC1;UBE2T;RAD51C;RPA3;RFC2;LIG1;MCM7;RAD50;TUBB;GINS3;PRIM2;HNRNPD;CDKN3;EZH2;CDK1;TP53;SSRP1;CCNB2;HMGB2;HMMR;PAICS;EXOSC8;ZW10;CKS1B;ING3;CSE1L;XRCC6
HALLMARK_ANGIOGENESIS,0.5272158307173511,1.5582301099524418,0.020905923344947737,0.030893106564785142,36,22,JAG2;S100A4;ITGAV;LRPAP1;CCND2;MSX1;VCAN;PDGFA;LPL;NRP1;APP;TNFRSF21;FGFR1;KCNJ8;PTK2;LUM;VAV2;JAG1;FSTL1;TIMP1;VEGFA;SLCO2A1,JAG2;S100A4;ITGAV;LRPAP1;CCND2;MSX1;VCAN;PDGFA;LPL;NRP1;APP
HALLMARK_APICAL_JUNCTION,0.3724720795663672,1.5738911636539805,0.0029895366218236174,0.03332511708158738,200,147,TAOK2;STX4;ADAM15;NRTN;NLGN2;JUP;AMH;INPPL1;KCNH2;SLIT2;MPP5;CNN2;CD276;NF2;MPZL1;ITGA2;ICAM4;PIK3CB;TSPAN4;PPP2R2C;PBX2;NF1;PARD6G;FSCN1;PCDH1;GNAI2;ADAM9;ITGB1;CNTN1;LDLRAP1;AKT2;CLDN15;RRAS;MAP4K2;RAC2;CD99;PFN1;INSIG1;ITGA3;VCAN;ACTB;B4GALT1;TUBG1;AMIGO2;LIMA1;PIK3R3;SIRPA;IKBKG;CLDN6;ADAM23;TIAL1;PLCG1;MAPK14;BMP1;ACTG1;ICAM5;AKT3;CLDN7;TSC1;YWHAH;MYH9;VASP;CLDN4;MMP2;ACTN2;ARPC2;NLGN3;MVD;SYMPK;CDK8;PKD1;DLG1;DSC3;VCL;CDH1;RSU1;JAM3;LAMB3;ATP1A3;WNK4;ACTA1;HRAS;TRO;RHOF;FLNC;LAMA3;SYK;NRXN2;PTK2;CDH3;EVL;BAIAP2;MYH10;TJP1;ACTN1;VAV2;SRC;MAPK11;MAPK13;TMEM8B;ZYX;SLC30A3;NFASC;CLDN11;CTNND1;CRAT;EGFR;IRS1;THBS3;NEXN;WASL;AMIGO1;GNAI1;RASA1;FBN1;ITGA9;CERCAM;ADRA1B;TRAF1;PTEN;ICAM2;ACTN4;CAP1;SPEG;ARHGEF6;CADM2;ITGB4;SDC3;CDH8;CRB3;COL16A1;SKAP2;GTF2F1;PARVA;EPB41L2;GAMT;SGCE;LAYN;CTNNA1;MYL12B;EXOC4;DHX16;SORBS3;MSN;MDK;SHC1;HADH,TAOK2;STX4;ADAM15;NRTN;NLGN2;JUP;AMH;INPPL1;KCNH2;SLIT2;MPP5;CNN2;CD276;NF2;MPZL1;ITGA2;ICAM4;PIK3CB;TSPAN4;PPP2R2C;PBX2;NF1;PARD6G;FSCN1;PCDH1;GNAI2;ADAM9;ITGB1;CNTN1;LDLRAP1;AKT2;CLDN15;RRAS;MAP4K2;RAC2;CD99;PFN1;INSIG1;ITGA3;VCAN;ACTB;B4GALT1;TUBG1;AMIGO2;LIMA1;PIK3R3;SIRPA;IKBKG;CLDN6;ADAM23;TIAL1;PLCG1;MAPK14;BMP1;ACTG1;ICAM5;AKT3;CLDN7
HALLMARK_UV_RESPONSE_UP,0.37359853693759326,1.574482854894542,0.0,0.0404239585900912,158,142,NPTXR;RPN1;COL2A1;BCL2L11;NFKBIA;ENO2;DLG4;FURIN;MARK2;KCNH2;KLHDC3;STK25;JUNB;CDKN1C;FOSB;PPT1;TFRC;SIGMAR1;MMP14;HYAL2;GCH1;SLC25A4;AMD1;CDC34;FOS;SLC6A8;YKT6;CXCL2;CCND3;GLS;TAP1;MRPL23;DGAT1;POLR2H;SPR;PRKCD;NKX2-5;RET;ALDOA;MSX1;EPCAM;NXF1;PDLIM3;IGFBP2;TMBIM6;EPHX1;CHRNA5;PRKACA;TGFBRAP1;FKBP4;PLCL1;STARD3;NR4A1;LYN;TUBA4A;CA2;BAK1;H2AFX;TYRO3;NPTX2;SHOX2;CHKA;MGAT1;WIZ;BSG;CREG1;DNAJA1;ARRB2;GGH;AQP3;SOD2;HSPA2;CYP1A1;GAL;GPX3;LHX2;SLC6A12;CDO1;CYB5R1;IL6ST;ACAA1;TST;ALAS1;BID;ATP6V1F;RHOB;MAPK8IP2;RASGRP1;PPP1R2;CDKN2B;ABCB1;CASP3;OLFM1;HLA-F;MAOA;POLG2;CLCN2;GRINA;BMP2;CLTB;ASNS;RRAD;ATP6V1C1;FEN1;CNP;DDX21;DNAJB1;PDAP1;E2F5;RAB27A;BTG2;PTPRD;STIP1;NAT1;PPAT;PPIF;GRPEL1;CCNE1;AP2S1;RXRB;EIF5;SQSTM1;IRF1;EIF2S3;CDK2;BTG3;BTG1;CYB5B;CEBPG;HSPA13;PRPF3;PARP2;RFC4;HNRNPU;UROD;PSMC3;SULT1A1;CDC5L;TARS;HMOX1;POLE3;ATF3,NPTXR;RPN1;COL2A1;BCL2L11;NFKBIA;ENO2;DLG4;FURIN;MARK2;KCNH2;KLHDC3;STK25;JUNB;CDKN1C;FOSB;PPT1;TFRC;SIGMAR1;MMP14;HYAL2;GCH1;SLC25A4;AMD1;CDC34;FOS;SLC6A8;YKT6;CXCL2;CCND3;GLS;TAP1;MRPL23;DGAT1;POLR2H;SPR;PRKCD;NKX2-5;RET;ALDOA;MSX1;EPCAM;NXF1;PDLIM3;IGFBP2;TMBIM6;EPHX1;CHRNA5;PRKACA;TGFBRAP1;FKBP4;PLCL1;STARD3;NR4A1;LYN;TUBA4A;CA2;BAK1;H2AFX;TYRO3;NPTX2
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.34680859787970353,1.478930705045774,0.006006006006006006,0.040513590427319786,200,158,PANX1;PLAUR;NFKBIA;NFAT5;SLC2A6;DUSP4;TNFSF9;KLF9;JUNB;FOSB;HES1;SPHK1;B4GALT5;GCH1;IER2;ZBTB10;SAT1;PER1;FJX1;FUT4;FOS;CXCL2;EHD1;LDLR;ID2;TAP1;MARCKS;PMEPA1;CYR61;MAFF;PNRC1;DENND5A;MAP2K3;IL15RA;DUSP1;EGR3;TRIP10;MCL1;PDLIM5;REL;NFKB1;ZC3H12A;ETS2;HBEGF;IER5;SNN;B4GALT1;GADD45B;F2RL1;DUSP5;NR4A3;NFKB2;SDC4;EGR1;JUN;NR4A1;RIPK2;SGK1;PLAU;RCAN1;PHLDA2;CD44;NR4A2;SIK1;TNFAIP8;KLF6;CD83;SLC2A3;TNIP1;EFNA1;SOCS3;SOD2;PFKFB3;KLF4;NINJ1;MXD1;MAP3K8;CCL20;TNIP2;ZFP36;GFPT2;ICOSLG;MYC;IL6ST;RELA;KLF10;TNFAIP3;KDM6B;TIPARP;LAMB3;ATP2B1;KLF2;DDX58;RHOB;IFNGR2;DUSP2;MSC;PTGS2;PTX3;CDKN1A;IL7R;CCND1;TRIB1;TNFAIP2;GEM;BMP2;FOSL1;EGR2;BHLHE40;SMAD3;BCL6;LITAF;IRS2;RELB;G0S2;RNF19B;BCL3;BTG2;BIRC2;JAG1;F3;CXCL3;TGIF1;CFLAR;FOSL2;CSF1;SPSB1;NFKBIE;SERPINB8;TRAF1;TANK;CCNL1;YRDC;DRAM1;SQSTM1;CEBPB;TUBB2A;TNC;PLK2;DNAJB4;IRF1;NAMPT;BTG3;VEGFA;BTG1;CEBPD;NFIL3;TSC22D1;AREG;IL23A;EIF1;TNFRSF9;SLC16A6;GADD45A;NFE2L2;LIF;PPP1R15A;ATF3,PANX1;PLAUR;NFKBIA;NFAT5;SLC2A6;DUSP4;TNFSF9;KLF9;JUNB;FOSB;HES1;SPHK1;B4GALT5;GCH1;IER2;ZBTB10;SAT1;PER1;FJX1;FUT4;FOS;CXCL2;EHD1;LDLR;ID2;TAP1;MARCKS;PMEPA1;CYR61;MAFF;PNRC1;DENND5A;MAP2K3;IL15RA;DUSP1;EGR3;TRIP10;MCL1;PDLIM5;REL;NFKB1;ZC3H12A;ETS2;HBEGF;IER5;SNN;B4GALT1;GADD45B;F2RL1;DUSP5;NR4A3;NFKB2;SDC4;EGR1;JUN;NR4A1;RIPK2;SGK1;PLAU;RCAN1;PHLDA2;CD44;NR4A2;SIK1;TNFAIP8;KLF6;CD83
