Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
HALLMARK_NOTCH_SIGNALING,0.626979557357361,2.0335493474195494,0.0,0.0,32,27,FZD5;NOTCH3;DLL1;NOTCH2;HES1;PPARD;FZD7;KAT2A;WNT5A;FZD1;ST3GAL6;FBXW11;PRKCA;ARRB1;NOTCH1;SKP1;CCND1;APH1A;HEYL;DTX2;TCF7L2;RBX1;PSENEN;CUL1;SAP30;PSEN2;JAG1,FZD5;NOTCH3;DLL1;NOTCH2;HES1;PPARD;FZD7;KAT2A;WNT5A;FZD1;ST3GAL6;FBXW11;PRKCA
HALLMARK_MYC_TARGETS_V1,-0.3621160595519452,-1.9832461068959955,0.0,0.0010912698412698413,200,197,TFDP1;UBE2L3;PABPC4;TUFM;HDGF;TXNL4A;PPM1G;GOT2;LSM7;G3BP1;PRDX4;PSMB3;STARD7;MRPL23;EIF3B;FAM120A;DHX15;SRSF1;SLC25A3;CNBP;NDUFAB1;SRSF2;RPS10;VDAC1;NOP16;NCBP2;RPS2;SNRPA1;NOLC1;GNL3;U2AF1;SNRPG;CYC1;MYC;SNRPA;PPIA;GSPT1;RPS5;H2AFZ;SNRPD2;TRIM28;XPO1;EIF4E;PRDX3;NHP2;CBX3;HNRNPA2B1;TARDBP;PSMA7;GLO1;PCBP1;SERBP1;NCBP1;DUT;VDAC3;EIF4G2;ORC2;RANBP1;PSMA2;SRPK1;XPOT;PGK1;PHB;FBL;NAP1L1;CDC45;RPLP0;SF3B3;HNRNPR;PSMD1;SNRPD1;HSPE1;HNRNPC;DDX21;LDHA;DEK;RPL34;YWHAQ;SYNCRIP;PTGES3;AP3S1;SSB;MCM4;SRSF7;IMPDH2;CCT3;KPNB1;RPL18;MCM6;CCT7;CUL1;RPL22;RPS3;PRPS2;LSM2;RAD23B;COX5A;NME1;VBP1;PSMB2;TRA2B;RPL14;HSP90AB1;PSMA4;CLNS1A;CCT5;HPRT1;RAN;SRSF3;EXOSC7;ETF1;C1QBP;RPS6;EIF2S2;CAD;NOP56;MCM5;PSMD3;MAD2L1;PSMA1;SNRPD3;RPL6;RFC4;MCM2;YWHAE;PRPF31;USP1;EIF1AX;PCNA;SET;CCT4;CCNA2;TCP1;COPS5;PA2G4;CDK4;PHB2;EIF3J;HNRNPU;SF3A1;ERH;RUVBL2;ACP1;MCM7;CDC20;PSMC6;HDAC2;DDX18;EIF2S1;HNRNPA1;KPNA2;PABPC1;EIF4A1;RNPS1;TYMS;BUB3;ABCE1;PSMC4;PSMA6;UBA2;APEX1;SRM;MRPS18B;KARS;POLD2;HNRNPD;SSBP1;SMARCC1;RSL1D1;IARS;HNRNPA3;RRM1;PSMD7;CCT2;CDK2;EIF3D;CANX;ILF2;HDDC2;EPRS;EEF1B2;CSTF2;SNRPB2;EIF4H;PWP1;IFRD1;PSMD8;POLE3;RRP9;PSMD14;XRCC6;AIMP2;NPM1;HSPD1;MRPL9;UBE2E1;ODC1,YWHAE;PRPF31;USP1;EIF1AX;PCNA;SET;CCT4;CCNA2;TCP1;COPS5;PA2G4;CDK4;PHB2;EIF3J;HNRNPU;SF3A1;ERH;RUVBL2;ACP1;MCM7;CDC20;PSMC6;HDAC2;DDX18;EIF2S1;HNRNPA1;KPNA2;PABPC1;EIF4A1;RNPS1;TYMS;BUB3;ABCE1;PSMC4;PSMA6;UBA2;APEX1;SRM;MRPS18B;KARS;POLD2;HNRNPD;SSBP1;SMARCC1;RSL1D1;IARS;HNRNPA3;RRM1;PSMD7;CCT2;CDK2;EIF3D;CANX;ILF2;HDDC2;EPRS;EEF1B2;CSTF2;SNRPB2;EIF4H;PWP1;IFRD1;PSMD8;POLE3;RRP9;PSMD14;XRCC6;AIMP2;NPM1;HSPD1;MRPL9;UBE2E1;ODC1
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-0.3967144415105954,-2.013318620424296,0.0,0.0021825396825396826,113,107,IMP3;EIF4G1;TATDN2;CNOT6;KDELR3;ARFGAP1;LSM4;NFYA;EXOSC2;FKBP14;NOLC1;SPCS3;EEF2;EDC4;BANF1;DCP1A;EXOSC4;H2AFX;GEMIN4;EIF4E;CALR;DCTN1;ZBTB17;DCP2;NHP2;TTC37;CXXC1;EIF4A2;XPOT;KIF5B;PDIA6;LSM1;ATP6V0D1;ASNS;YIF1A;IFIT1;SLC7A5;POP4;KHSRP;SRPRB;TSPYL2;PAIP1;SLC30A5;EIF4A3;PDIA5;YWHAZ;ALDH18A1;SERP1;EDEM1;EIF2AK3;DNAJC3;SSR1;GOSR2;PSAT1;PREB;DDX10;SEC11A;SPCS1;NOP56;CNOT4;HSP90B1;EIF4EBP1;NFYB;DKC1;MTHFD2;HYOU1;CEBPB;CNOT2;CHAC1;DDIT4;TUBB2A;HSPA5;FUS;BAG3;WFS1;EXOSC9;SDAD1;EIF2S1;EIF4A1;CKS1B;HERPUD1;EXOC2;EXOSC10;SEC31A;WIPI1;VEGFA;IARS;CEBPG;RPS14;SKIV2L2;SLC1A4;TARS;ATF4;ATF6;ERN1;ATF3;SHC1;EXOSC5;PARN;DNAJB9;STC2;NOP14;RRP9;XBP1;EXOSC1;NPM1;HSPA9,SPCS1;NOP56;CNOT4;HSP90B1;EIF4EBP1;NFYB;DKC1;MTHFD2;HYOU1;CEBPB;CNOT2;CHAC1;DDIT4;TUBB2A;HSPA5;FUS;BAG3;WFS1;EXOSC9;SDAD1;EIF2S1;EIF4A1;CKS1B;HERPUD1;EXOC2;EXOSC10;SEC31A;WIPI1;VEGFA;IARS;CEBPG;RPS14;SKIV2L2;SLC1A4;TARS;ATF4;ATF6;ERN1;ATF3;SHC1;EXOSC5;PARN;DNAJB9;STC2;NOP14;RRP9;XBP1;EXOSC1;NPM1;HSPA9
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.4110688116389957,1.8138352132459197,0.0,0.005373246492985971,200,141,FN1;TGFBR3;TGFB1;COL1A1;COL12A1;COL5A1;FBN2;LAMC1;NID2;PLOD1;EDIL3;VCAN;LRP1;NOTCH2;TGM2;LAMA1;MMP14;FLNA;CADM1;SAT1;EMP3;IGFBP4;FUCA1;GAS1;CRLF1;PMEPA1;FBLN2;CDH2;JUN;CD44;SLC6A8;SFRP1;FZD8;PLAUR;IGFBP2;WNT5A;SLIT2;CYR61;PLOD3;ITGAV;MSX1;FSTL3;BASP1;CALU;FBLN1;ABI3BP;TPM2;MATN3;GJA1;PLOD2;SDC1;COMP;GPC1;ITGA5;DKK1;ID2;COL4A2;BMP1;GADD45B;QSOX1;ITGB5;FOXC2;MMP2;ITGB1;ENO2;APLP1;LOXL2;RGS4;LGALS1;LOXL1;TNFAIP3;DST;PMP22;COL4A1;PRRX1;ITGA2;CD59;COL6A2;RHOB;LUM;TNFRSF12A;CTGF;EFEMP2;SPARC;TPM1;DAB2;COL7A1;LAMA3;SPOCK1;TPM4;SDC4;TFPI2;DPYSL3;SGCB;PCOLCE;SERPINE2;PDLIM4;PTX3;GEM;WIPF1;TAGLN;CXCL12;IL32;SLIT3;LOX;FGF2;IL15;PTHLH;SNAI2;MYLK;MATN2;TNC;FBN1;VEGFC;FBLN5;PVR;PPIB;TIMP3;ELN;CALD1;VIM;TIMP1;MAGEE1;FSTL1;MCM7;PFN2;SERPINH1;VEGFA;PCOLCE2;ACTA2;GADD45A;COL16A1;CAP2;HTRA1;AREG;SNTB1;COL6A3;FERMT2;FAS;COPA;CAPG,FN1;TGFBR3;TGFB1;COL1A1;COL12A1;COL5A1;FBN2;LAMC1;NID2;PLOD1;EDIL3;VCAN;LRP1;NOTCH2;TGM2;LAMA1;MMP14;FLNA;CADM1;SAT1;EMP3;IGFBP4;FUCA1;GAS1;CRLF1;PMEPA1;FBLN2;CDH2;JUN;CD44;SLC6A8;SFRP1;FZD8;PLAUR;IGFBP2;WNT5A;SLIT2;CYR61;PLOD3;ITGAV;MSX1;FSTL3;BASP1;CALU;FBLN1;ABI3BP;TPM2;MATN3;GJA1;PLOD2;SDC1;COMP;GPC1;ITGA5;DKK1;ID2;COL4A2;BMP1;GADD45B;QSOX1
HALLMARK_MYC_TARGETS_V2,-0.38920848456893764,-1.740334346824102,0.004081632653061225,0.005820105820105821,58,58,NOP2;SLC29A2;DCTPP1;PPRC1;TBRG4;BYSL;NOP16;PUS1;NOLC1;GNL3;PPAN;MYC;DUSP2;TMEM97;SORD;SLC19A1;CBX3;RRP12;NDUFAF4;PHB;HSPE1;UNG;GRWD1;PLK1;MCM4;FARSA;PLK4;NIP7;IMP4;MAP3K6;NOP56;MYBBP1A;MCM5;WDR74;TCOF1;RCL1;PRMT3;PA2G4;MRTO4;CDK4;MPHOSPH10;DDX18;TFB2M;IPO4;SRM;WDR43;UTP20;SUPV3L1;NOC4L;EXOSC5;HK2;RRP9;AIMP2;NPM1;RABEPK;HSPD1;LAS1L;PES1,RCL1;PRMT3;PA2G4;MRTO4;CDK4;MPHOSPH10;DDX18;TFB2M;IPO4;SRM;WDR43;UTP20;SUPV3L1;NOC4L;EXOSC5;HK2;RRP9;AIMP2;NPM1;RABEPK;HSPD1;LAS1L;PES1
HALLMARK_DNA_REPAIR,-0.31998682669619616,-1.668549184565532,0.005319148936170213,0.006820436507936507,150,138,GPX4;DGCR8;POLR2H;CDA;AK1;POLE4;NME4;SMAD5;BCAM;ADCY6;NME3;POLD1;APRT;AK3;COX17;NCBP2;BCAP31;GUK1;CLP1;POLR2E;BOLA2;SNAPC4;POLR2C;ERCC2;CANT1;MPG;POLR2D;POLD4;TAF10;TAF6;SDCBP;NUDT9;POLR2F;DDB1;SAC3D1;TCEB3;ERCC8;DGUOK;POLR2A;POLR2J;TAF13;NUDT21;VPS37B;DUT;POLH;SUPT5H;DAD1;REV3L;TAF12;TAF1C;ADA;TARBP2;POM121;PNP;ZWINT;SUPT4H1;STX3;ZNF707;FEN1;GTF2B;RFC3;NT5C;POLR2K;ARL6IP1;IMPDH2;RBX1;RAD52;ERCC3;ELL;POLR1C;NME1;GTF2H1;ZNRD1;GTF2A2;HPRT1;TMED2;GTF2H3;ERCC5;RAE1;SURF1;TSG101;POLR1D;POLA1;RPA2;DDB2;GTF2F1;POLL;USP11;GTF2H5;POLB;RFC4;ADRM1;DFNA5;GTF3C5;ERCC4;ITPA;GMPR2;CCNO;PCNA;SEC61A1;CSTF3;RRM2B;SRSF6;VPS28;RALA;UPF3B;BRF2;VPS37D;CETN2;TYMS;UMPS;SNAPC5;RNMT;POLR2I;POLR3GL;POLR2G;NFX1;PRIM1;XPC;POLD3;SSRP1;EDF1;TAF9;RAD51;EIF1B;RFC5;RFC2;TK2;POLA2;TP53;LIG1;POLR3C;AAAS;SF3A3;MRPL40;RPA3;ERCC1;DCTN4,TMED2;GTF2H3;ERCC5;RAE1;SURF1;TSG101;POLR1D;POLA1;RPA2;DDB2;GTF2F1;POLL;USP11;GTF2H5;POLB;RFC4;ADRM1;DFNA5;GTF3C5;ERCC4;ITPA;GMPR2;CCNO;PCNA;SEC61A1;CSTF3;RRM2B;SRSF6;VPS28;RALA;UPF3B;BRF2;VPS37D;CETN2;TYMS;UMPS;SNAPC5;RNMT;POLR2I;POLR3GL;POLR2G;NFX1;PRIM1;XPC;POLD3;SSRP1;EDF1;TAF9;RAD51;EIF1B;RFC5;RFC2;TK2;POLA2;TP53;LIG1;POLR3C;AAAS;SF3A3;MRPL40;RPA3;ERCC1;DCTN4
HALLMARK_UV_RESPONSE_UP,0.3961124835491431,1.708808629927836,0.0,0.013677354709418835,158,142,NPTXR;COL2A1;TAP1;BCL2L11;SLC25A4;JUNB;CDKN1C;CXCL2;DGAT1;POLR2H;DLG4;HYAL2;KLHDC3;MMP14;SPR;RET;PRKCD;TFRC;CCND3;EPHX1;AMD1;SLC6A8;GCH1;FOSB;EPCAM;IGFBP2;MARK2;TYRO3;STK25;MGAT1;KCNH2;TUBA4A;MSX1;FURIN;NFKBIA;SHOX2;STARD3;FKBP4;TGFBRAP1;MRPL23;CA2;ALDOA;PPT1;AQP3;PLCL1;SOD2;GLS;RPN1;GPX3;CHRNA5;FOS;NXF1;TMBIM6;ARRB2;LHX2;NPTX2;ENO2;BAK1;SLC6A12;LYN;CDC34;NR4A1;CHKA;PDLIM3;IL6ST;YKT6;SIGMAR1;PRKACA;CYP1A1;GGH;NKX2-5;GAL;CDO1;CREG1;BID;RHOB;HSPA2;H2AFX;RASGRP1;ABCB1;BSG;ACAA1;WIZ;OLFM1;ALAS1;CDKN2B;ATP6V1F;CLCN2;TST;MAOA;HLA-F;CYB5R1;PPP1R2;MAPK8IP2;CASP3;DNAJA1;GRINA;POLG2;CLTB;BMP2;ASNS;RRAD;ATP6V1C1;FEN1;DDX21;CNP;DNAJB1;BTG2;E2F5;PDAP1;STIP1;PPAT;RAB27A;SQSTM1;PPIF;BTG3;AP2S1;EIF2S3;NAT1;PTPRD;GRPEL1;CCNE1;RFC4;EIF5;CYB5B;HNRNPU;PARP2;RXRB;IRF1;HSPA13;PRPF3;CEBPG;CDC5L;TARS;BTG1;CDK2;ATF3;UROD;HMOX1;POLE3;SULT1A1;PSMC3,NPTXR;COL2A1;TAP1;BCL2L11;SLC25A4;JUNB;CDKN1C;CXCL2;DGAT1;POLR2H;DLG4;HYAL2;KLHDC3;MMP14;SPR;RET;PRKCD;TFRC;CCND3;EPHX1;AMD1;SLC6A8;GCH1;FOSB;EPCAM;IGFBP2;MARK2;TYRO3;STK25;MGAT1;KCNH2;TUBA4A;MSX1;FURIN;NFKBIA;SHOX2;STARD3;FKBP4;TGFBRAP1;MRPL23;CA2;ALDOA;PPT1;AQP3;PLCL1;SOD2;GLS;RPN1;GPX3;CHRNA5;FOS;NXF1;TMBIM6;ARRB2;LHX2;NPTX2;ENO2;BAK1;SLC6A12;LYN;CDC34;NR4A1
HALLMARK_COAGULATION,0.3860542199314759,1.5722830450512886,0.005298013245033113,0.02203573814295257,138,76,FN1;MMP15;CTSK;CTSB;LRP1;CD9;MMP14;F12;RABIF;PROS1;C1R;GSN;S100A13;LGMN;CLU;CSRP1;MAFF;FURIN;MMP11;ANG;GP1BA;COMP;KLK8;CFD;S100A1;BMP1;PLAU;SERPING1;MMP2;CRIP2;ADAM9;ITGA2;PLAT;CASP9;GNB2;LAMP2;C1S;SPARC;LTA4H;P2RY1;SIRT2;PEF1;APOC1;TFPI2;FYN;CFB;C2;TF;MASP2;GNG12;CAPN5;RAPGEF3;RAC1;ISCU;DPP4;PREP;ARF4;F3;SH2B2;USP11;MST1;C3;F8;MSRB2;PRSS23;FBN1;WDR1;TIMP3;DUSP6;TIMP1;KLF7;ANXA1;HTRA1;CTSH;CAPN2;CTSO,FN1;MMP15;CTSK;CTSB;LRP1;CD9;MMP14;F12;RABIF;PROS1;C1R;GSN;S100A13;LGMN;CLU;CSRP1;MAFF;FURIN;MMP11;ANG;GP1BA;COMP;KLK8;CFD;S100A1;BMP1;PLAU;SERPING1
HALLMARK_INFLAMMATORY_RESPONSE,0.3845535419344936,1.6182070157346562,0.0,0.02207915831663327,200,103,FZD5;SLC7A2;ATP2A2;TNFSF9;ICAM4;IFITM1;TPBG;NMUR1;PCDH7;IRAK2;SLC11A2;MMP14;CHST2;EMP3;LDLR;RHOG;SPHK1;CD70;GCH1;PLAUR;SLC4A4;HBEGF;RAF1;CD40;NFKBIA;PTGER2;IL15RA;STAB1;SLC31A2;GP1BA;ITGA5;CCL20;ADORA2B;ADM;NFKB1;DCBLD2;FFAR2;NPFFR2;SCN1B;AHR;RIPK2;LYN;ICOSLG;KIF1B;PDPN;C5AR1;IL18R1;KLF6;MYC;SGMS2;ATP2C1;IFNGR2;CD14;GPC3;LY6E;SLC7A1;IFNAR1;RASGRP1;SEMA4D;ATP2B1;CD55;BST2;CALCRL;MXD1;CD82;IL7R;RELA;PIK3R5;CDKN1A;P2RX4;EIF2AK2;HIF1A;ACVR2A;BTG2;PSEN1;IL10RA;MET;CSF1;ACVR1B;MSR1;RGS16;RNF144B;IL15;IL4R;F3;GABBR1;P2RY2;ADRM1;SLC31A1;PVR;TIMP1;GNAI3;PROK2;TNFRSF9;NAMPT;LPAR1;IRF1;SRI;NMI;ABI1;LIF;LAMP3;BEST1,FZD5;SLC7A2;ATP2A2;TNFSF9;ICAM4;IFITM1;TPBG;NMUR1;PCDH7;IRAK2;SLC11A2;MMP14;CHST2;EMP3;LDLR;RHOG;SPHK1;CD70;GCH1;PLAUR;SLC4A4;HBEGF;RAF1;CD40;NFKBIA;PTGER2;IL15RA;STAB1;SLC31A2;GP1BA;ITGA5;CCL20;ADORA2B;ADM;NFKB1;DCBLD2;FFAR2;NPFFR2;SCN1B;AHR;RIPK2;LYN;ICOSLG;KIF1B;PDPN
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.34923121032024856,1.5494758545310654,0.0011682242990654205,0.02246993987975952,200,158,TNFSF9;TAP1;SLC2A6;JUNB;CXCL2;PANX1;HES1;DUSP4;PDLIM5;SAT1;LDLR;IER2;IER5;B4GALT5;PMEPA1;SPHK1;JUN;NR4A2;CD44;MAP2K3;GCH1;FOSB;PLAUR;EGR3;KLF9;CYR61;MAFF;HBEGF;PER1;DUSP5;NFKBIA;NFKB2;ETS2;DUSP1;RCAN1;MCL1;FJX1;PFKFB3;TRIP10;SOD2;IL15RA;NFAT5;SOCS3;NR4A3;CCL20;ID2;PNRC1;ZBTB10;PLAU;GADD45B;SIK1;SNN;NFKB1;SGK1;EFNA1;GFPT2;FOS;F2RL1;PHLDA2;RIPK2;TNFAIP8;EHD1;LAMB3;NR4A1;ICOSLG;ZFP36;FUT4;DENND5A;MSC;MAP3K8;TNIP2;IL6ST;TNFAIP3;KLF6;TNIP1;CD83;MYC;NINJ1;B4GALT1;MARCKS;KLF2;IFNGR2;TIPARP;ZC3H12A;DUSP2;RHOB;SLC2A3;REL;KDM6B;ATP2B1;CCND1;MXD1;EGR1;SDC4;KLF4;KLF10;DDX58;IL7R;RELA;TRIB1;TNFAIP2;PTGS2;PTX3;GEM;CDKN1A;EGR2;FOSL1;BHLHE40;BMP2;SMAD3;BCL6;LITAF;RELB;IRS2;BTG2;G0S2;RNF19B;CSF1;BIRC2;SPSB1;BCL3;SQSTM1;CFLAR;CCNL1;F3;BTG3;TGIF1;DNAJB4;CXCL3;YRDC;JAG1;TANK;TNC;CEBPB;FOSL2;TUBB2A;PLK2;TRAF1;DRAM1;NFIL3;NFKBIE;SERPINB8;TNFRSF9;CEBPD;NAMPT;IRF1;VEGFA;BTG1;GADD45A;ATF3;TSC22D1;AREG;EIF1;NFE2L2;LIF;SLC16A6;PPP1R15A;IL23A,TNFSF9;TAP1;SLC2A6;JUNB;CXCL2;PANX1;HES1;DUSP4;PDLIM5;SAT1;LDLR;IER2;IER5;B4GALT5;PMEPA1;SPHK1;JUN;NR4A2;CD44;MAP2K3;GCH1;FOSB;PLAUR;EGR3;KLF9;CYR61;MAFF;HBEGF;PER1;DUSP5;NFKBIA;NFKB2;ETS2;DUSP1;RCAN1;MCL1;FJX1;PFKFB3;TRIP10;SOD2;IL15RA;NFAT5;SOCS3;NR4A3;CCL20;ID2;PNRC1;ZBTB10;PLAU;GADD45B;SIK1;SNN;NFKB1;SGK1;EFNA1;GFPT2;FOS;F2RL1;PHLDA2;RIPK2;TNFAIP8;EHD1;LAMB3;NR4A1;ICOSLG;ZFP36;FUT4;DENND5A;MSC;MAP3K8;TNIP2;IL6ST;TNFAIP3;KLF6;TNIP1;CD83;MYC;NINJ1;B4GALT1;MARCKS;KLF2;IFNGR2;TIPARP;ZC3H12A;DUSP2;RHOB;SLC2A3;REL
HALLMARK_MYOGENESIS,0.3633873007948309,1.5994006677345303,0.0,0.023609719438877755,200,136,FHL1;OCEL1;TGFB1;COL1A1;AGRN;FKBP1B;TNNT1;ADCY9;REEP1;ERBB3;ABLIM1;MYO1C;AK1;GSN;SPTAN1;SYNGR2;VIPR1;CKB;CACNA1H;ITGA7;SPHK1;CLU;FOXO4;MAPK12;SCD;SLC6A8;SH2B1;HBEGF;KCNH2;AKT2;MAPRE3;IGFBP7;DAPK2;TPM2;LPIN1;PPFIA4;ATP6AP1;RIT1;APOD;COL4A2;CFD;GADD45B;GPX3;PC;ITGB5;ITGB1;GABARAPL2;PDLIM7;MYL6B;CHRNB1;PDE4DIP;MYL3;PFKM;MYH9;TEAD4;CNN3;APP;ACHE;ENO3;DTNA;NOTCH1;NCAM1;COL6A2;FABP3;PKIA;SVIL;AGL;GNAO1;SPARC;BAG1;ACTN2;SIRT2;PVALB;ACTA1;MEF2D;KLF5;GAA;SORBS1;PICK1;TCAP;PLXNB2;HDAC5;EIF4A2;FXYD1;PYGM;FST;CDKN1A;SMTN;FLII;TPD52L1;BHLHE40;MEF2A;CRAT;SCHIP1;TAGLN;ST5;CAV3;CTF1;TSC2;ATP2A1;KIFC3;CAMK2B;DMPK;BIN1;FGF2;RYR1;MYH3;MEF2C;EPHB3;PSEN2;MYLK;WWTR1;MYOM2;PRNP;HSPB8;TPM3;FDPS;DMD;MRAS;PTP4A3;PGAM2;SPEG;TNNC1;NAV2;ITGB4;RB1;LSP1;CRYAB;NQO1;SSPN;ACSL1;IFRD1;STC2;COL6A3;SORBS3;SH3BGR,FHL1;OCEL1;TGFB1;COL1A1;AGRN;FKBP1B;TNNT1;ADCY9;REEP1;ERBB3;ABLIM1;MYO1C;AK1;GSN;SPTAN1;SYNGR2;VIPR1;CKB;CACNA1H;ITGA7;SPHK1;CLU;FOXO4;MAPK12;SCD;SLC6A8;SH2B1;HBEGF;KCNH2;AKT2;MAPRE3;IGFBP7;DAPK2;TPM2;LPIN1;PPFIA4;ATP6AP1;RIT1;APOD;COL4A2;CFD;GADD45B;GPX3;PC;ITGB5;ITGB1;GABARAPL2;PDLIM7;MYL6B;CHRNB1;PDE4DIP;MYL3;PFKM;MYH9;TEAD4
HALLMARK_UV_RESPONSE_DN,0.362399096331291,1.5740524425082485,0.0036144578313253013,0.024301728456913828,144,130,PAPD7;TGFBR3;COL1A1;MMP16;GRK5;IGFBP5;LAMC1;SIPA1L1;NOTCH2;PTPRM;PDLIM5;SMAD7;LDLR;FZD2;ATXN1;MGLL;CACNA1A;PRDM2;CYR61;ZMIZ1;CDON;GCNT1;ID1;CITED2;KIT;INSIG1;PPARG;APBB2;NRP1;CELF2;DUSP1;IGF1R;GJA1;ATRX;PIK3CD;PRKAR2B;SDC2;ADORA2B;ATRN;PRKCA;PIK3R3;NFKB1;RUNX1;KALRN;MAP1B;PHF3;PTGFR;NEK7;RGS4;CAV1;PMP22;MYC;DDAH1;AKT3;SYNJ2;ATP2C1;BMPR1A;PIAS3;SPOP;CDK13;SLC7A1;ERBB2;CDC42BPA;DAB2;ATP2B1;PRKCE;MTA1;RASA2;SCN8A;MAPK14;DLG1;DYRK1A;SYNE1;ABCC1;FYN;NR1D2;DLC1;VLDLR;DBP;TJP1;TGFBR2;NIPBL;VAV2;LTBP1;TFPI;INPP4B;ARHGEF9;CDKN1B;RXRA;BHLHE40;SMAD3;SCHIP1;YTHDC1;SFMBT1;AGGF1;ACVR2A;WDR37;ANXA2;MET;FHL2;IRS1;FAM179B;PEX14;NR3C1;F3;SNAI2;KCNMA1;PLCB4;AMPH;BCKDHB;MAGI2;SCAF8;PTEN;FBLN5;PTPN21;RND3;RBPMS;ATP2B4;EFEMP1;ANXA4;LPAR1;SRI;ICA1;NFIB;ADD3;MIOS;MAP2K5;MRPS31;CAP2;ATP5S,PAPD7;TGFBR3;COL1A1;MMP16;GRK5;IGFBP5;LAMC1;SIPA1L1;NOTCH2;PTPRM;PDLIM5;SMAD7;LDLR;FZD2;ATXN1;MGLL;CACNA1A;PRDM2;CYR61;ZMIZ1;CDON;GCNT1;ID1;CITED2;KIT;INSIG1;PPARG;APBB2;NRP1;CELF2;DUSP1;IGF1R;GJA1;ATRX;PIK3CD;PRKAR2B;SDC2;ADORA2B;ATRN;PRKCA;PIK3R3;NFKB1
HALLMARK_TGF_BETA_SIGNALING,0.41828393169727573,1.5509634860493728,0.008310249307479225,0.024521543086172347,54,51,TGFB1;JUNB;CDKN1C;SMAD6;APC;SMAD7;NOG;RAB31;SMAD1;PMEPA1;SLC20A1;BMPR2;ID1;FURIN;ID2;HIPK2;NCOR2;HDAC1;PPM1A;ID3;CDK9;SMURF2;ENG;SKI;IFNGR2;CDH1;BMPR1A;LTBP2;BCAR3;SPTBN1;KLF10;SMURF1;XIAP;ARID4B;TJP1;PPP1CA;MAP3K7;RHOA;CTNNB1;TGFBR1;BMP2;SMAD3;TGIF1;WWTR1;SKIL;UBE2D3;FKBP1A;TRIM33;ACVR1;FNTA;PPP1R15A,TGFB1;JUNB;CDKN1C;SMAD6;APC;SMAD7;NOG;RAB31;SMAD1;PMEPA1;SLC20A1;BMPR2;ID1;FURIN;ID2;HIPK2;NCOR2;HDAC1;PPM1A;ID3;CDK9;SMURF2;ENG;SKI
HALLMARK_ESTROGEN_RESPONSE_LATE,0.3447039675365484,1.5359915688212795,0.0023952095808383233,0.024668086172344686,200,157,TIAM1;UNC13B;LLGL2;MYB;ABCA3;TPBG;EMP2;FOXC1;CELSR2;CD9;DCXR;CACNA2D2;IGFBP4;CHPT1;SLC29A1;RET;RAB31;GLA;METTL3;NBL1;NPY1R;TOB1;CKB;SLC22A5;TJP3;SLC9A3R1;IGSF1;CD44;SCARB1;EGR3;FGFR3;DHCR7;RAPGEFL1;HOMER2;CYP26B1;TFAP2C;PLXNB1;NAB2;CISH;RABEP1;FKBP4;CA2;FDFT1;SULT2B1;CPE;MAPT;PRKAR2B;ID2;CA12;SFN;NCOR2;SGK1;FOS;PTGES;TSPAN13;SLC16A1;ITPK1;OPN3;ARL3;SIAH2;PLA2G16;ZFP36;PDLIM3;AMFR;CAV1;IL6ST;KIF20A;IL17RB;PDZK1;RPS6KA2;COX6C;GAL;CDH1;DUSP2;NMU;NXT1;MICB;BAG1;FLNB;STIL;PERP;BLVRB;CCND1;SORD;SEMA3B;ST6GALNAC2;IDH2;OLFM1;KLF4;TFPI2;ANXA9;CHST8;FRK;FAM102A;SLC27A2;SLC26A2;TST;FKBP5;IMPA2;ABHD2;GALE;MAPK13;XRCC3;PAPSS2;GINS2;DLG5;ELOVL5;HSPA4L;TPD52L1;CXCL12;TSTA3;ASS1;SLC7A5;PTPN6;LSR;JAK2;DNAJC12;FARP1;SLC2A8;AFF1;PLAC1;JAK1;PLK4;TOP2A;PPIF;DNAJC1;HPRT1;DYNLT3;BTG3;FABP5;BCL2;HSPB8;NRIP1;PRSS23;RNASEH2A;TNNC1;WFS1;CDC20;PDCD4;ATP2B4;ALDH3A2;KCNK5;SNX10;ETFB;SLC1A4;ADD3;CDC6;SCNN1A;DHRS2;AREG;ISG20;UGDH;MOCS2;RBBP8;XBP1;ALDH3B1;MDK,TIAM1;UNC13B;LLGL2;MYB;ABCA3;TPBG;EMP2;FOXC1;CELSR2;CD9;DCXR;CACNA2D2;IGFBP4;CHPT1;SLC29A1;RET;RAB31;GLA;METTL3;NBL1;NPY1R;TOB1;CKB;SLC22A5;TJP3;SLC9A3R1;IGSF1;CD44;SCARB1;EGR3;FGFR3;DHCR7;RAPGEFL1;HOMER2;CYP26B1;TFAP2C;PLXNB1;NAB2;CISH;RABEP1;FKBP4;CA2;FDFT1;SULT2B1;CPE;MAPT;PRKAR2B;ID2;CA12;SFN;NCOR2;SGK1;FOS;PTGES;TSPAN13;SLC16A1;ITPK1;OPN3;ARL3;SIAH2;PLA2G16;ZFP36;PDLIM3;AMFR
