Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY,-0.7725930729843635,-1.6218980832148822,0.004901960784313725,0.043041606886657105,49,45,JUNB;SBNO2;CDKN2D;SRXN1;HHEX;MSRA;GLRX;GPX3;OXSR1;EGLN2;GPX4;PRDX1;PRDX4;STK25;ATOX1;HMOX2;NDUFA6;TXNRD1;G6PD;MBP;TXNRD2;SOD2;ERCC2;ABCC1;FTL;MGST1;SCAF4;GSR;NDUFB4;TXN;PRDX2;PFKP;SOD1;PRDX6;GCLC;PRNP;GLRX2;GCLM;NDUFS2;PDLIM1;CAT;LSP1;NQO1;IPCEF1;FES,IPCEF1;FES
HALLMARK_SPERMATOGENESIS,0.6164143586873004,1.337418954161677,0.06451612903225806,0.5294320798158098,135,86,CHRM4;SCG5;MTNR1A;PACRG;TULP2;CAMK4;GAD1;POMC;PCSK1N;YBX2;LPIN1;SEPT4;HSPA2;SLC12A2;NF2;OAZ3;CLPB;PCSK4;TLE4;ARL4A;GMCL1;PHKG2;PHF7;DBF4;TOPBP1;PEBP1;PGS1;STRBP;MTOR;MAST2;TALDO1;GSTM3;PRKAR2A;BUB1;IP6K1;JAM3;BRAF;CHFR;TNNI3;VDAC3;HSPA4L;PIAS2;AGFG1;SIRT1;MAP7;NCAPH;KIF2C;MLLT10;AURKA;RFC4;CSNK2A2;DMC1;CDK1;COIL;EZH2;RAD17;PARP2;SPATA6;TTK;IDE;NEK2;MLF1;TSN;CCNB2;PSMG1;ZC3H14;CDKN3;GFI1;CLGN;ACE;RPL39L;GAPDHS;SNAP91;NPHP1;CNIH2;STAM2;IFT88;LDHC;TEKT2;GRM8;IL12RB2;NPY5R;TKTL1;CCT6B;DCC;SYCP1,CHRM4;SCG5;MTNR1A;PACRG
HALLMARK_ALLOGRAFT_REJECTION,0.6097017361120496,1.356504236682648,0.059654631083202514,0.5913021233051932,200,100,CD4;CD7;SOCS1;HLA-DMB;STAB1;ST8SIA4;IL11;RPL3L;HDAC9;ITGB2;TAP1;ICOSLG;GCNT1;PRKCB;TLR6;HLA-DOA;IL27RA;MAP4K1;TGFB1;HLA-DMA;WAS;TAP2;SOCS5;INHBB;CD40;FLNA;C2;TRAF2;ACHE;CCND3;HLA-E;DYRK3;CSK;CD47;F2R;B2M;RIPK2;EIF4G3;LYN;IFNGR2;DEGS1;IRF8;CCND2;APBB1;IL12A;CDKN2A;STAT1;IFNGR1;ETS1;IKBKB;EIF5A;RPS19;MAP3K7;BCAT1;GALNT1;UBE2N;RPL39;ELF4;RPS9;AKT1;HIF1A;RPS3A;EGFR;ACVR2A;AARS;RPL9;NME1;UBE2D1;BCL3;BCL10;EIF3D;PSMB10;TPD52;NPM1;EIF3A;CSF1;NCK1;ABCE1;IL4R;TIMP1;IFNAR2;MRPL3;EIF3J;DARS;BRCA1;NOS2;ABI1;JAK2;GLMN;MTIF2;RARS;WARS;PTPN6;IL16;HLA-DQA1;IL15;CAPG;FAS;STAT4;LIF,CD4;CD7;SOCS1;HLA-DMB;STAB1;ST8SIA4;IL11;RPL3L;HDAC9;ITGB2;TAP1;ICOSLG;GCNT1;PRKCB;TLR6;HLA-DOA;IL27RA
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.6351905295869826,1.288928037877412,0.11916264090177134,0.6382194934765925,87,54,CD44;SOCS1;SOCS3;LTBR;IL9R;CD14;CSF2RA;MAP3K8;IL3RA;IL18R1;PIK3R5;TGFB1;MYD88;IL15RA;TNFRSF21;IL6ST;IL17RA;CD9;CNTFR;GRB2;STAT3;TYK2;TNFRSF12A;PDGFC;JUN;STAT2;IL17RB;IFNGR2;IL13RA1;BAK1;PTPN11;STAT1;IFNGR1;IFNAR1;TNFRSF1A;ACVR1B;PIM1;CBL;LEPR;PTPN2;CSF1;IL4R;PTPN1;HAX1;IL10RB;ITGA4;IRF1;IRF9;HMOX1;INHBE;STAM2;FAS;CXCL3;ACVRL1,CD44;SOCS1;SOCS3;LTBR;IL9R;CD14;CSF2RA;MAP3K8;IL3RA;IL18R1;PIK3R5;TGFB1;MYD88;IL15RA
HALLMARK_COMPLEMENT,0.5348969572037706,1.216375768382127,0.15657311669128507,0.6755564082885649,200,130,CSRP1;MMP14;KLK1;CR2;APOBEC3G;ERAP2;CPM;CFB;L3MBTL4;CDA;HPCAL4;DOCK4;MAFF;MMP15;HSPA1A;GP1BA;DUSP5;C1R;FN1;TFPI2;ANG;LRP1;SERPING1;PIK3R5;CLU;TNFAIP3;PCLO;PLAUR;C1S;RASGRP1;VCPIP1;WAS;ACTN2;CTSB;CD46;C2;TIMP2;PIK3CA;KCNIP3;DGKH;PLA2G4A;CA2;CASP9;PRKCD;LGALS3;RHOG;EHD1;GNAI2;CTSC;DYRK2;ADAM9;RAF1;STX4;GRB2;ZFPM2;RABIF;CTSD;S100A13;LGMN;COL4A2;ATOX1;GNB4;LYN;CD59;PDP1;PRCP;PFN1;PLAT;PPP4C;CALM3;APOC1;LAMP2;GCA;CALM1;GNB2;CASP3;RCE1;RNF4;LTA4H;CASP7;CD55;SRC;FYN;LIPA;APOBEC3F;GMFB;PSEN1;USP14;BRPF3;ANXA5;PREP;PIM1;SIRT6;SH2B3;ME1;DOCK9;GNG2;FDX1;ZEB1;USP15;PPP2CB;CTSH;TIMP1;CEBPB;PLSCR1;PRDM4;USP16;IRF1;DPP4;LAP3;CBLB;XPNPEP1;JAK2;KIF2A;AKAP10;USP8;CDK5R1;GATA3;C3;GPD2;HSPA5;GNAI3;F3;IRF2;KCNIP2;PLA2G7;CASP10;DUSP6;CTSO;F8,CSRP1;MMP14;KLK1;CR2;APOBEC3G;ERAP2;CPM;CFB;L3MBTL4;CDA;HPCAL4;DOCK4;MAFF;MMP15;HSPA1A;GP1BA;DUSP5;C1R;FN1;TFPI2;ANG;LRP1;SERPING1;PIK3R5;CLU;TNFAIP3;PCLO;PLAUR;C1S;RASGRP1;VCPIP1;WAS
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.5915751843618618,1.1630077017392344,0.2528548123980424,0.7470606293169609,42,39,WNT6;DKK1;FZD1;FZD8;DLL1;PTCH1;FRAT1;HEY2;NOTCH1;JAG2;PPARD;MAML1;RBPJ;KAT2A;NUMB;CSNK1E;NCOR2;AXIN2;MYC;ADAM17;CCND2;LEF1;HDAC5;TCF7;AXIN1;CTNNB1;HEY1;CUL1;WNT5B;SKP2;GNAI1;PSEN2;HDAC2;DVL2;NCSTN;TP53;HDAC11;JAG1;NKD1,WNT6;DKK1;FZD1;FZD8;DLL1;PTCH1;FRAT1;HEY2
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.5328483758265747,1.2205834482220386,0.11746987951807229,0.748273215656178,200,158,CD44;CXCL2;SIK1;CCL20;LAMB3;NR4A3;DUSP4;EGR3;SOCS3;MSC;FOSB;NR4A2;FOS;IL7R;SLC2A6;MAFF;TAP1;MAP3K8;ICOSLG;DUSP5;PLAU;JUNB;DDX58;TNFAIP2;SGK1;HBEGF;TNFSF9;ZC3H12A;KLF2;PHLDA2;DUSP2;GADD45B;EGR1;EFNA1;TNFAIP3;SAT1;PTGS2;PANX1;LDLR;NFAT5;SPHK1;IL15RA;PMEPA1;ZFP36;NFKBIA;PLAUR;PER1;CYR61;FUT4;FJX1;B4GALT5;IER2;DUSP1;PDLIM5;HES1;IER5;GCH1;EGR2;CD83;KLF9;IL6ST;F2RL1;SNN;MAP2K3;TNFAIP8;MXD1;ZBTB10;PNRC1;TIPARP;EHD1;SLC2A3;REL;KLF4;CCND1;NFKB2;ETS2;JUN;RIPK2;ID2;KDM6B;GFPT2;NR4A1;IFNGR2;PFKFB3;PTX3;TRIP10;NFKB1;RCAN1;MARCKS;RHOB;SDC4;TNIP2;KLF6;MCL1;MYC;SOD2;DENND5A;B4GALT1;NINJ1;ATP2B1;GEM;FOSL1;TNIP1;RELA;BMP2;KLF10;TRIB1;CDKN1A;SMAD3;BHLHE40;LITAF;G0S2;IRS2;RNF19B;RELB;BCL6;BIRC2;SQSTM1;BCL3;CFLAR;BTG2;YRDC;EIF1;BTG3;CCNL1;TANK;CSF1;TGIF1;TUBB2A;SPSB1;VEGFA;NAMPT;NFE2L2;TSC22D1;CEBPB;DNAJB4;NFIL3;BTG1;IRF1;GADD45A;DRAM1;NFKBIE;ATF3;PPP1R15A;F3;JAG1;PLK2;FOSL2;TNFRSF9;TNC;CEBPD;CXCL3;TRAF1;SLC16A6;LIF;IL23A;SERPINB8;AREG,CD44;CXCL2;SIK1;CCL20;LAMB3;NR4A3;DUSP4;EGR3;SOCS3;MSC;FOSB;NR4A2;FOS;IL7R;SLC2A6;MAFF;TAP1;MAP3K8;ICOSLG;DUSP5;PLAU;JUNB;DDX58;TNFAIP2;SGK1;HBEGF;TNFSF9;ZC3H12A;KLF2;PHLDA2;DUSP2;GADD45B;EGR1;EFNA1;TNFAIP3;SAT1;PTGS2;PANX1;LDLR;NFAT5;SPHK1;IL15RA;PMEPA1;ZFP36;NFKBIA;PLAUR;PER1
HALLMARK_APOPTOSIS,0.5091908764311743,1.1424982836929125,0.23353293413173654,0.7617805065234076,161,126,CD44;EMP1;EGR3;LUM;CD14;ERBB3;BIK;TAP1;BMF;SMAD7;TGFBR3;BCL2L11;GADD45B;CLU;SAT1;GSN;IGFBP6;MMP2;GCH1;PLCB2;ENO2;SATB1;TIMP2;MADD;GPX3;CASP9;LGALS3;ANKH;PMAIP1;SPTAN1;TSPO;F2R;CASP6;RHOT2;SLC20A1;PPP2R5B;IFITM3;EBP;TNFRSF12A;CAV1;GPX4;CCND1;JUN;RARA;BCL2L2;RHOB;CREBBP;LMNA;PPT1;HSPB1;MCL1;RETSAT;PLAT;SOD2;CYLD;CCND2;CDC25B;LEF1;BID;GPX1;ROCK1;TXNIP;RELA;BMP2;ERBB2;IFNGR1;CASP3;XIAP;WEE1;BCAP31;CASP7;PPP3R1;PTK2;FEZ1;APP;BNIP3L;DFFA;DNAJA1;GSR;CDKN1A;ADD1;BAX;CDKN1B;CTNNB1;IGF2R;PSEN1;H1F0;DAP;VDAC2;SOD1;SQSTM1;CASP8;ETF1;BCL10;TOP2A;CFLAR;BTG2;CASP2;DNM1L;PSEN2;BTG3;DIABLO;DNAJC3;BCL2L1;KRT18;PAK1;TIMP1;DAP3;CDK2;HMGB2;TIMP3;BRCA1;PDCD4;PEA15;IRF1;GADD45A;ATF3;CTH;FDXR;HMOX1;DPYD;DDIT3;FAS;RNASEL;ANXA1;ISG20,CD44;EMP1;EGR3;LUM;CD14;ERBB3;BIK;TAP1;BMF;SMAD7;TGFBR3;BCL2L11;GADD45B;CLU;SAT1;GSN
HALLMARK_GLYCOLYSIS,0.45725156789279614,1.0645529483598244,0.3224368499257058,0.772323484267076,200,177,CD44;ARTN;CHST6;CHST1;SLC16A3;ELF3;TGFA;PPFIA4;BIK;CXCR4;CHST2;COL5A1;ANG;LHX9;EGLN3;AGRN;SOX9;VCAN;TPBG;EFNA3;SPAG4;PC;CACNA1H;CHST12;PAXIP1;ABCB6;TPST1;ADORA2B;ENO2;IDUA;GPC1;GLRX;KDELR3;MERTK;B3GALT6;PKP2;PLOD1;HOMER1;ARPP19;CYB5A;AGL;SDC1;NANP;CITED2;GALK1;GPC4;CASP6;PLOD2;PDK3;EXT1;ZNF292;SDC2;XYLT2;GUSB;SLC25A10;ALG1;RPE;CHPF2;POLR3K;KIF20A;PHKA2;B3GAT3;QSOX1;P4HA1;AK3;SLC37A4;CENPA;HS2ST1;G6PD;IL13RA1;P4HA2;DSC2;COG2;FKBP4;ALDOA;FAM162A;FUT8;GNPDA1;MIF;ANKZF1;B4GALT1;GOT2;GPC3;RRAGD;TALDO1;B4GALT2;GALE;GAL3ST1;MED24;PYGB;PGAM1;VLDLR;MDH2;TPI1;PPIA;AK4;GLCE;PGK1;PAM;STMN1;MDH1;SLC35A3;BPNT1;ENO1;TXN;PGLS;PGM2;COPB2;TSTA3;PRPS1;LDHA;PFKP;EGFR;RBCK1;EXT2;MPI;SDHC;MET;B4GALT7;IRS2;AKR1A1;CHPF;GYS1;SOD1;NASP;LHPP;PYGL;SAP30;AURKA;GNE;GCLC;ME1;CDK1;DLD;DDIT4;UGP2;PSMC4;VEGFA;HS6ST2;PPP2CB;B4GALT4;MXI1;DEPDC1;HDLBP;PMM2;NSDHL;HAX1;ECD;SDC3;STC2;ME2;GOT1;ALDH9A1;NDUFV3;HK2;NOL3;CLN6;KIF2A;RARS;HSPA5;GMPPA;IDH1;CTH;SRD5A3;ALDH7A1;CAPN5;GAPDHS;SLC25A13;GMPPB;HMMR;GFPT1;GALK2;DPYSL4;LDHC;TKTL1;ISG20;PGAM2,CD44;ARTN;CHST6;CHST1;SLC16A3;ELF3;TGFA;PPFIA4;BIK;CXCR4;CHST2;COL5A1;ANG;LHX9;EGLN3
HALLMARK_COAGULATION,0.542569860380201,1.172624415121006,0.23162939297124602,0.7848213524345528,138,76,CSRP1;CTSK;MMP14;CFB;TF;MAFF;MMP15;COMP;GP1BA;PLAU;C1R;FN1;MMP11;CRIP2;KLK8;S100A1;TFPI2;ANG;LRP1;SERPING1;CFD;PROS1;CLU;GSN;C1S;MMP2;ITGA2;F12;CTSB;C2;SPARC;BMP1;CASP9;CD9;P2RY1;FURIN;ADAM9;MASP2;RABIF;S100A13;LGMN;PLAT;SIRT2;APOC1;LAMP2;GNB2;LTA4H;FYN;PEF1;RAC1;GNG12;PREP;ARF4;USP11;ISCU;WDR1;MSRB2;RAPGEF3;CTSH;TIMP1;CAPN2;TIMP3;PRSS23;SH2B2;DPP4;MST1;C3;CAPN5;HTRA1;F3;FBN1;KLF7;ANXA1;DUSP6;CTSO;F8,CSRP1;CTSK;MMP14;CFB;TF;MAFF;MMP15;COMP;GP1BA;PLAU;C1R;FN1;MMP11;CRIP2;KLK8;S100A1;TFPI2;ANG;LRP1;SERPING1;CFD;PROS1;CLU
HALLMARK_UV_RESPONSE_DN,0.4810270452689681,1.100690997602735,0.27601809954751133,0.8014522699096758,144,130,RGS4;MMP16;PTGFR;MGLL;CELF2;CACNA1A;KALRN;IGFBP5;GCNT1;PTPRM;COL1A1;ID1;SCN8A;RUNX1;SMAD7;TGFBR3;GRK5;ATXN1;LDLR;INSIG1;PIK3R3;KIT;PIK3CD;CYR61;NRP1;PAPD7;CDON;SIPA1L1;DUSP1;PDLIM5;PRKAR2B;ZMIZ1;IGF1R;INPP4B;ADORA2B;GJA1;FZD2;NOTCH2;PRDM2;APBB2;CITED2;DAB2;ATRN;SDC2;PRKCA;LAMC1;CAV1;ATRX;PHF3;RASA2;SYNJ2;NEK7;BMPR1A;PRKCE;PPARG;DBP;NFKB1;PMP22;SYNE1;AKT3;CDK13;TGFBR2;ATP2C1;MAP1B;MYC;DYRK1A;ABCC1;PIAS3;DLG1;DDAH1;ATP2B1;CDC42BPA;TJP1;MAPK14;ERBB2;DLC1;MTA1;VLDLR;SLC7A1;NR1D2;SPOP;NIPBL;LTBP1;FYN;VAV2;TFPI;ARHGEF9;CDKN1B;RXRA;SMAD3;BHLHE40;SCHIP1;AGGF1;SFMBT1;YTHDC1;ANXA2;ACVR2A;MET;FHL2;WDR37;PEX14;PTEN;IRS1;NR3C1;SRI;SCAF8;FBLN5;SNAI2;RBPMS;ADD3;BCKDHB;ATP2B4;ANXA4;AMPH;RND3;MIOS;FAM179B;PLCB4;MRPS31;ICA1;PTPN21;MAP2K5;LPAR1;ATP5S;F3;EFEMP1;NFIB;CAP2;MAGI2;KCNMA1,RGS4;MMP16;PTGFR;MGLL;CELF2;CACNA1A;KALRN;IGFBP5;GCNT1;PTPRM;COL1A1;ID1;SCN8A;RUNX1;SMAD7;TGFBR3;GRK5;ATXN1;LDLR;INSIG1;PIK3R3;KIT;PIK3CD;CYR61;NRP1;PAPD7;CDON;SIPA1L1;DUSP1;PDLIM5;PRKAR2B;ZMIZ1;IGF1R;INPP4B;ADORA2B;GJA1;FZD2;NOTCH2;PRDM2;APBB2
HALLMARK_INFLAMMATORY_RESPONSE,0.4797101465525747,1.0680065952949171,0.34516129032258064,0.8102737272959837,200,103,MMP14;CCL20;NMUR1;FFAR2;NPFFR2;STAB1;PTGER2;CD14;C5AR1;ICAM4;SLC4A4;IL7R;ICOSLG;CHST2;GP1BA;HBEGF;TNFSF9;IL18R1;IRAK2;CALCRL;PCDH7;PIK3R5;FZD5;CD82;SLC31A2;LDLR;IFITM1;TPBG;AHR;SPHK1;IL15RA;SCN1B;NFKBIA;PLAUR;RASGRP1;ADM;SLC11A2;SLC7A2;GCH1;ADORA2B;CD40;CD70;RHOG;MXD1;EMP3;RAF1;ITGA5;DCBLD2;SGMS2;BST2;RIPK2;PDPN;LYN;IFNGR2;KIF1B;NFKB1;ATP2A2;KLF6;SEMA4D;ATP2C1;MYC;GPC3;ATP2B1;LY6E;RELA;SLC7A1;IFNAR1;CD55;CDKN1A;P2RX4;EIF2AK2;HIF1A;PSEN1;ACVR2A;MET;ACVR1B;ADRM1;BTG2;SLC31A1;CSF1;SRI;RGS16;PVR;IL4R;TIMP1;NAMPT;ABI1;GABBR1;IRF1;GNAI3;LPAR1;F3;IL10RA;TNFRSF9;IL15;BEST1;PROK2;MSR1;NMI;LAMP3;RNF144B;LIF;P2RY2,MMP14;CCL20;NMUR1;FFAR2;NPFFR2;STAB1;PTGER2;CD14;C5AR1;ICAM4;SLC4A4;IL7R;ICOSLG;CHST2;GP1BA;HBEGF;TNFSF9;IL18R1;IRAK2;CALCRL;PCDH7;PIK3R5;FZD5;CD82;SLC31A2;LDLR;IFITM1;TPBG;AHR;SPHK1;IL15RA;SCN1B;NFKBIA;PLAUR;RASGRP1
HALLMARK_ANGIOGENESIS,0.5950254962003901,1.0795552462944675,0.39834710743801655,0.8249424405218726,36,22,S100A4;LPL;LUM;VCAN;ITGAV;NRP1;PDGFA;MSX1;JAG2;TNFRSF21;KCNJ8;CCND2;LRPAP1;FGFR1;PTK2;APP;VAV2;VEGFA;TIMP1;FSTL1;JAG1;SLCO2A1,S100A4;LPL;LUM;VCAN;ITGAV;NRP1;PDGFA;MSX1;JAG2;TNFRSF21
HALLMARK_ESTROGEN_RESPONSE_LATE,0.4359326423524083,1.0063031024950522,0.45220030349013657,0.8297532011148363,200,157,CD44;PDZK1;IGSF1;EGR3;SFN;RET;PTGES;FOS;TJP3;CISH;MYB;OLFM1;IGFBP4;CA12;CDH1;SGK1;NPY1R;TFPI2;RAPGEFL1;OPN3;SULT2B1;DUSP2;ANXA9;PLXNB1;FRK;TPBG;LLGL2;ZFP36;CACNA2D2;CELSR2;CYP26B1;ST6GALNAC2;ABCA3;MAPT;TFAP2C;SLC9A3R1;TOB1;TIAM1;RAB31;PRKAR2B;MICB;EMP2;SLC22A5;DHCR7;PLA2G16;UNC13B;FOXC1;IL6ST;CA2;FGFR3;NAB2;CD9;CHST8;HOMER2;GLA;NBL1;DCXR;ARL3;SIAH2;KLF4;TSPAN13;RABEP1;CAV1;CCND1;KIF20A;SEMA3B;SCARB1;NMU;SLC29A1;ID2;METTL3;IL17RB;PDLIM3;CKB;ITPK1;CHPT1;NCOR2;BAG1;STIL;CPE;GAL;RPS6KA2;AMFR;FAM102A;MAPK13;SLC26A2;SLC27A2;FKBP4;FDFT1;SLC16A1;COX6C;IDH2;SORD;GALE;PERP;BLVRB;NXT1;FLNB;PAPSS2;IMPA2;FKBP5;ABHD2;TST;DLG5;HSPA4L;GINS2;XRCC3;ELOVL5;TPD52L1;ASS1;SLC7A5;TSTA3;LSR;JAK1;DNAJC12;FARP1;PPIF;SLC2A8;PLAC1;CXCL12;PLK4;TOP2A;RNASEH2A;DNAJC1;HPRT1;FABP5;AFF1;BTG3;ETFB;ALDH3A2;CDC20;DYNLT3;ADD3;PRSS23;NRIP1;ATP2B4;PDCD4;WFS1;SNX10;UGDH;XBP1;JAK2;MOCS2;CDC6;RBBP8;BCL2;SLC1A4;MDK;HSPB8;KCNK5;PTPN6;ALDH3B1;SCNN1A;DHRS2;ISG20;TNNC1;AREG,CD44;PDZK1;IGSF1;EGR3;SFN;RET;PTGES;FOS;TJP3;CISH;MYB;OLFM1;IGFBP4;CA12;CDH1;SGK1;NPY1R;TFPI2;RAPGEFL1;OPN3;SULT2B1;DUSP2;ANXA9;PLXNB1;FRK;TPBG;LLGL2;ZFP36
HALLMARK_UV_RESPONSE_UP,0.5377359206324503,1.2254357094383375,0.13385826771653545,0.8457661806088513,158,142,CXCL2;MMP14;SLC6A12;KCNH2;HLA-F;RET;CDKN1C;FOSB;FOS;COL2A1;TAP1;PLCL1;EPCAM;JUNB;OLFM1;NPTXR;TUBA4A;BCL2L11;CYP1A1;DLG4;NFKBIA;RASGRP1;SHOX2;AQP3;TFRC;GLS;CDO1;HYAL2;GCH1;HSPA2;MSX1;ENO2;AMD1;DGAT1;CHRNA5;CCND3;IL6ST;ABCB1;LHX2;EPHX1;CA2;GPX3;NPTX2;PRKCD;SLC25A4;SPR;CHKA;SLC6A8;NXF1;IGFBP2;MARK2;FURIN;CDKN2B;POLR2H;TYRO3;STK25;PDLIM3;STARD3;TGFBRAP1;LYN;KLHDC3;NR4A1;ACAA1;RHOB;MAOA;BAK1;CDC34;PPT1;CLCN2;MGAT1;GAL;NKX2-5;MRPL23;GGH;FKBP4;ALDOA;SOD2;YKT6;ALAS1;ARRB2;RPN1;CREG1;BID;PRKACA;SIGMAR1;BMP2;H2AFX;MAPK8IP2;WIZ;CASP3;TMBIM6;PPP1R2;BSG;CYB5R1;TST;POLG2;DNAJA1;RRAD;ATP6V1F;GRINA;CLTB;ASNS;ATP6V1C1;FEN1;DDX21;CNP;PDAP1;E2F5;PPIF;STIP1;DNAJB1;AP2S1;SQSTM1;PPAT;EIF2S3;GRPEL1;RFC4;BTG2;HNRNPU;CYB5B;BTG3;EIF5;PARP2;PRPF3;CCNE1;UROD;TARS;RAB27A;POLE3;CDK2;CEBPG;BTG1;CDC5L;PSMC3;IRF1;HSPA13;ATF3;NAT1;HMOX1;SULT1A1;PTPRD;RXRB,CXCL2;MMP14;SLC6A12;KCNH2;HLA-F;RET;CDKN1C;FOSB;FOS;COL2A1;TAP1;PLCL1;EPCAM;JUNB;OLFM1;NPTXR;TUBA4A
HALLMARK_IL2_STAT5_SIGNALING,0.4743454714963401,1.1047619314646908,0.27380952380952384,0.8497953440777692,200,150,CD44;ETV4;EMP1;SOCS1;PTGER2;SYT11;CDKN1C;TGM2;RHOH;AGER;MAFF;NFKBIZ;MAP3K8;CISH;AHNAK;IL3RA;S100A1;IL18R1;MUC1;SPRED2;GADD45B;NCOA3;PTCH1;IKZF4;LRRC8C;AHR;BMPR2;BATF3;ITGAV;NRP1;FAM126B;RORA;PHTF2;PRKCH;MYO1C;APLP1;TIAM1;ITGA6;IGF1R;ENO3;CD83;NOP2;TNFRSF21;ITGAE;ALCAM;CCND3;POU2F1;SLC29A2;ABCB1;CA2;NCS1;ENPP1;SLC39A8;MXD1;AKAP2;FURIN;HUWE1;SLC2A3;MAPKAPK2;IFITM3;HIPK2;COCH;GPX4;SMPDL3A;SYNGR2;MYO1E;ARL4A;P4HA1;PTH1R;NDRG1;PDCD2L;SH3BGRL2;RHOB;COL6A1;KLF6;ADAM19;ST3GAL4;MYC;AHCY;PLEC;DENND5A;IRF8;WLS;CCND2;PRAF2;RRAGD;UCK2;SNX14;HOPX;BMP2;GUCY1B3;SLC1A5;PUS1;IFNGR1;CASP3;TWSG1;CTSZ;CDC42SE2;CD81;P2RX4;PNP;SNX9;BHLHE40;IGF2R;CKAP4;PIM1;DCPS;PTRH2;PLAGL1;PRNP;LCLAT1;RNH1;RABGAP1L;CYFIP1;GALM;SERPINB6;CSF1;BCL2L1;GABARAPL1;LRIG1;RGS16;CCNE1;SWAP70;FLT3LG;IL4R;NFIL3;GLIPR2;GSTO1;UMPS;TTC39B;PLSCR1;ANXA4;HK2;PLIN2;XBP1;CDC6;DHRS3;AMACR;BCL2;ODC1;SOCS2;FAH;IL10RA;TNFRSF9;EOMES;CAPG;IKZF2;TRAF1;LIF;CAPN3,CD44;ETV4;EMP1;SOCS1;PTGER2;SYT11;CDKN1C;TGM2;RHOH;AGER;MAFF;NFKBIZ;MAP3K8;CISH;AHNAK;IL3RA;S100A1;IL18R1;MUC1;SPRED2;GADD45B;NCOA3;PTCH1;IKZF4;LRRC8C;AHR;BMPR2
HALLMARK_PEROXISOME,0.46707270458112965,1.010503255028253,0.44904458598726116,0.8621215997271255,104,89,ESR2;RXRG;FABP6;HSD3B7;CLN8;STS;PEX6;SEMA3C;ATXN1;SULT2B1;ABCB9;HSD11B2;DLG4;ABCC5;DHCR24;CADM1;IDI1;ABCB1;SLC25A4;TSPO;SLC25A19;SLC35B2;PRDX1;CRABP2;FADS1;PEX11A;ACAA1;RDH11;RETSAT;ACSL4;SLC27A2;YWHAH;SOD2;PRDX5;HSD17B11;IDH2;ITGB1BP1;SLC25A17;HRAS;CTBP1;GNPAT;CNBP;ISOC1;ECH1;ELOVL5;CRAT;ABCD1;SIAH1;ACOX1;HSD17B4;ERCC3;PEX2;SCP2;SOD1;FDPS;PABPC1;SMARCC1;ABCD3;FIS1;PEX14;BCL10;NUDT19;TOP2A;LONP2;PEX5;MSH2;ECI2;GSTK1;SLC23A2;IDE;ACOT8;VPS4B;ALDH9A1;ERCC1;CLN6;PEX13;CAT;DHRS3;IDH1;ACSL1;MVP;HMGCL;PEX11B;ABCB4;CDK7;MLYCD;ABCC8;EPHX2;EHHADH,ESR2;RXRG;FABP6;HSD3B7;CLN8;STS;PEX6;SEMA3C;ATXN1;SULT2B1;ABCB9;HSD11B2;DLG4;ABCC5;DHCR24
HALLMARK_TGF_BETA_SIGNALING,0.6787454810899325,1.3565176595765294,0.07075471698113207,0.886415963161934,54,51,ENG;CDKN1C;LTBP2;NOG;SMAD6;JUNB;ID1;CDH1;SMAD7;APC;TGFB1;BMPR2;PMEPA1;SMAD1;RAB31;BCAR3;FURIN;SLC20A1;HIPK2;PPM1A;ID2;ID3;SMURF2;SKI;BMPR1A;NCOR2;IFNGR2;ARID4B;SMURF1;TJP1;CDK9;BMP2;HDAC1;KLF10;XIAP;MAP3K7;SPTBN1;PPP1CA;TGFBR1;SMAD3;CTNNB1;RHOA;FKBP1A;UBE2D3;WWTR1;TGIF1;FNTA;TRIM33;ACVR1;SKIL;PPP1R15A,ENG;CDKN1C;LTBP2;NOG;SMAD6;JUNB;ID1;CDH1;SMAD7;APC;TGFB1;BMPR2;PMEPA1;SMAD1
