Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
HALLMARK_ESTROGEN_RESPONSE_LATE,0.409921984576902,1.5887642677747165,0.0,0.025502318392581144,200,155,SLC29A1;GAL;IDH2;EGR3;SLC16A1;FOS;CA2;NMU;KLF4;NPY1R;SCARB1;DHCR7;CA12;TPD52L1;SLC27A2;CHPT1;RAB31;ID2;RPS6KA2;CKB;TFPI2;CD9;PLAC1;CCND1;DUSP2;SORD;GLA;FARP1;TPBG;FABP5;SLC7A5;RNASEH2A;PTGES;TIAM1;PPIF;TST;ABCA3;TSPAN13;NBL1;HOMER2;BCL2;FOXC1;PRSS23;CHST8;RET;CDH1;UNC13B;IGSF1;PRKAR2B;COX6C;DNAJC12;SULT2B1;FDFT1;PERP;ASS1;SIAH2;EMP2;MYB;OLFM1;SGK1;IGFBP4;CACNA2D2;IMPA2;SLC1A4;GINS2;XBP1;CISH;NXT1;MAPT;PDLIM3;ELOVL5;NAB2;CYP26B1;PDCD4;DCXR;DYNLT3;TFAP2C;SLC22A5;IL17RB;CELSR2;CAV1;HPRT1;SLC26A2;ETFB;SNX10;NCOR2;KIF20A;TJP3;SLC9A3R1;LLGL2;PAPSS2;WFS1;FKBP5;PLXNB1;FKBP4;FLNB;TOB1;LSR;CXCL12;DNAJC1;OPN3;BTG3;UGDH;SLC2A8;ALDH3B1;KCNK5;DLG5;METTL3;RABEP1;HSPB8;TNNC1;IL6ST;ZFP36;STIL;XRCC3;ITPK1;ST6GALNAC2;JAK1;CPE;PTPN6;JAK2;FGFR3;SEMA3B;PDZK1;SFN;RAPGEFL1;TOP2A;MAPK13;HSPA4L;AMFR;BLVRB;FAM102A;NRIP1;FRK;SCNN1A;ALDH3A2;MOCS2;CDC20;BAG1;ISG20;ARL3;CDC6;PLA2G16;ABHD2;ANXA9;MDK;RBBP8;AFF1;MICB;ATP2B4;TSTA3;GALE;PLK4;ADD3;DHRS2,SLC29A1;GAL;IDH2;EGR3;SLC16A1;FOS;CA2;NMU;KLF4;NPY1R;SCARB1;DHCR7;CA12;TPD52L1;SLC27A2;CHPT1;RAB31;ID2;RPS6KA2;CKB;TFPI2;CD9;PLAC1;CCND1;DUSP2;SORD;GLA;FARP1;TPBG;FABP5;SLC7A5;RNASEH2A;PTGES;TIAM1;PPIF;TST;ABCA3;TSPAN13;NBL1;HOMER2;BCL2;FOXC1;PRSS23;CHST8;RET;CDH1;UNC13B;IGSF1;PRKAR2B;COX6C;DNAJC12;SULT2B1;FDFT1;PERP;ASS1;SIAH2
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.46529468731855317,1.6034322702833226,0.034482758620689655,0.025502318392581144,200,153,FJX1;RIPK2;MYC;HES1;BHLHE40;CYR61;PHLDA2;PLAU;EGR3;NFKBIA;PTX3;DUSP4;GADD45B;FOS;TRIB1;EGR1;FOSB;BMP2;IL15RA;KLF4;PANX1;RHOB;SAT1;SLC2A6;F2RL1;GEM;NFKB2;TNFAIP3;ID2;ETS2;G0S2;TNC;KLF9;PFKFB3;CCND1;DUSP2;TNFAIP8;DUSP5;CD83;NAMPT;TNFRSF9;TNFSF9;JUN;CEBPD;KLF6;MARCKS;RELB;GCH1;IER5;JUNB;PMEPA1;DUSP1;LDLR;TNIP1;TAP1;ATF3;CEBPB;CXCL3;CSF1;FUT4;SDC4;NR4A2;MAFF;NINJ1;SGK1;MAP3K8;ATP2B1;B4GALT5;NR4A1;B4GALT1;NFIL3;MSC;GFPT2;EHD1;PTPRE;MAP2K3;DRAM1;TGIF1;FOSL1;SOD2;PDLIM5;HBEGF;TRAF1;TUBB2A;F3;IRS2;JAG1;IER2;ZBTB10;IL7R;NR4A3;SNN;IFNGR2;GADD45A;KLF2;EGR2;BCL3;RCAN1;NFKB1;ZC3H12A;ICOSLG;SIK1;SERPINB8;SOCS3;SPHK1;TIPARP;PLAUR;BTG3;IL23A;PER1;TNFAIP2;MCL1;DNAJB4;KLF10;TSC22D1;IL6ST;ZFP36;YRDC;RELA;SPSB1;TRIP10;VEGFA;LITAF;DDX58;MXD1;NFE2L2;TNIP2;TANK;NFKBIE;SLC16A6;EFNA1;PNRC1;IRF1;SLC2A3;FOSL2;REL;DENND5A;PPP1R15A;CFLAR;KDM6B;BCL6;SQSTM1;NFAT5;BTG1;EIF1;BIRC2;CDKN1A;PLK2;SMAD3;RNF19B;CCNL1;LIF;BTG2,FJX1;RIPK2;MYC;HES1;BHLHE40;CYR61;PHLDA2;PLAU;EGR3;NFKBIA;PTX3;DUSP4;GADD45B;FOS;TRIB1;EGR1;FOSB;BMP2;IL15RA;KLF4;PANX1;RHOB;SAT1;SLC2A6;F2RL1;GEM;NFKB2;TNFAIP3;ID2;ETS2;G0S2;TNC;KLF9;PFKFB3;CCND1;DUSP2;TNFAIP8;DUSP5;CD83;NAMPT;TNFRSF9;TNFSF9;JUN;CEBPD;KLF6;MARCKS;RELB;GCH1;IER5;JUNB;PMEPA1;DUSP1;LDLR;TNIP1;TAP1;ATF3;CEBPB
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.4770183046551536,1.5774144819299423,0.0,0.04250386398763524,200,140,CYR61;IL32;GAS1;PTX3;GADD45B;LAMA1;BASP1;FZD8;IGFBP2;CRLF1;GJA1;RHOB;COL5A1;SAT1;PVR;GEM;TNFAIP3;ID2;DKK1;EDIL3;COL4A1;TFPI2;TNC;SFRP1;FN1;QSOX1;SNAI2;TGFB1;SPARC;MATN3;CTGF;GPC1;FLNA;FBN2;JUN;MSX1;TIMP3;SERPINE2;TGM2;PLOD1;CDH2;COL4A2;LAMC1;COL12A1;PMEPA1;PPIB;CALD1;PMP22;WNT5A;TGFBR3;LOXL2;FUCA1;TIMP1;COL1A1;LOX;CADM1;CALU;SLIT3;NID2;SDC4;ITGB5;ABI3BP;FBLN2;LGALS1;IGFBP4;NT5E;EMP3;WIPF1;MMP2;PLOD2;VIM;VCAN;SLIT2;DAB2;VEGFC;ITGA2;FBLN5;RGS4;LRP1;DST;SDC1;FGF2;MYLK;PRRX1;SNTB1;COL6A2;GADD45A;EFEMP2;PLOD3;CD59;MMP14;COMP;COL16A1;FOXC2;DPYSL3;CXCL12;PLAUR;FBLN1;NOTCH2;ITGAV;TNFRSF12A;SGCB;PCOLCE;ELN;PCOLCE2;FSTL1;COL6A3;FBN1;HTRA1;APLP1;TPM4;BMP1;LOXL1;SPOCK1;IL15;PTHLH;PDLIM4;VEGFA;FERMT2;SLC6A8;LAMA3;PFN2;TPM2;ITGB1;TPM1;SERPINH1;COL5A2;ITGA5;FSTL3;MAGEE1;CAPG;MATN2;COL7A1;MCM7;COPA;ENO2;TAGLN;CAP2;FAS;ACTA2,CYR61;IL32;GAS1;PTX3;GADD45B;LAMA1;BASP1;FZD8;IGFBP2;CRLF1;GJA1;RHOB;COL5A1;SAT1;PVR;GEM;TNFAIP3;ID2;DKK1;EDIL3;COL4A1;TFPI2;TNC;SFRP1;FN1;QSOX1;SNAI2;TGFB1;SPARC;MATN3;CTGF;GPC1;FLNA;FBN2;JUN;MSX1;TIMP3;SERPINE2;TGM2;PLOD1;CDH2;COL4A2;LAMC1;COL12A1;PMEPA1;PPIB;CALD1;PMP22;WNT5A;TGFBR3;LOXL2;FUCA1;TIMP1;COL1A1;LOX;CADM1;CALU;SLIT3;NID2;SDC4;ITGB5;ABI3BP;FBLN2;LGALS1;IGFBP4;NT5E;EMP3;WIPF1;MMP2
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY,0.37174653147862396,1.2190047811122375,0.25,0.41823802163833074,49,45,PRDX4;MGST1;SRXN1;PFKP;PRDX6;PRDX2;TXN;GPX4;NDUFB4;JUNB;PRDX1;GSR;HHEX;ATOX1;MBP;SOD1;G6PD;NDUFA6;LSP1;SBNO2;HMOX2;SOD2;GPX3;NDUFS2;MSRA;STK25;GCLM;TXNRD1;GLRX2;GLRX;IPCEF1;ABCC1;CDKN2D;PRNP;ERCC2;PDLIM1;OXSR1;GCLC;EGLN2;TXNRD2;NQO1;FES;FTL;CAT;SCAF4,PRDX4;MGST1;SRXN1;PFKP;PRDX6;PRDX2;TXN;GPX4;NDUFB4;JUNB;PRDX1;GSR;HHEX;ATOX1;MBP;SOD1;G6PD;NDUFA6
HALLMARK_MTORC1_SIGNALING,0.318303724541978,1.2836236033982213,0.3076923076923077,0.41962905718701704,200,193,PGK1;CTSC;RRM2;BHLHE40;DHCR24;SCD;SLC37A4;ENO1;SLC1A5;PNP;FADS1;INSIG1;TUBG1;ASNS;EBP;DHCR7;BCAT1;PGM1;IGFBP5;GAPDH;TPI1;RPN1;ATP5G1;CD9;LGMN;MTHFD2;ACLY;SSR1;SORD;GLA;SQLE;LDHA;TFRC;SLC7A5;SRD5A1;HMGCS1;NAMPT;FADS2;GPI;HMBS;IFI30;PSPH;PPIA;STARD4;SHMT2;LDLR;SERP1;PRDX1;AK4;ALDOA;ABCF2;PSMB5;PSAT1;PPA1;CXCR4;GSR;TOMM40;POLR3G;IDI1;PHGDH;SDF2L1;EGLN3;ATP2A2;CYP51A1;G6PD;SLC6A6;NUP205;CALR;PLOD2;SLC1A4;NFIL3;RDH11;GOT1;XBP1;HMGCR;TUBA4A;MAP2K3;TMEM97;ME1;ELOVL5;HK2;LTA4H;CTH;HSPA5;FKBP2;IMMT;HSP90B1;ITGB2;EIF2S2;CCT6A;TES;CORO1A;CCNF;UNG;HPRT1;ELOVL6;MCM4;EPRS;NMT1;SLC7A11;PSMA4;SLC9A3R1;ACACA;EEF1E1;HSPE1;GBE1;CCNG1;PSMA3;PNO1;EDEM1;DDX39A;TRIB3;YKT6;DHFR;TXNRD1;PSME3;CACYBP;DDIT4;FAM129A;GMPS;SLC2A1;TM7SF2;GLRX;P4HA1;PSMG1;UFM1;SEC11A;PIK3R3;USO1;PFKL;QDPR;HSPD1;PITPNB;PLK1;AURKA;UCHL5;GCLC;RAB1A;ADIPOR2;RPA1;IDH1;ACSL3;ETF1;NUPR1;SYTL2;PDAP1;ACTR2;TCEA1;SERPINH1;CANX;UBE2D3;DDIT3;SLC2A3;TBK1;BUB1;WARS;M6PR;NFKBIB;VLDLR;RIT1;MCM2;GSK3B;PSMD13;HSPA4;PPP1R15A;MLLT11;IFRD1;SQSTM1;HSPA9;STIP1;PSMC4;MTHFD2L;PSMC6;CDKN1A;CYB5B;ARPC5L;PSMD12;PSMC2;CDC25A;ATP6V1D;PSMD14;PDK1;GGA2;GTF2H1;NFYC;RRP9;ACTR3;SKAP2;ADD3;BTG2;COPS5;NUFIP1;FDXR,PGK1;CTSC;RRM2;BHLHE40;DHCR24;SCD;SLC37A4;ENO1;SLC1A5;PNP;FADS1;INSIG1;TUBG1;ASNS;EBP;DHCR7;BCAT1;PGM1;IGFBP5;GAPDH;TPI1;RPN1;ATP5G1;CD9;LGMN;MTHFD2;ACLY;SSR1;SORD;GLA;SQLE;LDHA;TFRC;SLC7A5;SRD5A1;HMGCS1;NAMPT;FADS2;GPI;HMBS;IFI30;PSPH;PPIA;STARD4;SHMT2;LDLR;SERP1;PRDX1;AK4;ALDOA;ABCF2;PSMB5;PSAT1
HALLMARK_INFLAMMATORY_RESPONSE,0.3804501470103981,1.4098611937574235,0.0,0.43991499227202474,200,103,ADORA2B;RIPK2;MYC;LY6E;NFKBIA;IL15RA;PVR;CHST2;PDPN;IFITM1;TPBG;IL18R1;PROK2;CD55;NAMPT;TNFRSF9;SLC7A2;SLC7A1;TNFSF9;PTGER2;KLF6;RGS16;SRI;GCH1;SGMS2;LDLR;NPFFR2;RASGRP1;SLC4A4;TIMP1;CSF1;NMI;PCDH7;SLC31A2;STAB1;GPC3;ATP2A2;FZD5;LPAR1;EMP3;ATP2B1;LYN;ICAM4;PTPRE;IL4R;SCN1B;HBEGF;PIK3R5;ADM;IL10RA;F3;CD82;CALCRL;RNF144B;FFAR2;IL7R;EIF2AK2;NMUR1;IFNGR2;GP1BA;NFKB1;RHOG;CD40;MET;ICOSLG;MMP14;SLC11A2;IRAK2;SPHK1;CD14;SLC31A1;PLAUR;ATP2C1;C5AR1;LAMP3;IFNAR1;BEST1;P2RY2;CD70;MSR1;IL15;RELA;GABBR1;MXD1;AHR;DCBLD2;RAF1;P2RX4;ACVR1B;IRF1;ACVR2A;ITGA5;SEMA4D;GNAI3;KIF1B;ADRM1;BST2;CDKN1A;HIF1A;PSEN1;LIF;BTG2;ABI1,ADORA2B;RIPK2;MYC;LY6E;NFKBIA;IL15RA;PVR;CHST2;PDPN;IFITM1;TPBG;IL18R1;PROK2;CD55;NAMPT;TNFRSF9;SLC7A2;SLC7A1;TNFSF9;PTGER2;KLF6;RGS16;SRI;GCH1;SGMS2;LDLR;NPFFR2;RASGRP1;SLC4A4;TIMP1;CSF1;NMI;PCDH7;SLC31A2;STAB1;GPC3;ATP2A2;FZD5;LPAR1;EMP3;ATP2B1
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.3861134559359739,1.290358060477626,0.19230769230769232,0.4411901081916538,74,70,SCD;EBP;DHCR7;CD9;LGMN;ALDOC;ALCAM;SQLE;FABP5;CBS;HMGCS1;CXCL16;FADS2;ERRFI1;FASN;STARD4;LGALS3;LDLR;ECH1;SREBF2;ATF3;S100A11;ACTG1;FDFT1;LPL;IDI1;ABCA2;MAL2;ACAT2;CYP51A1;PDK3;NFIL3;HMGCR;TMEM97;NSDHL;PMVK;MVK;JAG1;PPARG;MVD;CPEB2;LSS;GPX8;PLSCR1;GLDC;ANTXR2;TRIB3;PLAUR;FAM129A;TM7SF2;TNFRSF12A;SEMA3B;FDPS;GUSB;ANXA5;CHKA;CLU;STX5;PNRC1;GSTM2;ETHE1;PCYT2;ATF5;FBXO6;GNAI1;TP53INP1;ACSS2;CTNNB1;HSD17B7;ATXN2,SCD;EBP;DHCR7;CD9;LGMN;ALDOC;ALCAM;SQLE;FABP5;CBS;HMGCS1;CXCL16;FADS2;ERRFI1;FASN;STARD4;LGALS3;LDLR;ECH1;SREBF2;ATF3;S100A11;ACTG1;FDFT1;LPL;IDI1;ABCA2;MAL2;ACAT2;CYP51A1
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.2498854586069898,1.2633359738590848,0.03333333333333333,0.4420401854714065,113,108,KDELR3;ASNS;NFYA;EIF4EBP1;SPCS3;NHP2;EXOSC2;SRPRB;MTHFD2;ALDH18A1;SSR1;LSM4;SLC7A5;PDIA5;EIF4A1;NOLC1;FKBP14;GEMIN4;DKC1;SERP1;IMP3;PSAT1;ATF3;YIF1A;CEBPB;PDIA6;SPCS1;DCTN1;CHAC1;DNAJB9;TATDN2;CALR;SLC1A4;EIF4G1;XBP1;IARS;EXOSC4;EIF4A3;HSPA5;XPOT;HSP90B1;HYOU1;SLC30A5;ARFGAP1;GOSR2;TUBB2A;H2AFX;IFIT1;PREB;NPM1;EXOSC5;YWHAZ;NOP14;BANF1;WFS1;STC2;CEBPG;EDEM1;EXOC2;HERPUD1;EIF4E;POP4;RPS14;PAIP1;CNOT6;DDIT4;KIF5B;DNAJC3;KHSRP;NOP56;SEC11A;EEF2;EIF4A2;FUS;WIPI1;NFYB;LSM1;ATF4;SKIV2L2;CKS1B;VEGFA;TTC37;SEC31A;DCP2;EIF2S1;EXOSC1;EIF2AK3;DNAJA4;ATF6;DCP1A;HSPA9;CNOT2;EDC4;TARS;BAG3;DDX10;CXXC1;ERN1;SDAD1;PARN;TSPYL2;ZBTB17;ATP6V0D1;EXOSC9;EXOSC10;RRP9;CNOT4;SHC1,KDELR3;ASNS;NFYA;EIF4EBP1;SPCS3;NHP2;EXOSC2;SRPRB;MTHFD2;ALDH18A1;SSR1;LSM4;SLC7A5;PDIA5;EIF4A1;NOLC1;FKBP14;GEMIN4;DKC1;SERP1;IMP3;PSAT1;ATF3;YIF1A;CEBPB
HALLMARK_KRAS_SIGNALING_UP,0.3443952652792881,1.2212838526759395,0.13043478260869565,0.44629057187017,200,120,ETV4;PLAU;TRIB2;TRIB1;TMEM158;CA2;BMP2;KLF4;MAFB;IRF8;GUCY1A3;F2RL1;TNFAIP3;ID2;G0S2;ANKH;CCND2;ST6GAL1;TMEM100;PCSK1N;MMP11;MMD;BTBD3;ALDH1A3;ETV5;IGF2;TSPAN13;FLT4;GNG11;RGS16;GADD45G;AMMECR1;SPRY2;CXCR4;FUCA1;MAP4K1;AKAP12;HOXD11;EPHB2;TSPAN7;SCG5;SOX9;ZNF639;CROT;APOD;ALDH1A2;ETV1;GFPT2;NIN;GPRC5B;FGF9;BPGM;ITGB2;ITGA2;SCN1B;HBEGF;PTCD2;TRAF1;IL10RA;TFPI;MAP7;CSF2RA;IL7R;ABCB1;PRRX1;SPON1;CD37;AKT2;HDAC9;TOR1AIP2;ACE;GYPC;USP12;PLAUR;NAP1L2;ATG10;ENG;GLRX;KIF5C;PLAT;NRP1;ZNF277;SATB1;EMP1;JUP;ADAM8;CPE;YRDC;FBXO4;SEMA3B;CDADC1;EVI5;ETS1;DCBLD2;CAB39L;RABGAP1L;CBR4;ADAM17;CBL;AVL9;PRKG2;SDCCAG8;MAP3K1;PPP1R15A;CBX8;EPB41L3;WDR33;STRN;LCP1;CLEC4A;CFB;LAT2;SNAP91;GPNMB;USH1C;MTMR10;RBM4;PTBP2;LIF;DNMBP,ETV4;PLAU;TRIB2;TRIB1;TMEM158;CA2;BMP2;KLF4;MAFB;IRF8;GUCY1A3;F2RL1;TNFAIP3;ID2;G0S2;ANKH;CCND2;ST6GAL1;TMEM100;PCSK1N;MMP11;MMD;BTBD3;ALDH1A3;ETV5;IGF2;TSPAN13;FLT4;GNG11;RGS16;GADD45G;AMMECR1;SPRY2
HALLMARK_GLYCOLYSIS,0.3112545414249158,1.3020563425836058,0.0,0.4477073673364246,200,177,PGK1;ADORA2B;PGAM1;CYB5A;EXT1;KDELR3;SLC37A4;ENO1;PFKP;FAM162A;COL5A1;MIF;TPI1;B3GALT6;PYGL;GALK1;MPI;CHST2;CITED2;QSOX1;GOT2;CHST1;TPBG;GPC4;TXN;LDHA;GPC1;SLC25A10;SDC2;B4GALT2;XYLT2;MDH2;EGFR;SRD5A3;PLOD1;CHPF;PPIA;PGM2;AK4;ALDOA;CHST12;PRPS1;CXCR4;FUT8;SLC16A3;CHST6;POLR3K;EGLN3;SOD1;GPC3;CACNA1H;G6PD;HOMER1;SOX9;NT5E;PDK3;LHPP;PLOD2;B4GALT1;HAX1;ARPP19;IDUA;PC;GOT1;VCAN;ALG1;NANP;SDHC;NSDHL;ME1;HK2;CTH;PYGB;HSPA5;BIK;RPE;AKR1A1;MDH1;ELF3;PGLS;TPST1;AK3;IRS2;PKP2;P4HA2;AGRN;SDC1;HDLBP;STMN1;PAXIP1;KIF20A;GMPPB;GMPPA;STC2;HS6ST2;CENPA;FKBP4;ME2;TALDO1;DLD;MET;DEPDC1;DSC2;PHKA2;SDC3;GNPDA1;CLN6;GAL3ST1;DDIT4;CASP6;PPFIA4;GLRX;IL13RA1;EFNA3;PAM;COG2;AGL;CDK1;ANG;ABCB6;P4HA1;B4GALT7;TGFA;NASP;GAPDHS;PMM2;UGP2;B3GAT3;MED24;AURKA;ARTN;GCLC;ALDH9A1;KIF2A;IDH1;ALDH7A1;GFPT1;NOL3;GUSB;SPAG4;VEGFA;RBCK1;RRAGD;ANKZF1;LHX9;HMMR;PPP2CB;BPNT1;COPB2;HS2ST1;CHPF2;RARS;PGAM2;VLDLR;GLCE;CAPN5;ISG20;ZNF292;DPYSL4;MXI1;MERTK;B4GALT4;EXT2;PSMC4;SAP30;GALK2;ECD;ENO2;SLC25A13;TKTL1;TSTA3;NDUFV3;GNE;SLC35A3;GALE;GYS1;LDHC,PGK1;ADORA2B;PGAM1;CYB5A;EXT1;KDELR3;SLC37A4;ENO1;PFKP;FAM162A;COL5A1;MIF;TPI1;B3GALT6;PYGL;GALK1;MPI;CHST2;CITED2;QSOX1;GOT2;CHST1;TPBG;GPC4;TXN;LDHA;GPC1;SLC25A10;SDC2;B4GALT2;XYLT2;MDH2;EGFR;SRD5A3;PLOD1;CHPF;PPIA;PGM2;AK4;ALDOA;CHST12;PRPS1
HALLMARK_DNA_REPAIR,-0.3439590590025892,-1.442898346453034,0.03225806451612903,0.4722222222222222,150,139,APRT;PNP;NME4;POLE4;IMPDH2;ADA;CDA;NME1;POLR2H;GPX4;RBX1;DAD1;DUT;DFNA5;COX17;SEC61A1;FEN1;ZWINT;SDCBP;ERCC8;POLR2E;GTF2H5;RFC3;NT5C;POLR2G;VPS28;SMAD5;AK3;BCAP31;NUDT21;NCBP2;HPRT1;DGCR8;POLD3;POLR2D;MPG;NME3;TYMS;TP53;RFC4;GUK1;POLD1;EDF1;POLR2F;TMED2;POLR2I;POLR1C;SSRP1;GTF2H3;TAF9;TCEB3;AK1;CETN2;POLR2K;GTF2A2;ERCC2;TAF10;BCAM;POLR3GL;CANT1;MRPL40;PCNA;POLR1D;UMPS;TAF13;ADCY6;SAC3D1;PRIM1;ZNRD1;SF3A3;PDE6G;POLR2C;STX3;TAF1C;CCNO;EIF1B;RPA3;CLP1;POLA1;SUPT4H1;RALA;POLD4;POLA2;ARL6IP1;TK2;GTF2F1;POLB;TAF6;UPF3B;RFC2;GTF2B;POLL;DGUOK;RPA2;ADRM1;BOLA2;POLR2J;TAF12;USP11;RFC5;SRSF6;POLH;TSG101;POLR2A;SNAPC4;GTF3C5;ERCC1;DDB1;NUDT9;AAAS;RNMT;VPS37B;GMPR2;TARBP2;LIG1;VPS37D;CSTF3;ZNF707;SNAPC5;SURF1;SUPT5H;ITPA;POM121;RAD52;REV3L;ELL;GTF2H1;ERCC4;RAD51;ERCC5;ERCC3;POLR3C;RAE1;BRF2;RRM2B;DCTN4;NFX1;XPC;DDB2,SUPT4H1;RALA;POLD4;POLA2;ARL6IP1;TK2;GTF2F1;POLB;TAF6;UPF3B;RFC2;GTF2B;POLL;DGUOK;RPA2;ADRM1;BOLA2;POLR2J;TAF12;USP11;RFC5;SRSF6;POLH;TSG101;POLR2A;SNAPC4;GTF3C5;ERCC1;DDB1;NUDT9;AAAS;RNMT;VPS37B;GMPR2;TARBP2;LIG1;VPS37D;CSTF3;ZNF707;SNAPC5;SURF1;SUPT5H;ITPA;POM121;RAD52;REV3L;ELL;GTF2H1;ERCC4;RAD51;ERCC5;ERCC3;POLR3C;RAE1;BRF2;RRM2B;DCTN4;NFX1;XPC;DDB2
HALLMARK_IL2_STAT5_SIGNALING,0.35626177661420305,1.3130602238947087,0.125,0.4749806800618238,200,152,UCK2;ETV4;MYC;BHLHE40;COCH;GADD45B;TNFRSF21;NCS1;SLC1A5;PNP;CA2;AKAP2;BMP2;CKAP4;AHCY;NDRG1;IRF8;RHOB;CCND2;ALCAM;IL18R1;SOCS1;CD83;PTRH2;CD81;TIAM1;GPX4;TNFRSF9;ENPP1;PTGER2;LRRC8C;BATF3;KLF6;BCL2;TGM2;RGS16;BCL2L1;SH3BGRL2;ADAM19;ARL4A;SCN9A;HOPX;DCPS;MYO1E;SLC29A2;CSF1;SLC39A8;PDCD2L;MAPKAPK2;TTC39B;MAFF;CDKN1C;SPRED2;PLAGL1;EOMES;GSTO1;NFKBIZ;SYNGR2;NOP2;MAP3K8;NT5E;SYT11;ITGA6;AMACR;PHTF2;NFIL3;IGF1R;XBP1;CISH;IL4R;PTCH1;SNX14;HK2;RNH1;SERPINB6;IFITM3;AHNAK;TRAF1;IL10RA;S100A1;GLIPR2;ABCB1;SMPDL3A;GUCY1B3;IFNGR1;PLSCR1;HUWE1;ITGAE;ST3GAL4;HIPK2;PUS1;AGER;RHOH;WLS;CCND3;CYFIP1;ITGAV;BMPR2;PLEC;P4HA1;CASP3;SNX9;PRNP;RORA;NRP1;PIM1;EMP1;APLP1;LCLAT1;UMPS;MYO1C;POU2F1;MUC1;NCOA3;PRAF2;CDC42SE2;FURIN;ITIH5;RRAGD;MXD1;AHR;CTSZ;RABGAP1L;P2RX4;PRKCH;TWSG1;COL6A1;ODC1;SLC2A3;FLT3LG;FAH;CAPG;PTH1R;CDC6;DENND5A;ANXA4;FAM126B;IKZF4;IKZF2;CCNE1;ENO3;SOCS2;LRIG1;IL3RA;CAPN3;SWAP70;GALM;IGF2R;DHRS3;LIF;GABARAPL1;PLIN2,UCK2;ETV4;MYC;BHLHE40;COCH;GADD45B;TNFRSF21;NCS1;SLC1A5;PNP;CA2;AKAP2;BMP2;CKAP4;AHCY;NDRG1;IRF8;RHOB;CCND2;ALCAM;IL18R1;SOCS1;CD83;PTRH2;CD81;TIAM1;GPX4;TNFRSF9;ENPP1;PTGER2;LRRC8C;BATF3;KLF6;BCL2;TGM2;RGS16;BCL2L1;SH3BGRL2;ADAM19;ARL4A;SCN9A;HOPX;DCPS;MYO1E;SLC29A2;CSF1;SLC39A8;PDCD2L;MAPKAPK2;TTC39B;MAFF;CDKN1C;SPRED2;PLAGL1;EOMES;GSTO1;NFKBIZ;SYNGR2;NOP2;MAP3K8;NT5E;SYT11
HALLMARK_PANCREAS_BETA_CELLS,0.40706159423801,1.2221203102727085,0.21739130434782608,0.47669718226132446,40,22,MAFB;SRPRB;VDR;DPP4;NKX6-1;GCK;SPCS1;INSM1;LMO2;ISL1;NKX2-2;STXBP1;AKT3;SRP9;PAK3;SEC11A;PAX6;FOXO1;ELP4;PDX1;SRP14;ABCC8,MAFB;SRPRB;VDR;DPP4;NKX6-1;GCK;SPCS1;INSM1;LMO2
HALLMARK_ANDROGEN_RESPONSE,0.36196651239330074,1.1191758415493043,0.25925925925925924,0.4787480680061824,101,91,DHCR24;ADAMTS1;SCD;FADS1;INSIG1;NDRG1;DBI;SAT1;SPCS3;GUCY1A3;CAMKK2;HPGD;ANKH;CCND1;TNFAIP8;SORD;ALDH1A3;HMGCS1;SLC38A2;HOMER2;ACTN1;MAF;PMEPA1;SMS;PA2G4;TMEM50A;GSR;B2M;RAB4A;UAP1;AKAP12;CDK6;IDI1;DNAJB9;SGK1;SEC24D;SRP19;B4GALT1;UBE2J1;ELL2;HMGCR;TPD52;ELOVL5;ABCC4;IQGAP2;PDLIM5;ZBTB10;LMAN1;MAP7;SLC26A2;NKX3-1;ZMIZ1;FKBP5;SRF;CCND3;AKT1;XRCC5;ITGAV;CDC14B;CENPN;PGM3;INPP4B;MYL12A;TSC22D1;LIFR;GPD1L;STK39;ACSL3;XRCC6;HERC3;VAPA;ARID5B;UBE2I;RPS6KA3;GNAI3;ADRM1;MERTK;BMPR1B;ABHD2;PIAS1;ELK4;H1F0;PTK2B;MAK;RRP12;HSD17B14;APPBP2;NGLY1;KRT8;NCOA4;PTPN21,DHCR24;ADAMTS1;SCD;FADS1;INSIG1;NDRG1;DBI;SAT1;SPCS3;GUCY1A3;CAMKK2;HPGD;ANKH;CCND1;TNFAIP8;SORD;ALDH1A3;HMGCS1;SLC38A2;HOMER2;ACTN1;MAF;PMEPA1;SMS;PA2G4;TMEM50A;GSR;B2M;RAB4A;UAP1;AKAP12;CDK6;IDI1
